,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2020-11-07,Sat,Matchweek 8,Home,L 1–3,Everton,Manchester Utd,Y,CB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
1,2020-11-22,Sun,Matchweek 9,Away,W 3–2,Everton,Fulham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2020-11-28,Sat,Matchweek 10,Home,L 0–1,Everton,Leeds United,Y*,CB,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
3,2020-12-05,Sat,Matchweek 11,Away,D 1–1,Everton,Burnley,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2020-12-12,Sat,Matchweek 12,Home,W 1–0,Everton,Chelsea,Y,RB,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
5,2020-12-16,Wed,Matchweek 13,Away,W 2–0,Everton,Leicester City,Y,RB,90,2,0,1,0,0,1,0,0,0,0,0,0,0,0,Match Report
6,2020-12-19,Sat,Matchweek 14,Home,W 2–1,Everton,Arsenal,Y,RB,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
7,2020-12-26,Sat,Matchweek 15,Away,W 1–0,Everton,Sheffield Utd,Y,"RB,CB",90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
8,2021-01-01,Fri,Matchweek 17,Home,L 0–1,Everton,West Ham,Y,CB,90,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
9,2021-01-12,Tue,Matchweek 18,Away,W 2–1,Everton,Wolves,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
10,2021-01-27,Wed,Matchweek 20,Home,D 1–1,Everton,Leicester City,Y,RB,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
11,2021-01-30,Sat,Matchweek 21,Home,L 0–2,Everton,Newcastle Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
12,2021-02-03,Wed,Matchweek 22,Away,W 2–1,Everton,Leeds United,Y,RB,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Match Report
13,2021-02-06,Sat,Matchweek 23,Away,D 3–3,Everton,Manchester Utd,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
14,2021-02-14,Sun,Matchweek 24,Home,L 0–2,Everton,Fulham,Y,"CB,RB",90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
15,2021-02-17,Wed,Matchweek 16,Home,L 1–3,Everton,Manchester City,Y,"CB,RB",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
16,2021-02-20,Sat,Matchweek 25,Away,W 2–0,Everton,Liverpool,Y,CB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
17,2021-03-01,Mon,Matchweek 26,Home,W 1–0,Everton,Southampton,Y,RB,90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
18,2021-03-04,Thu,Matchweek 29,Away,W 1–0,Everton,West Brom,Y,RB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
19,2021-03-08,Mon,Matchweek 27,Away,L 0–2,Everton,Chelsea,Y,"CB,RB",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
20,2021-03-13,Sat,Matchweek 28,Home,L 1–2,Everton,Burnley,Y,RB,72,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
21,2021-04-05,Mon,Matchweek 30,Home,D 1–1,Everton,Crystal Palace,Y,CB,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
22,2021-04-12,Mon,Matchweek 31,Away,D 0–0,Everton,Brighton,Y,"CM,CB",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
23,2021-04-16,Fri,Matchweek 32,Home,D 2–2,Everton,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
24,2021-04-23,Fri,Matchweek 33,Away,W 1–0,Everton,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
25,2021-05-01,Sat,Matchweek 34,Home,L 1–2,Everton,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
26,2021-05-09,Sun,Matchweek 35,Away,W 1–0,Everton,West Ham,N,RB,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
27,2021-05-13,Thu,Matchweek 19,Away,D 0–0,Everton,Aston Villa,Y,RB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
28,2021-05-16,Sun,Matchweek 36,Home,L 0–1,Everton,Sheffield Utd,Y,RB,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
29,2021-05-19,Wed,Matchweek 37,Home,W 1–0,Everton,Wolves,N,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
30,2021-05-23,Sun,Matchweek 38,Away,L 0–5,Everton,Manchester City,Y,"CB,RB",90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
