,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2020-09-19,Sat,Matchweek 2,Away,L 1–2,West Ham,Arsenal,Y,LB,89.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
1,2020-09-27,Sun,Matchweek 3,Home,W 4–0,West Ham,Wolves,Y,LB,90.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
2,2020-10-04,Sun,Matchweek 4,Away,W 3–0,West Ham,Leicester City,Y,LB,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
3,2020-10-18,Sun,Matchweek 5,Away,D 3–3,West Ham,Tottenham,Y,LB,89.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
4,2020-10-24,Sat,Matchweek 6,Home,D 1–1,West Ham,Manchester City,Y,LB,90.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
5,2020-10-31,Sat,Matchweek 7,Away,L 1–2,West Ham,Liverpool,Y,LB,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
6,2020-11-07,Sat,Matchweek 8,Home,W 1–0,West Ham,Fulham,Y,LM,90.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
7,2020-11-22,Sun,Matchweek 9,Away,W 1–0,West Ham,Sheffield Utd,Y,LM,90.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
8,2020-11-30,Mon,Matchweek 10,Home,W 2–1,West Ham,Aston Villa,Y,WB,45.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
9,2020-12-05,Sat,Matchweek 11,Home,L 1–3,West Ham,Manchester Utd,Y,WB,90.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
11,2021-04-05,Mon,Matchweek 30,Away,W 3–2,West Ham,Wolves,Y,LW,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
12,2021-04-11,Sun,Matchweek 31,Home,W 3–2,West Ham,Leicester City,Y,WB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
