,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2020-09-21,Mon,Matchweek 2,Away,W 3–1,Manchester City,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,81,2,0,1,0.0,0.0,0.0,0,0,69,76,90.8,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,360,23,95.8,40,42,95.2,6,9,66.7,0.0,0,1,0,0
7,2020-11-28,Sat,Matchweek 10,Home,W 5–0,Manchester City,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,110,0,2,1,0.0,0.0,0.0,1,0,94,97,96.9,8,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1735,575,31,93.9,46,46,100.0,10,10,100.0,0.0,1,10,0,0
8,2020-12-05,Sat,Matchweek 11,Home,W 2–0,Manchester City,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,116,2,1,1,0.0,0.0,0.0,0,0,107,109,98.2,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,553,48,100.0,55,56,98.2,4,5,80.0,0.0,0,3,0,0
9,2020-12-12,Sat,Matchweek 12,Away,D 0–0,Manchester City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,88,0,1,1,0.0,0.0,0.0,0,0,84,87,96.6,2,69,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1786,367,14,100.0,64,66,97.0,6,7,85.7,0.0,0,3,0,0
10,2020-12-19,Sat,Matchweek 14,Away,W 1–0,Manchester City,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,72,1,2,3,0.0,0.0,0.0,0,0,56,62,90.3,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,348,27,93.1,22,25,88.0,6,7,85.7,0.0,0,1,0,0
11,2020-12-26,Sat,Matchweek 15,Home,W 2–0,Manchester City,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,0,0,125,0,1,0,0.1,0.1,0.0,0,0,112,122,91.8,6,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1834,459,54,94.7,50,52,96.2,5,8,62.5,0.0,0,13,0,0
12,2021-01-03,Sun,Matchweek 17,Away,W 3–1,Manchester City,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,66,0,2,1,0.0,0.0,0.0,1,0,51,60,85.0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,811,389,22,88.0,26,28,92.9,2,6,33.3,0.0,0,1,0,0
13,2021-01-13,Wed,Matchweek 18,Home,W 1–0,Manchester City,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,81,1,1,2,0.0,0.0,0.0,2,0,67,72,93.1,2,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1149,291,29,96.7,31,33,93.9,4,5,80.0,0.0,0,10,0,0
14,2021-01-17,Sun,Matchweek 19,Home,W 4–0,Manchester City,Crystal Palace,Y,CB,90,2,0,0,0,2,2,0,0,120,0,0,0,0.2,0.2,0.0,0,0,111,116,95.7,5,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,463,46,100.0,55,56,98.2,8,10,80.0,0.0,0,10,0,0
15,2021-01-20,Wed,Matchweek 1,Home,W 2–0,Manchester City,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,74,1,0,1,0.5,0.5,0.0,0,0,62,68,91.2,6,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,488,25,92.6,31,32,96.9,5,7,71.4,0.0,0,6,0,0
