first_name,second_name,id,unique
Yannick,Bolasie,147,1147
Kevin,Mirallas,148,1148
James,McCarthy,150,1150
Muhamed,Besic,152,1152
Morgan,Schneiderlin,154,1154
Idrissa,Gueye,155,1155
Tom,Davies,156,1156
Ademola,Lookman,157,1157
Davy,Klaassen,158,1158
Dominic,CalvertLewin,159,1159
Sandro,Ramírez,160,1160
Wayne,Rooney,161,1161
Gylfi,Sigurdsson,359,1359
Cuco,Martina,464,1464
Eliaquim,Mangala,502,1502
Nikola,Vlasic,539,1539
Oumar,Niasse,548,1548
Beni,Baningime,563,1563
Cenk,Tosun,592,1592
Luke,Garbutt,629,1629
Joel,Coleman,162,1162
Jonas,Lössl,163,1163
Christopher,Schindler,164,1164
Chris,Löwe,165,1165
Tommy,Smith,166,1166
Michael,Hefele,167,1167
Martin,Cranie,168,1168
Jon Gorenc,Stankovic,169,1169
Mark,Hudson,170,1170
Mathias,Jorgensen,171,1171
Aaron,Mooy,172,1172
Rajiv,van La Parra,173,1173
Jonathan,Hogg,174,1174
Philip,Billing,175,1175
Joe,Lolley,176,1176
Jack,Payne,177,1177
Dean,Whitehead,178,1178
Harry,Bunn,179,1179
Sean,Scannell,180,1180
Elias,Kachunga,181,1181
Tom,Ince,182,1182
Danny,Williams,184,1184
Collin,Quaner,186,1186
Laurent,Depoitre,187,1187
Steve,Mounie,188,1188
Scott,Malone,462,1462
Florent,Hadergjonaj,521,1521
Abdelhamid,Sabiri,522,1522
Robert,Green,547,1547
Terence,Kongolo,591,1591
Alex,Pritchard,593,1593
Kasper,Schmeichel,189,1189
Ben,Hamer,190,1190
Wes,Morgan,191,1191
Christian,Fuchs,192,1192
Danny,Simpson,193,1193
Robert,Huth,194,1194
Yohan,Benalouane,195,1195
Benjamin,Chilwell,196,1196
Harry,Maguire,198,1198
Riyad,Mahrez,199,1199
Marc,Albrighton,200,1200
Demarai,Gray,203,1203
Daniel,Amartey,204,1204
Nampalys,Mendy,205,1205
Wilfred,Ndidi,206,1206
Ahmed,Musa,207,1207
Vicente,Iborra,208,1208
Jamie,Vardy,209,1209
Shinji,Okazaki,211,1211
Kelechi,Iheanacho,258,1258
Eldin,Jakupovic,473,1473
Matty,James,474,1474
Aleksandar,Dragovic,541,1541
Hamza,Choudhury,571,1571
George,Thomas,587,1587
Adrien Sebastian,Perruchet Silva,589,1589
Fousseni,Diabaté,601,1601
Harvey,Barnes,642,1642
Sam,Hughes,645,1645
Layton,Ndukwu,647,1647
Alex,OxladeChamberlain,19,1019
Simon,Mignolet,213,1213
Loris,Karius,214,1214
Dejan,Lovren,215,1215
Alberto,Moreno,216,1216
Nathaniel,Clyne,217,1217
Joseph,Gomez,218,1218
Joel,Matip,219,1219
Ragnar,Klavan,220,1220
James,Milner,222,1222
Trent,AlexanderArnold,223,1223
Leiva,Lucas,224,1224
Jordan,Henderson,225,1225
