,first_name,second_name,id,unique
0,Granit,Xhaka,3,6003
1,Mohamed,Elneny,4,6004
2,Rob,Holding,5,6005
3,Thomas,Partey,6,6006
4,Martin,Ødegaard,7,6007
5,Kieran,Tierney,8,6008
6,Nicolas,Pépé,9,6009
7,Benjamin,White,10,6010
8,Eddie,Nketiah,11,6011
9,Emile,Smith Rowe,12,6012
10,Bukayo,Saka,13,6013
11,Takehiro,Tomiyasu,14,6014
12,Aaron,Ramsdale,15,6015
13,Gabriel,dos Santos Magalhães,16,6016
14,Nuno,Varela Tavares,17,6017
15,Gabriel,Martinelli Silva,19,6019
16,Pablo,Marí Villar,20,6020
17,Lucas,Torreira di Pascua,22,6022
18,Reiss,Nelson,23,6023
19,Matt,Turner,24,6024
20,Fábio,Ferreira Vieira,25,6025
21,William,Saliba,26,6026
22,Marcus,Oliveira Alencar,27,6027
23,Gabriel,Fernando de Jesus,28,6028
24,Leandro,Trossard,111,6111
25,Jorge Luiz,Frello Filho,130,6130
26,Oleksandr,Zinchenko,313,6313
27,Matthew,Smith,607,6607
28,Ethan,Nwaneri,630,6630
29,Lino,Sousa,631,6631
30,Karl,Hein,655,6655
31,Amario,Cozier-Duberry,668,6668
32,Nathan,Butler-Oyedeji,685,6685
33,Jakub,Kiwior,710,6710
34,Reuell,Walters,751,6751
35,Mauro,Bandeira,767,6767
36,Philippe,Coutinho Correia,29,6029
37,Emiliano,Martínez Romero,31,6031
38,Calum,Chambers,32,6032
39,Lucas,Digne,33,6033
40,Bertrand,Traoré,34,6034
41,Robin,Olsen,35,6035
42,Morgan,Sanson,36,6036
43,John,McGinn,37,6037
44,Kortney,Hause,38,6038
45,Tyrone,Mings,39,6039
46,Ollie,Watkins,40,6040
47,Marvelous,Nakamba,41,6041
48,Emiliano,Buendía Stati,42,6042
49,Matty,Cash,43,6043
50,Ezri,Konsa Ngoyo,44,6044
51,Leon,Bailey,45,6045
52,Douglas Luiz,Soares de Paulo,46,6046
53,Jacob,Ramsey,47,6047
54,Tim,Iroegbunam,49,6049
55,Diego Carlos,Santos Silva,50,6050
56,Anwar,El Ghazi,51,6051
57,Keinan,Davis,52,6052
58,Boubacar,Kamara,53,6053
59,Cameron,Archer,54,6054
60,Jaden,Philogene-Bidace,55,6055
61,Frédéric,Guilbert,56,6056
62,Leander,Dendoncker,479,6479
63,Ludwig,Augustinsson,525,6525
64,Kaine,Kesler Hayden,537,6537
65,Ashley,Young,538,6538
66,Lamare,Bogarde,638,6638
67,Filip,Marschall,670,6670
68,Kadan,Young,672,6672
69,Alexandre,Moreno Lopera,694,6694
70,Viljami,Sinisalo,707,6707
71,Jhon,Durán,711,6711
72,Sil,Swinkels,744,6744
73,Oliwier,Zych,745,6745
74,James,Wright,753,6753
75,Sebastian,Revan,754,6754
76,Travis,Patterson,755,6755
77,Tommi,O'Reilly,761,6761
78,Adam,Smith,57,6057
79,Junior,Stanislas,58,6058
80,Ryan,Fredericks,59,6059
81,David,Brooks,60,6060
82,Jamal,Lowe,61,6061
83,Kieffer,Moore,62,6062
84,Emiliano,Marcondes,63,6063
85,Jefferson,Lerma Solís,64,6064
86,Jack,Stacey,65,6065
87,Dominic,Solanke,66,6066
88,Lewis,Cook,67,6067
89,Ben,Pearson,68,6068
90,Ryan,Christie,69,6069
91,Philip,Billing,70,6070
92,Chris,Mepham,71,6071
93,Mark,Travers,72,6072
94,Lloyd,Kelly,73,6073
95,Siriki,Dembélé,74,6074
96,Jaidon,Anthony,75,6075
