,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
489,1f44ac21,Erling-Haaland,Erling Braut Haaland,0,Erling,Haaland,318,Erling Haaland,True
1252,e46012d4,Kevin-De-Bruyne,Kevin De Bruyne,0,Kevin,De Bruyne,301,Kevin De Bruyne,True
2755,5bc43860,Brenden-Aaronson,Brenden Russell Aaronson,0,Brenden,Aaronson,246,Brenden Aaronson,True
4531,f2bf1b0f,Che-Adams,Che Zach Everton Fred Adams,0,Che,Adams,411,Che Adams,True
5091,2b09d998,Tyler-Adams,Tyler Shaan Adams,0,Tyler,Adams,506,Tyler Adams,True
5777,c81d773d,Tosin-Adarabioyo,Tosin Adarabioyo,0,Tosin,Adarabioyo,209,Tosin Adarabioyo,True
6950,288e1e13,Nayef-Aguerd,Nayef Aguerd,0,Nayef,Aguerd,472,Nayef Aguerd,True
7278,a6c58494,Naouirou-Ahamada,Naouirou Mohamed Ahamada,0,Naouirou,Ahamada,725,Naouirou Ahamada,True
8531,9b398aea,Rayan-Ait-Nouri,Rayan Aït Nouri,0,Rayan,Aït-Nouri,487,Rayan Aït-Nouri,True
8684,a8c0acb7,Kristoffer-Ajer,Kristoffer Vassbakk Ajer,0,Kristoffer,Ajer,84,Kristoffer Ajer,True
9837,89ac64a6,Manuel-Akanji,Manuel Akanji,0,Manuel,Akanji,610,Manuel Akanji,True
10594,eaeca114,Nathan-Ake,Nathan Benjamin Aké,0,Nathan,Aké,308,Nathan Aké,True
11256,b827d5b3,Marc-Albrighton,Marc Kevin Albrighton,0,Marc,Albrighton,251,Marc Albrighton,True
12109,77e84962,Thiago-Alcantara,Thiago Alcántara do Nascimento,0,Thiago,Alcántara do Nascimento,277,Thiago Alcántara do Nascimento,True
13112,4abac767,Carlos-Alcaraz,Carlos Alcaraz,0,Carlos,Alcaraz,693,Carlos Alcaraz,True
13673,cd1acf9d,Trent-Alexander-Arnold,Trent John Alexander-Arnold,0,Trent,Alexander-Arnold,285,Trent Alexander-Arnold,True
14447,7a2e46a8,Alisson,Alisson Becker,0,Alisson,Ramses Becker,281,Alisson Ramses Becker,True
16124,862a1c15,Miguel-Almiron,Miguel Ángel Almirón Rejala,0,Miguel,Almirón Rejala,369,Miguel Almirón Rejala,True
16828,15ab5a2b,Julian-Alvarez,Julián Álvarez,0,Julián,Álvarez,319,Julián Álvarez,True
17486,1a4ef233,Daniel-Amartey,Daniel Amartey,0,Daniel,Amartey,257,Daniel Amartey,True
18925,e34fc66d,Joachim-Andersen,Joachim Andersen,0,Joachim,Andersen,165,Joachim Andersen,True
20023,de31038e,Elliot-Anderson,Elliot Anderson,0,Elliot,Anderson,552,Elliot Anderson,True
20324,e4238fb1,Jaidon-Anthony,Jaidon Anthony,0,Jaidon,Anthony,75,Jaidon Anthony,True
21720,ac05f970,Michail-Antonio,Michail Gregory Antonio,0,Michail,Antonio,458,Michail Antonio,True
22320,99127249,Antony,Antony Matheus dos Santos,0,Antony Matheus,dos Santos,609,Antony Matheus dos Santos,True
22621,05e8ca6d,Cameron-Archer,Cameron Archer,0,Cameron,Archer,54,Cameron Archer,True
24067,2f965a72,Alphonse-Areola,Alphonse Areola,0,Alphonse,Areola,473,Alphonse Areola,True
24773,328f7d51,Joe-Aribo,Joe Aribo,0,Joe,Ayodele-Aribo,512,Joe Ayodele-Aribo,True
25534,68c720b5,Adam-Armstrong,Adam James Armstrong,0,Adam,Armstrong,408,Adam Armstrong,True
26309,97333cf5,Stuart-Armstrong,Stuart Armstrong,0,Stuart,Armstrong,405,Stuart Armstrong,True
26655,28d596a0,Kepa-Arrizabalaga,Kepa Arrizabalaga Revuelta,0,Kepa,Arrizabalaga,133,Kepa Arrizabalaga,True
27456,d5dd5f1f,Pierre-Emerick-Aubameyang,Pierre-Emerick Emiliano François Aubameyang,0,Pierre-Emerick,Aubameyang,617,Pierre-Emerick Aubameyang,True
28071,9fec8860,Ludwig-Augustinsson,Hans Carl Ludwig Augustinsson,0,Ludwig,Augustinsson,525,Ludwig Augustinsson,True
29406,5c2b4f07,Serge-Aurier,Serge Alain Stephane Aurier,0,Serge,Aurier,628,Serge Aurier,True
30166,e5478b87,Taiwo-Awoniyi,Taiwo Awoniyi,0,Taiwo,Awoniyi,397,Taiwo Awoniyi,True
30533,f173303a,Yasin-Ayari,Yasin Abbas Ayari,0,Yasin,Ayari,719,Yasin Ayari,True
