,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
310,e342ad68,Mohamed-Salah,Mohamed Salah Ghaly,0,Mohamed,Salah,234,Mohamed Salah,True
981,e46012d4,Kevin-De-Bruyne,Kevin De Bruyne,0,Kevin,De Bruyne,252,Kevin De Bruyne,True
2108,5f09991f,Patrick-van-Aanholt,Patrick John Miguel van Aanholt,0,Patrick,van Aanholt,124,Patrick van Aanholt,True
2989,c5942695,Rolando-Aarons,Rolando Aarons,0,Rolando,Aarons,467,Rolando Aarons,True
3731,f586779e,Tammy-Abraham,Tammy Abraham,0,Tammy,Abraham,374,Tammy Abraham,True
5136,f76e6b4e,Adrian,Adrián San Miguel del Castillo,0,Adrián,San Miguel del Castillo,438,Adrián San Miguel del Castillo,True
5626,9a8c6673,Ibrahim-Afellay,Ibrahim Afellay,0,Ibrahim,Afellay,341,Ibrahim Afellay,True
5877,b63f4077,Benik-Afobe,Benik Tunani Afobe,0,Benik,Afobe,49,Benik Afobe,True
6809,4d034881,Sergio-Aguero,Sergio Leonel Agüero Del Castillo,0,Sergio,Agüero,257,Sergio Agüero,True
7160,eaeca114,Nathan-Ake,Nathan Benjamin Aké,0,Nathan,Aké,38,Nathan Aké,True
8033,b827d5b3,Marc-Albrighton,Marc Kevin Albrighton,0,Marc,Albrighton,200,Marc Albrighton,True
9357,cd1acf9d,Trent-Alexander-Arnold,Trent John Alexander-Arnold,0,Trent,Alexander-Arnold,223,Trent Alexander-Arnold,True
10869,cea4ee8f,Dele-Alli,Bamidele Jermaine Alli,0,Bamidele,Alli,388,Bamidele Alli,True
11129,f4290206,Marcos-Alonso,Marcos Alonso Mendoza,0,Marcos,Alonso,100,Marcos Alonso,True
11917,1a4ef233,Daniel-Amartey,Daniel Amartey,0,Daniel,Amartey,204,Daniel Amartey,True
12445,10b9fa99,Ethan-Ampadu,Ethan Ampadu,0,Ethan,Ampadu,558,Ethan Ampadu,True
13493,7c2a398c,Nordin-Amrabat,Nordin Amrabat,0,Nordin,Amrabat,412,Nordin Amrabat,True
14209,ac05f970,Michail-Antonio,Michail Gregory Antonio,0,Michail,Antonio,454,Michail Antonio,True
14336,b1313ec4,Scott-Arfield,Scott Arfield,0,Scott,Arfield,82,Scott Arfield,True
15572,2f4c5a52,Harry-Arter,Harry Nicholas Arter,0,Harry,Arter,39,Harry Arter,True
16569,8816329f,Christian-Atsu,Christian Atsu Twasam,0,Christian,Atsu,300,Christian Atsu,True
16853,d5dd5f1f,Pierre-Emerick-Aubameyang,Pierre-Emerick Emiliano François Aubameyang,0,Pierre-Emerick,Aubameyang,616,Pierre-Emerick Aubameyang,True
17997,5c2b4f07,Serge-Aurier,Serge Alain Stephane Aurier,0,Serge,Aurier,532,Serge Aurier,True
19260,5dbefa9d,Andre-Ayew,André Morgan Rami Ayew,0,André,Ayew,449,André Ayew,True
19905,da052c14,Jordan-Ayew,Jordan Pierre Ayew,0,Jordan,Ayew,373,Jordan Ayew,True
20185,53cad200,Cesar-Azpilicueta,César Azpilicueta Tanco,0,César,Azpilicueta,97,César Azpilicueta,True
21066,a1232f4e,Eric-Bailly,Eric Bertrand Bailly,0,Eric,Bailly,271,Eric Bailly,True
21550,b18095b6,Leighton-Baines,Leighton John Baines,0,Leighton,Baines,138,Leighton Baines,True
22142,59bf127b,Tiemoue-Bakayoko,Tiemoué Bakayoko,0,Tiemoué,Bakayoko,463,Tiemoué Bakayoko,True
22729,9d597f08,Sam-Baldock,Samuel Edward Thomas Baldock,0,Sam,Baldock,73,Sam Baldock,True
23517,ca9178af,Beni-Baningime,Beni Tangama Baningime,0,Beni,Baningime,563,Beni Baningime,True
