,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
127049,6bd603db,Jean-Philippe-Gbamin,Jean-Philippe Gbamin,0,Jean-Philippe,Gbamin,504,Jean-Philippe Gbamin,True
127942,7ba6d84e,David-de-Gea,David de Gea Quintana,0,David,de Gea,270,David de Gea,True
128600,01962d0d,Joe-Gelhardt,Joe Gelhardt,0,Joe,Gelhardt,577,Joe Gelhardt,True
129234,ffa90327,Anwar-El-Ghazi,Anwar El Ghazi,0,Anwar,El Ghazi,42,Anwar El Ghazi,True
129807,f7b1d4e0,Saman-Ghoddos,Saman Ghoddos,0,Saman,Ghoddos,85,Saman Ghoddos,True
131899,32f60ed8,Morgan-Gibbs-White,Morgan Gibbs-White,0,Morgan,Gibbs-White,440,Morgan Gibbs-White,True
132454,bcfb0142,Ben-Gibson,Benjamin James Gibson,0,Ben,Gibson,456,Ben Gibson,True
133261,7b5ab7f2,Bryan-Gil,Bryan Gil Salvatierra,0,Bryan,Gil Salvatierra,487,Bryan Gil Salvatierra,True
133905,df10e27c,Billy-Gilmour,Billy Gilmour,0,Billy,Gilmour,145,Billy Gilmour,True
134409,9f7c837d,Ben-Godfrey,Benjamin Matthew Godfrey,0,Ben,Godfrey,179,Ben Godfrey,True
135139,1961b2aa,Andre-Gomes,André Filipe Tavares Gomes,0,André Filipe,Tavares Gomes,172,André Filipe Tavares Gomes,True
136341,f0caab96,Toti-Gomes,Toti António Gomes,0,Toti António,Gomes,685,Toti António Gomes,True
136732,7a11550b,Joe-Gomez,Joseph Dave Gomez,0,Joseph,Gomez,238,Joseph Gomez,True
137179,7aee4dd3,Charlie-Goode,Charlie Goode,0,Charlie,Goode,87,Charlie Goode,True
138103,2bd83368,Anthony-Gordon,Anthony Gordon,0,Anthony,Gordon,503,Anthony Gordon,True
138957,19a9cb70,Kaide-Gordon,Kaide Gordon,0,Kaide,Gordon,625,Kaide Gordon,True
139911,7fec31a0,Dan-Gosling,Daniel Gosling,0,Dan,Gosling,378,Dan Gosling,True
140312,4468ec10,Demarai-Gray,Demarai Ramelle Gray,0,Demarai,Gray,484,Demarai Gray,True
141174,b0b4fd3e,Jack-Grealish,Jack Grealish,0,Jack,Grealish,33,Jack Grealish,True
141962,58eee997,Mason-Greenwood,Mason Greenwood,0,Mason,Greenwood,289,Mason Greenwood,True
142597,f3354c07,Sam-Greenwood,Sam Greenwood,0,Sam,Greenwood,550,Sam Greenwood,True
143104,8aec0537,Pascal-Gross,Pascal Groß,0,Pascal,Groß,55,Pascal Groß,True
143944,ab13a5aa,Vicente-Guaita,Vicente Guaita Panadero,0,Vicente,Guaita,146,Vicente Guaita,True
144701,d0706b27,Marc-Guehi,Marc Guéhi,0,Marc,Guéhi,477,Marc Guéhi,True
145695,82518f62,Bruno-Guimaraes,Bruno Guimarães Rodriguez Moura,0,Bruno,Guimarães Rodriguez Moura,697,Bruno Guimarães Rodriguez Moura,True
147192,e082af5b,Angus-Gunn,Angus Fraser James Gunn,0,Angus,Gunn,448,Angus Gunn,True
147916,e9254eec,Grant-Hanley,Grant Campbell Hanley,0,Grant,Hanley,319,Grant Hanley,True
148489,aa849a12,Jack-Harrison,Jack Harrison,0,Jack,Harrison,267,Jack Harrison,True
148928,bf8fad51,Kortney-Hause,Kortney Hause,0,Kortney,Hause,36,Kortney Hause,True
149827,fed7cb61,Kai-Havertz,Kai Havertz,0,Kai,Havertz,141,Kai Havertz,True
150841,c951a6df,Isaac-Hayden,Isaac Scot Hayden,0,Isaac,Hayden,306,Isaac Hayden,True
152193,935e6b8f,Jordan-Henderson,Jordan Brian Henderson,0,Jordan,Henderson,222,Jordan Henderson,True
153043,989d5705,Jeff-Hendrick,Jeffrey Patrick Hendrick,0,Jeff,Hendrick,297,Jeff Hendrick,True
153479,76eca7e2,Wayne-Hennessey,Wayne Robert Hennessey,0,Wayne,Hennessey,480,Wayne Hennessey,True
154126,8a3c1dc7,Rico-Henry,Rico Henry,0,Rico,Henry,83,Rico Henry,True
155486,9a71e978,Ki-Jana-Hoever,Ki-Jana Delano Hoever,0,Ki-Jana,Hoever,443,Ki-Jana Hoever,True
155519,d79a8c87,Rob-Holding,Rob Holding,0,Rob,Holding,14,Rob Holding,True
156518,d0042ab9,Mason-Holgate,Mason Holgate,0,Mason,Holgate,178,Mason Holgate,True
157196,15f3ec41,Callum-Hudson-Odoi,Callum Hudson-Odoi,0,Callum,Hudson-Odoi,140,Callum Hudson-Odoi,True
157964,a0666d3e,Will-Hughes,William James Hughes,0,Will,Hughes,386,Will Hughes,True
159044,8b04d6c1,Pierre-Hojbjerg,Pierre-Emile Højbjerg,0,Pierre-Emile,Højbjerg,365,Pierre-Emile Højbjerg,True
159718,291e3ec3,Adam-Idah,Adam Uche Idah,0,Adam,Idah,329,Adam Idah,True
160244,c92e1a31,Kelechi-Iheanacho,Kelechi Promise Iheanacho,0,Kelechi,Iheanacho,213,Kelechi Iheanacho,True
161481,84c5ceea,Tim-Iroegbunam,Tim Iroegbunam,0,Tim,Iroegbunam,638,Tim Iroegbunam,True
162410,6ca5ec4b,Alex-Iwobi,Alex Iwobi,0,Alex,Iwobi,174,Alex Iwobi,True
163230,c931d9f9,Daniel-James,Daniel Owen James,0,Daniel,James,287,Daniel James,True
163831,1265a93a,Reece-James,Reece James,0,Reece,James,142,Reece James,True
164445,8449d35e,Vitaly-Janelt,Vitaly Janelt,0,Vitaly,Janelt,84,Vitaly Janelt,True
165174,172e52d8,Pontus-Jansson,Pontus Sven Gustav Jansson,0,Pontus,Jansson,76,Pontus Jansson,True
165921,0f134faf,Mathias-Jensen,Mathias Jensen,0,Mathias,Jensen,86,Mathias Jensen,True
166984,b66315ae,Gabriel-Jesus,Gabriel Fernando de Jesus,0,Gabriel Fernando,de Jesus,263,Gabriel Fernando de Jesus,True
168002,b561db50,Raul-Jimenez,Raúl Alonso Jiménez Rodríguez,0,Raúl,Jiménez,430,Raúl Jiménez,True
168679,e8832875,Joao-Pedro,João Pedro Junqueira de Jesus,0,João Pedro,Junqueira de Jesus,404,João Pedro Junqueira de Jesus,True
170196,9319781b,Ben-Johnson,Benjamin Johnson,0,Ben,Johnson,425,Ben Johnson,True
170640,4fb9c88f,Curtis-Jones,Curtis Jones,0,Curtis,Jones,244,Curtis Jones,True
171451,def899bd,Phil-Jones,Philip Anthony Jones,0,Phil,Jones,632,Phil Jones,True
171920,45db685d,Jorginho,Jorge Luiz Frello Filho,0,Jorge Luiz,Frello Filho,123,Jorge Luiz Frello Filho,True
172847,178ae8f8,Diogo-Jota,Diogo Jota,0,Diogo,Jota,240,Diogo Jota,True
173515,fb614c44,James-Justin,James Justin,0,James,Justin,218,James Justin,True
175206,2d61d13a,Ozan-Kabak,Ozan Kabak,0,Ozan,Kabak,580,Ozan Kabak,True
176030,914ab9a1,Christian-Kabasele,Christian Kabasele,0,Christian,Kabasele,384,Christian Kabasele,True
176804,b8d22478,Samuel-Kalu,Samuel Kalu,0,Samuel,Kalu,698,Samuel Kalu,True
177538,19a12bed,Hassane-Kamara,Hassane Kamara,0,Hassane,Kamara,676,Hassane Kamara,True
178199,21a66f6a,Harry-Kane,Harry Edward Kane,0,Harry,Kane,357,Harry Kane,True
178559,b9fbae28,NGolo-Kante,N'Golo Kanté,0,N'Golo,Kanté,130,N'Golo Kanté,True
179751,f99b71de,Edo-Kayembe,Edo Kayembe,0,Edo,Kayembe,679,Edo Kayembe,True
180116,3d50bcdb,Moise-Kean,Moise Kean,0,Moise,Kean,564,Moise Kean,True
180830,c5b7c315,Michael-Keane,Michael Vincent Keane,0,Michael,Keane,169,Michael Keane,True
183003,5eebbfdf,Kenedy,Robert Kenedy Nunes do Nascimento,0,Robert Kenedy,Nunes do Nascimento,690,Robert Kenedy Nunes do Nascimento,True
183796,099e666f,Jonjoe-Kenny,Jonjoe Kenny,0,Jonjoe,Kenny,502,Jonjoe Kenny,True
184962,d0f72bf1,Max-Kilman,Max Kilman,0,Max,Kilman,439,Max Kilman,True
185635,43458538,Joshua-King,Joshua Christian Kojo King,0,Joshua,King,468,Joshua King,True
186079,3f70db80,Kristoffer-Klaesson,Kristoffer-August Sundquist Klaesson,0,Kristoffer,Klaesson,490,Kristoffer Klaesson,True
186799,282679b4,Mateusz-Klich,Mateusz Klich,0,Mateusz,Klich,186,Mateusz Klich,True
187544,ea6bc03a,Robin-Koch,Robin Koch,0,Robin,Koch,194,Robin Koch,True
189064,5ed9b537,Ibrahima-Konate,Ibrahima Konaté,0,Ibrahima,Konaté,243,Ibrahima Konaté,True
189470,0313a347,Ezri-Konsa,Ezri Konsa Ngoyo,0,Ezri,Konsa Ngoyo,45,Ezri Konsa Ngoyo,True
190379,8d3c902d,Cheikhou-Kouyate,Cheikhou Kouyaté,0,Cheikhou,Kouyaté,150,Cheikhou Kouyaté,True
192110,77cf6852,Emil-Krafth,Emil Henry ­Kristoffer Krafth,0,Emil,Krafth,303,Emil Krafth,True
193605,f23f9d20,Tim-Krul,Timothy Krul,0,Tim,Krul,314,Tim Krul,True
194482,5aaef9ef,Juraj-Kucka,Juraj Kucka,0,Juraj,Kucka,495,Juraj Kucka,True
195177,df3cda47,Dejan-Kulusevski,Dejan Kulusevski,0,Dejan,Kulusevski,701,Dejan Kulusevski,True
195310,9dbb75ca,Alexandre-Lacazette,Alexandre Lacazette,0,Alexandre,Lacazette,6,Alexandre Lacazette,True
196166,99813635,Adam-Lallana,Adam David Lallana,0,Adam,Lallana,53,Adam Lallana,True
196919,f4e433d4,Tariq-Lamptey,Tariq Lamptey,0,Tariq,Lamptey,71,Tariq Lamptey,True
198193,26f6dca8,Manuel-Lanzini,Manuel Lanzini,0,Manuel,Lanzini,416,Manuel Lanzini,True
198671,119b9a8e,Aymeric-Laporte,Aymeric Laporte,0,Aymeric,Laporte,259,Aymeric Laporte,True
199476,450ab6fc,Jamaal-Lascelles,Jamaal Lascelles,0,Jamaal,Lascelles,299,Jamaal Lascelles,True
200260,f5044e54,Pierre-Lees-Melou,Pierre Lees-Melou,0,Pierre,Lees-Melou,471,Pierre Lees-Melou,True
200651,2ff964a0,Aaron-Lennon,Aaron Justin Lennon,0,Aaron,Lennon,575,Aaron Lennon,True
201201,2628fd2b,Bernd-Leno,Bernd Leno,0,Bernd,Leno,1,Bernd Leno,True
202436,efb9215a,Jamal-Lewis,Jamal Lewis,0,Jamal,Lewis,311,Jamal Lewis,True
203129,f5deef4c,Victor-Lindelof,Victor Jörgen Nilsson Lindelöf,0,Victor,Lindelöf,284,Victor Lindelöf,True
203859,810e3c74,Jesse-Lingard,Jesse Ellis Lingard,0,Jesse,Lingard,276,Jesse Lingard,True
205228,bba30585,Diego-Llorente,Diego Javier Llorente Ríos,0,Diego,Llorente,190,Diego Llorente,True
206202,8f62b6ee,Hugo-Lloris,Hugo Lloris,0,Hugo,Lloris,353,Hugo Lloris,True
206956,d7553721,Giovani-Lo-Celso,Giovani Lo Celso,0,Giovani,Lo Celso,372,Giovani Lo Celso,True
207252,6cc47ae1,Jurgen-Locadia,Jürgen Locadia,0,Jürgen,Locadia,595,Jürgen Locadia,True
208041,e97fd090,Ruben-Loftus-Cheek,Ruben Ira Loftus-Cheek,0,Ruben,Loftus-Cheek,132,Ruben Loftus-Cheek,True
208738,5a4280b1,Kevin-Long,Kevin Finbarr Long,0,Kevin,Long,103,Kevin Long,True
209876,9f472354,Shane-Long,Shane Patrick Long,0,Shane,Long,519,Shane Long,True
210541,a2b105e0,Sean-Longstaff,Sean Longstaff,0,Sean,Longstaff,309,Sean Longstaff,True
211111,7c104bb7,Ademola-Lookman,Ademola Lookman,0,Ademola,Lookman,587,Ademola Lookman,True
211640,939bc634,Jonas-Lossl,Jonas Lössl,0,Jonas,Lössl,673,Jonas Lössl,True
213166,9a9c05db,Matthew-Lowton,Matthew John Lowton,0,Matthew,Lowton,110,Matthew Lowton,True
213796,6f7d826d,Douglas-Luiz,Douglas Luiz Soares de Paulo,0,Douglas Luiz,Soares de Paulo,50,Douglas Luiz Soares de Paulo,True
214688,5eae500a,Romelu-Lukaku,Romelu Menama Lukaku,0,Romelu,Lukaku,529,Romelu Lukaku,True
215775,b5bf1770,Lyanco,Lyanco,0,Lyanco Evangelista,Silveira Neves Vojnovic,567,Lyanco Evangelista Silveira Neves Vojnovic,True
216084,83d074ff,Alexis-Mac-Allister,Alexis Mac Allister,0,Alexis,Mac Allister,74,Alexis Mac Allister,True
216992,ee38d9c5,James-Maddison,James Daniel Maddison,0,James,Maddison,212,James Maddison,True
217031,ee38d9c5,James-Maddison,James Daniel Maddison,0,Daniel,James,287,Daniel James,True
217859,d8931174,Harry-Maguire,Jacob Harry Maguire,0,Harry,Maguire,273,Harry Maguire,True
218565,892d5bb1,Riyad-Mahrez,Riyad Mahrez,0,Riyad,Mahrez,254,Riyad Mahrez,True
218900,e3a5814e,Ainsley-Maitland-Niles,Ainsley Cory Maitland-Niles,0,Ainsley,Maitland-Niles,13,Ainsley Maitland-Niles,True
220005,c691bfe2,Sadio-Mane,Sadio Mané,0,Sadio,Mané,230,Sadio Mané,True
220852,758dd7f0,Javier-Manquillo,Javier Manquillo Gaitán,0,Javier,Manquillo,302,Javier Manquillo,True
221805,9ae9eaea,Fernando-Marcal,Fernando Marçal de Oliveira,0,Fernando,Marçal,432,Fernando Marçal,True
221967,bb5fbd2b,Solly-March,Solomon March,0,Solomon,March,60,Solomon March,True
222581,aa54ec6f,Pablo-Mari,Pablo Marí Villar,0,Pablo,Marí,8,Pablo Marí,True
223760,8b788c01,Anthony-Martial,Anthony Martial,0,Anthony,Martial,278,Anthony Martial,True
224071,48a5a5d6,Gabriel-Martinelli,Gabriel Teodoro Martinelli Silva,0,Gabriel Teodoro,Martinelli Silva,26,Gabriel Teodoro Martinelli Silva,True
224834,7956236f,Emiliano-Martinez,Damián Emiliano Martínez,0,Emiliano,Martínez,30,Emiliano Martínez,True
226151,de0f152c,Adam-Masina,Adam Masina,0,Adam,Masina,390,Adam Masina,True
226937,57df7a11,Arthur-Masuaku,Fuka Arthur Masuaku,0,Arthur,Masuaku,417,Arthur Masuaku,True
227455,29733c72,Juan-Mata,Juan Manuel Mata,0,Juan,Mata,459,Juan Mata,True
227975,50e6dc35,Jean-Philippe-Mateta,Jean-Philippe Mateta,0,Jean-Philippe,Mateta,159,Jean-Philippe Mateta,True
230077,4bcf39f6,Neal-Maupay,Neal Maupay,0,Neal,Maupay,63,Neal Maupay,True
230787,6afaebf2,Bryan-Mbeumo,Bryan Mbeumo,0,Bryan,Mbeumo,96,Bryan Mbeumo,True
231649,cee31595,James-McArthur,James McArthur,0,James,McArthur,148,James McArthur,True
233225,b2c66859,Kasey-McAteer,Kasey McAteer,0,Kasey,McAteer,647,Kasey McAteer,True
233990,076bb352,Liam-McCarron,Liam McCarron,0,Liam,McCarron,576,Liam McCarron,True
234914,36c2ca73,Alex-McCarthy,Alex Simon McCarthy,0,Alex,McCarthy,334,Alex McCarthy,True
235156,90f91999,John-McGinn,John McGinn,0,John,McGinn,35,John McGinn,True
236204,1000a059,Stuart-McKinstry,Stuart McKinstry,0,Stuart,McKinstry,601,Stuart McKinstry,True
