,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
21,d5dd5f1f,Pierre-Emerick-Aubameyang,Pierre-Emerick Emiliano François Aubameyang,0,Pierre-Emerick,Aubameyang,23,Pierre-Emerick Aubameyang,True
984,c691bfe2,Sadio-Mane,Sadio Mané,0,Sadio,Mané,251,Sadio Mané,True
1415,a39bb753,Eden-Hazard,Eden Michael Hazard,0,Eden,Hazard,122,Eden Hazard,True
2240,7a2e46a8,Alisson,Alisson Becker,0,Alisson,Ramses Becker,468,Alisson Ramses Becker,True
2689,5f09991f,Patrick-van-Aanholt,Patrick John Miguel van Aanholt,0,Patrick,van Aanholt,142,Patrick van Aanholt,True
3514,4d034881,Sergio-Aguero,Sergio Leonel Agüero Del Castillo,0,Sergio,Agüero,280,Sergio Agüero,True
3783,eaeca114,Nathan-Ake,Nathan Benjamin Aké,0,Nathan,Aké,31,Nathan Aké,True
4694,b827d5b3,Marc-Albrighton,Marc Kevin Albrighton,0,Marc,Albrighton,224,Marc Albrighton,True
5970,cd1acf9d,Trent-Alexander-Arnold,Trent John Alexander-Arnold,0,Trent,Alexander-Arnold,245,Trent Alexander-Arnold,True
6751,cea4ee8f,Dele-Alli,Bamidele Jermaine Alli,0,Bamidele,Alli,365,Bamidele Alli,True
7323,862a1c15,Miguel-Almiron,Miguel Ángel Almirón Rejala,0,Miguel,Almirón,587,Miguel Almirón,True
7648,f4290206,Marcos-Alonso,Marcos Alonso Mendoza,0,Marcos,Alonso,115,Marcos Alonso,True
8440,1a4ef233,Daniel-Amartey,Daniel Amartey,0,Daniel,Amartey,226,Daniel Amartey,True
9256,77128f7e,Luke-Amos,Luke Amos,0,Luke,Amos,523,Luke Amos,True
9944,9f1893b9,Felipe-Anderson,Felipe Anderson Pereira Gomes,0,Felipe Anderson,Pereira Gomes,465,Felipe Anderson Pereira Gomes,True
10067,dc008610,Florin-Andone,Florin Andone,0,Florin,Andone,66,Florin Andone,True
11183,ac05f970,Michail-Antonio,Michail Gregory Antonio,0,Michail,Antonio,415,Michail Antonio,True
11713,97333cf5,Stuart-Armstrong,Stuart Armstrong,0,Stuart,Armstrong,345,Stuart Armstrong,True
12662,28d596a0,Kepa-Arrizabalaga,Kepa Arrizabalaga Revuelta,0,Kepa,Arrizabalaga,498,Kepa Arrizabalaga,True
13229,2f4c5a52,Harry-Arter,Harry Nicholas Arter,0,Harry,Arter,33,Harry Arter,True
14170,8816329f,Christian-Atsu,Christian Atsu Twasam,0,Christian,Atsu,320,Christian Atsu,True
