,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
270,45963054,Jamie-Vardy,Jamie Richard Vardy,0,Jamie,Vardy,166,Jamie Vardy,True
1004,e46012d4,Kevin-De-Bruyne,Kevin De Bruyne,0,Kevin,De Bruyne,215,Kevin De Bruyne,True
1667,3bb7b8b4,Ederson,Ederson Moraes,0,Ederson,Santana de Moraes,212,Ederson Santana de Moraes,True
2197,5f09991f,Patrick-van-Aanholt,Patrick John Miguel van Aanholt,0,Patrick,van Aanholt,123,Patrick van Aanholt,True
3093,774cf58b,Max-Aarons,Maximillian James Aarons,0,Maximillian,Aarons,274,Maximillian Aarons,True
3518,f586779e,Tammy-Abraham,Tammy Abraham,0,Tammy,Abraham,460,Tammy Abraham,True
4512,f2bf1b0f,Che-Adams,Che Zach Everton Fred Adams,0,Che,Adams,437,Che Adams,True
4979,f76e6b4e,Adrian,Adrián San Miguel del Castillo,0,Adrián,San Miguel del Castillo,526,Adrián San Miguel del Castillo,True
5661,4d034881,Sergio-Aguero,Sergio Leonel Agüero Del Castillo,0,Sergio,Agüero,210,Sergio Agüero,True
6617,2b1c4abd,Albian-Ajeti,Albian Afrim Ajeti,0,Albian,Ajeti,514,Albian Ajeti,True
6731,eaeca114,Nathan-Ake,Nathan Benjamin Aké,0,Nathan,Aké,59,Nathan Aké,True
7604,b827d5b3,Marc-Albrighton,Marc Kevin Albrighton,0,Marc,Albrighton,174,Marc Albrighton,True
8954,cd1acf9d,Trent-Alexander-Arnold,Trent John Alexander-Arnold,0,Trent,Alexander-Arnold,182,Trent Alexander-Arnold,True
9627,7a2e46a8,Alisson,Alisson Becker,0,Alisson,Ramses Becker,189,Alisson Ramses Becker,True
10532,cea4ee8f,Dele-Alli,Bamidele Jermaine Alli,0,Bamidele,Alli,344,Bamidele Alli,True
11059,862a1c15,Miguel-Almiron,Miguel Ángel Almirón Rejala,0,Miguel,Almirón,266,Miguel Almirón,True
11490,f4290206,Marcos-Alonso,Marcos Alonso Mendoza,0,Marcos,Alonso,103,Marcos Alonso,True
12118,ad1f61f3,Steven-Alzate,Steven Alzate,0,Steven,Alzate,537,Steven Alzate,True
13105,9260926b,Ibrahim-Amadou,Ibrahim Amadou,0,Ibrahim,Amadou,507,Ibrahim Amadou,True
13930,9f1893b9,Felipe-Anderson,Felipe Anderson Pereira Gomes,0,Felipe Anderson,Pereira Gomes,390,Felipe Anderson Pereira Gomes,True
14097,dc008610,Florin-Andone,Florin Andone,0,Florin,Andone,46,Florin Andone,True
15514,b105919e,Faustino-Anjorin,Faustino Anjorin,0,Faustino,Anjorin,630,Faustino Anjorin,True
16593,ac05f970,Michail-Antonio,Michail Gregory Antonio,0,Michail,Antonio,389,Michail Antonio,True
17159,97333cf5,Stuart-Armstrong,Stuart Armstrong,0,Stuart,Armstrong,323,Stuart Armstrong,True
17491,28d596a0,Kepa-Arrizabalaga,Kepa Arrizabalaga Revuelta,0,Kepa,Arrizabalaga,111,Kepa Arrizabalaga,True
18386,8816329f,Christian-Atsu,Christian Atsu Twasam,0,Christian,Atsu,267,Christian Atsu,True
18658,d5dd5f1f,Pierre-Emerick-Aubameyang,Pierre-Emerick Emiliano François Aubameyang,0,Pierre-Emerick,Aubameyang,11,Pierre-Emerick Aubameyang,True
19849,5c2b4f07,Serge-Aurier,Serge Alain Stephane Aurier,0,Serge,Aurier,336,Serge Aurier,True
20198,da052c14,Jordan-Ayew,Jordan Pierre Ayew,0,Jordan,Ayew,468,Jordan Ayew,True
20816,53cad200,Cesar-Azpilicueta,César Azpilicueta Tanco,0,César,Azpilicueta,105,César Azpilicueta,True
21673,a1232f4e,Eric-Bailly,Eric Bertrand Bailly,0,Eric,Bailly,228,Eric Bailly,True
22214,b18095b6,Leighton-Baines,Leighton John Baines,0,Leighton,Baines,145,Leighton Baines,True
23246,3626f7d9,Fabian-Balbuena,Fabián Balbuena,0,Fabián,Balbuena,382,Fabián Balbuena,True
23774,394854c4,George-Baldock,George Henry Ivor Baldock,0,George,Baldock,294,George Baldock,True
24114,1ae30132,Phil-Bardsley,Phillip Anthony Bardsley,0,Phil,Bardsley,86,Phil Bardsley,True
24823,3a24769f,Ross-Barkley,Ross Barkley,0,Ross,Barkley,117,Ross Barkley,True
25450,2691c772,Ashley-Barnes,Ashley Luke Barnes,0,Ashley,Barnes,90,Ashley Barnes,True
