,url_id,tag,key,first_name,second_name,id,full_name,keep
0,e342ad68,Mohamed-Salah,0,Mohamed,Salah,233,Mohamed Salah,True
1,7a2e46a8,Alisson,0,Alisson,Ramses Becker,231,Alisson Ramses Becker,True
2,3bb7b8b4,Ederson,0,Ederson,Santana de Moraes,257,Ederson Santana de Moraes,True
3,774cf58b,Max-Aarons,0,Max,Aarons,326,Max Aarons,True
4,f2bf1b0f,Che-Adams,0,Che,Adams,345,Che Adams,True
5,9b398aea,Rayan-Ait-Nouri,0,Rayan,Ait Nouri,470,Rayan Ait Nouri,True
6,a8c0acb7,Kristoffer-Ajer,0,Kristoffer,Ajer,483,Kristoffer Ajer,True
7,b827d5b3,Marc-Albrighton,0,Marc,Albrighton,202,Marc Albrighton,True
8,cd1acf9d,Trent-Alexander-Arnold,0,Trent,Alexander-Arnold,237,Trent Alexander-Arnold,True
9,cc700722,Allan,0,Allan,Marques Loureiro,171,Allan Marques Loureiro,True
11,f4290206,Marcos-Alonso,0,Marcos,Alonso,122,Marcos Alonso,True
12,ad1f61f3,Steven-Alzate,0,Steven,Alzate,73,Steven Alzate,True
13,1a4ef233,Daniel-Amartey,0,Daniel,Amartey,208,Daniel Amartey,True
14,e34fc66d,Joachim-Andersen,0,Joachim,Andersen,488,Joachim Andersen,True
15,ac05f970,Michail-Antonio,0,Michail,Antonio,413,Michail Antonio,True
16,05e8ca6d,Cameron-Archer,0,Cameron,Archer,568,Cameron Archer,True
17,2f965a72,Alphonse-Areola,0,Alphonse,Areola,489,Alphonse Areola,True
18,68c720b5,Adam-Armstrong,0,Adam,Armstrong,525,Adam Armstrong,True
19,97333cf5,Stuart-Armstrong,0,Stuart,Armstrong,339,Stuart Armstrong,True
20,28d596a0,Kepa-Arrizabalaga,0,Kepa,Arrizabalaga,129,Kepa Arrizabalaga,True
21,b391383a,Harrison-Ashby,0,Harrison,Ashby,617,Harrison Ashby,True
22,d5dd5f1f,Pierre-Emerick-Aubameyang,0,Pierre-Emerick,Aubameyang,4,Pierre-Emerick Aubameyang,True
23,da052c14,Jordan-Ayew,0,Jordan,Ayew,153,Jordan Ayew,True
24,420d7c7d,Luke-Ayling,0,Luke,Ayling,185,Luke Ayling,True
25,1c0eea98,Daniel-Bachmann,0,Daniel,Bachmann,389,Daniel Bachmann,True
26,3a233281,Leon-Bailey,0,Leon,Bailey,492,Leon Bailey,True
27,a1232f4e,Eric-Bailly,0,Eric,Bailly,286,Eric Bailly,True
28,31822f8c,Folarin-Balogun,0,Folarin,Balogun,530,Folarin Balogun,True
29,93feac6e,Patrick-Bamford,0,Patrick,Bamford,189,Patrick Bamford,True
30,2886c9b5,Shandon-Baptiste,0,Shandon,Baptiste,499,Shandon Baptiste,True
31,3a24769f,Ross-Barkley,0,Ross,Barkley,124,Ross Barkley,True
32,2691c772,Ashley-Barnes,0,Ashley,Barnes,105,Ashley Barnes,True
33,3ea50f67,Harvey-Barnes,0,Harvey,Barnes,215,Harvey Barnes,True
34,cd4256d3,Lewis-Bate,0,Lewis,Bate,624,Lewis Bate,True
35,4115ce4e,Jan-Bednarek,0,Jan,Bednarek,343,Jan Bednarek,True
36,50dc94ce,Donny-van-de-Beek,0,Donny,van de Beek,282,Donny van de Beek,True
37,3b8674e6,Rodrigo-Bentancur,0,Rodrigo,Bentancur,702,Rodrigo Bentancur,True
38,ab070c55,Christian-Benteke,0,Christian,Benteke,149,Christian Benteke,True
39,f72293fc,Johann-Berg-Gudmundsson,0,Johann Berg,Gudmundsson,108,Johann Berg Gudmundsson,True
