,url_id,tag,fbref_name,key,first_name,second_name,id,full_name,keep
572,21a66f6a,Harry-Kane,Harry Edward Kane,0,Harry,Kane,388,Harry Kane,True
1111,3bb7b8b4,Ederson,Ederson Moraes,0,Ederson,Santana de Moraes,278,Ederson Santana de Moraes,True
1610,5f09991f,Patrick-van-Aanholt,Patrick John Miguel van Aanholt,0,Patrick,van Aanholt,139,Patrick van Aanholt,True
2294,f586779e,Tammy-Abraham,Tammy Abraham,0,Tammy,Abraham,118,Tammy Abraham,True
3400,f2bf1b0f,Che-Adams,Che Zach Everton Fred Adams,0,Che,Adams,377,Che Adams,True
3837,c81d773d,Tosin-Adarabioyo,Tosin Adarabioyo,0,Tosin,Adarabioyo,572,Tosin Adarabioyo,True
4632,f76e6b4e,Adrian,Adrián San Miguel del Castillo,0,Adrián,San Miguel del Castillo,245,Adrián San Miguel del Castillo,True
5379,4d034881,Sergio-Aguero,Sergio Leonel Agüero Del Castillo,0,Sergio,Agüero,268,Sergio Agüero,True
5974,246d153b,Ola-Aina,Ola Aina,0,Ola,Aina,562,Ola Aina,True
8242,eaeca114,Nathan-Ake,Nathan Benjamin Aké,0,Nathan,Aké,279,Nathan Aké,True
8839,b827d5b3,Marc-Albrighton,Marc Kevin Albrighton,0,Marc,Albrighton,221,Marc Albrighton,True
9432,77e84962,Thiago-Alcantara,Thiago Alcántara do Nascimento,0,Thiago,Thiago,490,Thiago Thiago,True
9643,77e84962,Thiago-Alcantara,Thiago Alcántara do Nascimento,0,Thiago,Alcántara do Nascimento,531,Thiago Alcántara do Nascimento,True
10725,8fa8f8d2,Runar-Alex-Runarsson,Rúnar Alex Rúnarsson,0,Rúnar Alex,Rúnarsson,547,Rúnar Alex Rúnarsson,True
11775,cd1acf9d,Trent-Alexander-Arnold,Trent John Alexander-Arnold,0,Trent,Alexander-Arnold,259,Trent Alexander-Arnold,True
13195,7a2e46a8,Alisson,Alisson Becker,0,Alisson,Ramses Becker,252,Alisson Ramses Becker,True
13772,cc700722,Allan,Allan Marques Loureiro,0,Allan,Marques Loureiro,502,Allan Marques Loureiro,True
14838,cea4ee8f,Dele-Alli,Bamidele Jermaine Alli,0,Bamidele,Alli,394,Bamidele Alli,True
15454,862a1c15,Miguel-Almiron,Miguel Ángel Almirón Rejala,0,Miguel,Almirón,339,Miguel Almirón,True
15830,f4290206,Marcos-Alonso,Marcos Alonso Mendoza,0,Marcos,Alonso,104,Marcos Alonso,True
16491,ad1f61f3,Steven-Alzate,Steven Alzate,0,Steven,Alzate,79,Steven Alzate,True
17401,1a4ef233,Daniel-Amartey,Daniel Amartey,0,Daniel,Amartey,227,Daniel Amartey,True
18341,10b9fa99,Ethan-Ampadu,Ethan Ampadu,0,Ethan,Ampadu,509,Ethan Ampadu,True
18809,e34fc66d,Joachim-Andersen,Joachim Andersen,0,Joachim,Andersen,571,Joachim Andersen,True
19744,de31038e,Elliot-Anderson,Elliot Anderson,0,Elliot,Anderson,602,Elliot Anderson,True
20617,9f1893b9,Felipe-Anderson,Felipe Anderson Pereira Gomes,0,Felipe Anderson,Pereira Gomes,440,Felipe Anderson Pereira Gomes,True
21327,ac05f970,Michail-Antonio,Michail Gregory Antonio,0,Michail,Antonio,437,Michail Antonio,True
21656,2f965a72,Alphonse-Areola,Alphonse Areola,0,Alphonse,Areola,516,Alphonse Areola,True
22643,97333cf5,Stuart-Armstrong,Stuart Armstrong,0,Stuart,Armstrong,368,Stuart Armstrong,True
22966,28d596a0,Kepa-Arrizabalaga,Kepa Arrizabalaga Revuelta,0,Kepa,Arrizabalaga,112,Kepa Arrizabalaga,True
23532,d5dd5f1f,Pierre-Emerick-Aubameyang,Pierre-Emerick Emiliano François Aubameyang,0,Pierre-Emerick,Aubameyang,4,Pierre-Emerick Aubameyang,True
24815,5c2b4f07,Serge-Aurier,Serge Alain Stephane Aurier,0,Serge,Aurier,389,Serge Aurier,True
25853,da052c14,Jordan-Ayew,Jordan Pierre Ayew,0,Jordan,Ayew,140,Jordan Ayew,True
26698,420d7c7d,Luke-Ayling,Luke David Ayling,0,Luke,Ayling,197,Luke Ayling,True
27236,53cad200,Cesar-Azpilicueta,César Azpilicueta Tanco,0,César,Azpilicueta,102,César Azpilicueta,True
28247,a1232f4e,Eric-Bailly,Eric Bertrand Bailly,0,Eric,Bailly,310,Eric Bailly,True
29176,3626f7d9,Fabian-Balbuena,Fabián Balbuena,0,Fabián,Balbuena,443,Fabián Balbuena,True
29737,394854c4,George-Baldock,George Henry Ivor Baldock,0,George,Baldock,351,George Baldock,True
30541,a58bb1e1,Gareth-Bale,Gareth Frank Bale,0,Gareth,Bale,543,Gareth Bale,True
30981,93feac6e,Patrick-Bamford,Patrick James Bamford,0,Patrick,Bamford,202,Patrick Bamford,True
31483,1ae30132,Phil-Bardsley,Phillip Anthony Bardsley,0,Phil,Bardsley,82,Phil Bardsley,True
32145,3a24769f,Ross-Barkley,Ross Barkley,0,Ross,Barkley,106,Ross Barkley,True
32914,2691c772,Ashley-Barnes,Ashley Luke Barnes,0,Ashley,Barnes,87,Ashley Barnes,True
