,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
3,2018-10-27,Sat,Matchweek 10,Home,W 4–1,Liverpool,Cardiff City,Y,RW,60,0,0,0,0,2,0,0,0,53,2,0,2,0.1,0.1,0.0,1,0,35,42,83.3,4,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,403,105,26,86.7,3,5,60.0,2,2,100.0,0.0,1,3,0,0
6,2018-12-08,Sat,Matchweek 16,Away,W 4–0,Liverpool,Bournemouth,N,LM,26,0,0,0,0,0,0,0,0,23,1,0,2,0.0,0.0,0.0,0,0,13,18,72.2,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,23,10,76.9,2,3,66.7,0,1,0.0,0.2,0,1,1,0
9,2018-12-29,Sat,Matchweek 20,Home,W 5–1,Liverpool,Arsenal,N,LM,13,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,2,0,10,10,100.0,2,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,152,50,5,100.0,1,1,100.0,2,2,100.0,0.0,1,1,1,0
11,2019-01-30,Wed,Matchweek 24,Home,D 1–1,Liverpool,Leicester City,N,LW,25,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.1,3,0,14,17,82.4,2,10,2,1,0,1,2,0,0,0,0,0,0,0,0,0,177,84,9,90.0,1,1,100.0,2,3,66.7,0.1,2,1,1,0
12,2019-02-04,Mon,Matchweek 25,Away,D 1–1,Liverpool,West Ham,Y,RM,68,0,0,0,0,1,0,0,0,49,1,0,1,0.0,0.0,0.1,5,1,31,40,77.5,3,33,3,2,2,4,0,1,0,0,1,0,0,0,0,0,319,94,23,95.8,5,7,71.4,0,1,0.0,0.0,1,3,0,0
15,2019-03-10,Sun,Matchweek 30,Home,W 4–2,Liverpool,Burnley,Y,LM,76,0,0,0,0,1,0,0,0,76,3,2,1,0.0,0.0,0.0,6,0,49,64,76.6,11,42,5,1,1,5,1,0,0,0,0,0,0,0,0,0,602,239,30,90.9,12,15,80.0,1,5,20.0,0.1,2,1,2,0
