,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
2,2018-08-26,Sun,Matchweek 3,Home,W 2–1,Watford,Crystal Palace,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
3,2018-09-02,Sun,Matchweek 4,Home,W 2–1,Watford,Tottenham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2018-09-15,Sat,Matchweek 5,Home,L 1–2,Watford,Manchester Utd,N,"RB,CB",19,11,13,84.6,174,74,6,6,100.0,4,5,80.0,1,2,50.0,0,0.1,0.0,2,0,2,0,4,Match Report
5,2018-09-22,Sat,Matchweek 6,Away,D 1–1,Watford,Fulham,N,AM,21,4,8,50.0,76,0,1,3,33.3,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
7,2018-10-06,Sat,Matchweek 8,Home,L 0–4,Watford,Bournemouth,Y,RB,90,38,46,82.6,546,142,23,25,92.0,13,16,81.3,2,4,50.0,0,0.1,0.2,1,4,0,0,6,Match Report
8,2018-10-20,Sat,Matchweek 9,Away,W 2–0,Watford,Wolves,Y,"RB,WB",90,41,50,82.0,583,156,24,28,85.7,16,19,84.2,0,1,0.0,0,0.0,0.0,0,0,0,0,3,Match Report
9,2018-10-27,Sat,Matchweek 10,Home,W 3–0,Watford,Huddersfield,Y,RB,90,53,61,86.9,756,313,30,31,96.8,20,24,83.3,2,3,66.7,1,0.5,0.6,1,3,0,0,4,Match Report
10,2018-11-03,Sat,Matchweek 11,Away,L 0–1,Watford,Newcastle Utd,Y,RB,90,41,46,89.1,582,146,28,29,96.6,8,11,72.7,3,4,75.0,0,0.0,0.0,0,2,1,0,2,Match Report
11,2018-11-10,Sat,Matchweek 12,Away,D 1–1,Watford,Southampton,Y,RB,90,58,70,82.9,842,288,32,37,86.5,23,26,88.5,3,4,75.0,0,0.0,0.0,0,2,0,0,6,Match Report
12,2018-11-24,Sat,Matchweek 13,Home,L 0–3,Watford,Liverpool,Y,RB,90,28,39,71.8,434,197,13,18,72.2,12,15,80.0,1,3,33.3,0,0.0,0.0,0,3,1,0,3,Match Report
13,2018-12-01,Sat,Matchweek 14,Away,L 0–2,Watford,Leicester City,Y,RB,90,60,63,95.2,779,403,38,39,97.4,17,18,94.4,2,3,66.7,0,0.1,0.1,1,6,2,2,9,Match Report
14,2018-12-04,Tue,Matchweek 15,Home,L 1–2,Watford,Manchester City,Y,RB,90,19,23,82.6,286,177,14,14,100.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0,2,0,0,1,Match Report
15,2018-12-10,Mon,Matchweek 16,Away,D 2–2,Watford,Everton,Y,RB,90,33,50,66.0,504,199,22,26,84.6,8,16,50.0,2,5,40.0,0,0.1,0.1,2,0,1,1,4,Match Report
16,2018-12-15,Sat,Matchweek 17,Home,W 3–2,Watford,Cardiff City,Y,RB,90,60,73,82.2,761,259,45,51,88.2,11,15,73.3,2,3,66.7,0,0.0,0.0,0,0,3,0,3,Match Report
17,2018-12-22,Sat,Matchweek 18,Away,W 2–0,Watford,West Ham,Y,RB,90,36,51,70.6,564,289,25,28,89.3,6,9,66.7,3,9,33.3,0,0.0,0.1,0,3,2,0,9,Match Report
18,2018-12-26,Wed,Matchweek 19,Home,L 1–2,Watford,Chelsea,Y,RB,90,44,56,78.6,740,274,22,27,81.5,16,21,76.2,5,7,71.4,0,0.0,0.0,1,2,1,1,3,Match Report
20,2019-01-02,Wed,Matchweek 21,Away,D 3–3,Watford,Bournemouth,Y,RB,90,42,50,84.0,603,264,24,26,92.3,17,20,85.0,1,4,25.0,0,0.0,0.0,0,0,0,0,3,Match Report
21,2019-01-12,Sat,Matchweek 22,Away,W 2–1,Watford,Crystal Palace,Y,RB,90,24,34,70.6,276,116,18,21,85.7,4,6,66.7,1,4,25.0,0,0.0,0.0,0,1,0,0,3,Match Report
22,2019-01-19,Sat,Matchweek 23,Home,D 0–0,Watford,Burnley,Y,RB,76,51,56,91.1,851,322,21,22,95.5,23,24,95.8,5,8,62.5,0,0.5,0.3,2,6,5,4,7,Match Report
25,2019-03-30,Sat,Matchweek 32,Away,L 1–2,Watford,Manchester Utd,N,RB,36,15,19,78.9,241,132,10,12,83.3,1,2,50.0,3,4,75.0,0,0.0,0.0,0,1,0,0,2,Match Report
26,2019-04-02,Tue,Matchweek 33,Home,W 4–1,Watford,Fulham,Y,"WB,RB",90,40,45,88.9,516,221,30,30,100.0,7,8,87.5,2,6,33.3,0,0.0,0.1,1,4,1,1,10,Match Report
27,2019-04-15,Mon,Matchweek 34,Home,L 0–1,Watford,Arsenal,Y,"RM,WB",58,14,29,48.3,110,47,11,12,91.7,0,9,0.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0,Match Report
28,2019-04-20,Sat,Matchweek 35,Away,W 2–1,Watford,Huddersfield,Y,RB,90,55,74,74.3,743,331,35,41,85.4,17,21,81.0,2,6,33.3,0,0.0,0.0,0,3,1,0,4,Match Report
29,2019-04-23,Tue,Matchweek 31,Home,D 1–1,Watford,Southampton,N,"WB,RM",45,29,34,85.3,434,120,15,16,93.8,12,16,75.0,1,1,100.0,0,0.1,0.3,1,1,1,1,1,Match Report
30,2019-04-27,Sat,Matchweek 36,Home,L 1–2,Watford,Wolves,Y,"RB,WB",90,53,66,80.3,815,207,29,33,87.9,20,23,87.0,2,6,33.3,0,0.0,0.0,0,2,2,1,7,Match Report
31,2019-05-05,Sun,Matchweek 37,Away,L 0–3,Watford,Chelsea,Y,RB,90,39,47,83.0,615,263,22,24,91.7,9,13,69.2,6,7,85.7,0,0.0,0.0,0,3,2,1,3,Match Report
32,2019-05-12,Sun,Matchweek 38,Home,L 1–4,Watford,West Ham,Y,RB,90,39,50,78.0,563,177,19,20,95.0,18,24,75.0,0,2,0.0,0,0.1,0.0,1,3,1,0,7,Match Report
