,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2018-08-12,Sun,Matchweek 1,Away,D 0–0,Burnley,Southampton,Y,CM,90,41,49,83.7,724,134,20,21,95.2,13,16,81.3,6,9,66.7,0,0.1,0.1,2,2,1,0,5,Match Report
1,2018-08-19,Sun,Matchweek 2,Home,L 1–3,Burnley,Watford,Y,CM,90,45,56,80.4,1028,200,16,19,84.2,18,24,75.0,11,13,84.6,0,0.0,0.0,1,6,1,1,7,Match Report
2,2018-08-26,Sun,Matchweek 3,Away,L 2–4,Burnley,Fulham,Y,CM,90,21,30,70.0,489,202,3,5,60.0,12,16,75.0,5,7,71.4,0,0.0,0.0,0,1,1,0,6,Match Report
3,2018-09-02,Sun,Matchweek 4,Home,L 0–2,Burnley,Manchester Utd,Y,CM,90,59,71,83.1,1126,417,22,23,95.7,29,32,90.6,7,13,53.8,0,0.1,0.2,1,7,1,1,8,Match Report
4,2018-09-16,Sun,Matchweek 5,Away,L 0–1,Burnley,Wolves,N,CM,12,8,11,72.7,109,49,3,5,60.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,2,Match Report
5,2018-09-22,Sat,Matchweek 6,Home,W 4–0,Burnley,Bournemouth,Y,CM,90,43,56,76.8,829,207,18,20,90.0,15,20,75.0,8,13,61.5,0,0.0,0.0,1,6,0,0,4,Match Report
6,2018-09-30,Sun,Matchweek 7,Away,W 2–1,Burnley,Cardiff City,Y,CM,90,29,42,69.0,457,139,15,18,83.3,11,14,78.6,2,5,40.0,1,0.2,0.1,2,2,2,0,3,Match Report
7,2018-10-06,Sat,Matchweek 8,Home,D 1–1,Burnley,Huddersfield,Y,CM,72,12,17,70.6,219,109,5,6,83.3,5,5,100.0,2,4,50.0,0,0.1,0.1,1,2,2,2,2,Match Report
8,2018-10-20,Sat,Matchweek 9,Away,L 0–5,Burnley,Manchester City,N,CM,22,8,11,72.7,143,26,3,4,75.0,5,6,83.3,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Match Report
9,2018-10-28,Sun,Matchweek 10,Home,L 0–4,Burnley,Chelsea,N,CM,18,5,6,83.3,94,39,2,2,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
