,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2018-08-12,Sun,Matchweek 1,Away,D 0–0,Burnley,Southampton,Y,CM,90,0,0,0,0,2,0,0,0,58,1,0,1,0.1,0.1,0.1,3,0,41,49,83.7,5,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,724,134,20,95.2,13,16,81.3,6,9,66.7,0.1,2,2,1,0
1,2018-08-19,Sun,Matchweek 2,Home,L 1–3,Burnley,Watford,Y,CM,90,0,0,0,0,1,0,0,0,66,4,0,0,0.0,0.0,0.0,1,0,45,56,80.4,7,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1028,200,16,84.2,18,24,75.0,11,13,84.6,0.0,1,6,1,1
2,2018-08-26,Sun,Matchweek 3,Away,L 2–4,Burnley,Fulham,Y,CM,90,0,0,0,0,0,0,0,0,37,4,3,0,0.0,0.0,0.0,3,0,21,30,70.0,6,13,0,1,1,2,0,0,1,0,0,0,0,0,0,0,489,202,3,60.0,12,16,75.0,5,7,71.4,0.0,0,1,1,0
3,2018-09-02,Sun,Matchweek 4,Home,L 0–2,Burnley,Manchester Utd,Y,CM,90,0,0,0,0,0,0,0,0,76,1,1,1,0.0,0.0,0.1,3,0,59,71,83.1,8,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1126,417,22,95.7,29,32,90.6,7,13,53.8,0.2,1,7,1,1
4,2018-09-16,Sun,Matchweek 5,Away,L 0–1,Burnley,Wolves,N,CM,12,0,0,0,0,0,0,0,0,14,0,1,2,0.0,0.0,0.0,1,0,8,11,72.7,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109,49,3,60.0,4,4,100.0,0,1,0.0,0.0,0,0,0,0
5,2018-09-22,Sat,Matchweek 6,Home,W 4–0,Burnley,Bournemouth,Y,CM,90,0,0,0,0,2,0,1,0,69,2,3,3,0.2,0.2,0.0,6,2,43,56,76.8,4,26,1,0,0,4,0,0,0,0,1,0,0,1,0,0,829,207,18,90.0,15,20,75.0,8,13,61.5,0.0,1,6,0,0
6,2018-09-30,Sun,Matchweek 7,Away,W 2–1,Burnley,Cardiff City,Y,CM,90,0,1,0,0,0,0,1,0,56,2,3,1,0.0,0.0,0.2,3,2,29,42,69.0,3,30,1,0,0,3,0,0,0,0,2,0,0,0,0,0,457,139,15,83.3,11,14,78.6,2,5,40.0,0.1,2,2,2,0
7,2018-10-06,Sat,Matchweek 8,Home,D 1–1,Burnley,Huddersfield,Y,CM,72,0,0,0,0,2,0,0,0,26,2,1,1,0.1,0.1,0.1,2,0,12,17,70.6,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,219,109,5,83.3,5,5,100.0,2,4,50.0,0.1,1,2,2,2
8,2018-10-20,Sat,Matchweek 9,Away,L 0–5,Burnley,Manchester City,N,CM,22,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,0,0,8,11,72.7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,26,3,75.0,5,6,83.3,0,1,0.0,0.0,0,1,0,0
9,2018-10-28,Sun,Matchweek 10,Home,L 0–4,Burnley,Chelsea,N,CM,18,0,0,0,0,0,0,0,0,8,0,1,1,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,39,2,100.0,3,3,100.0,0,1,0.0,0.0,0,0,0,0
10,2018-11-03,Sat,Matchweek 11,Away,L 2–4,Burnley,West Ham,Y,CM,90,0,1,0,0,0,0,0,0,41,0,1,2,0.0,0.0,0.4,1,1,28,36,77.8,2,15,0,1,1,1,0,0,0,0,1,0,0,0,0,0,380,148,16,94.1,9,13,69.2,1,2,50.0,0.2,1,3,1,0
