,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2018-08-11,Sat,Matchweek 1,Home,L 0–2,Fulham,Crystal Palace,N,RW,20,0,0,0,0,1,0,0,0,12,1,0,0,0.0,0.0,0.1,2,0,5,8,62.5,0,9,0,2,1,Match Report
1,2018-08-18,Sat,Matchweek 2,Away,L 1–3,Fulham,Tottenham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2018-08-26,Sun,Matchweek 3,Home,W 4–2,Fulham,Burnley,Y,"LW,RW",90,0,2,0,0,3,0,0,0,54,0,0,0,0.2,0.2,0.5,8,2,32,41,78.0,3,34,3,4,1,Match Report
3,2018-09-01,Sat,Matchweek 4,Away,D 2–2,Fulham,Brighton,Y,RW,73,0,0,0,0,1,0,0,0,39,2,0,0,0.1,0.1,0.0,1,0,21,29,72.4,2,25,2,4,2,Match Report
4,2018-09-15,Sat,Matchweek 5,Away,L 0–3,Fulham,Manchester City,Y,RW,68,0,0,0,0,0,0,0,0,27,1,1,2,0.0,0.0,0.1,2,0,16,19,84.2,1,22,2,3,0,Match Report
5,2018-09-22,Sat,Matchweek 6,Home,D 1–1,Fulham,Watford,Y,"AM,RW",90,0,1,0,0,3,1,0,0,52,0,2,0,0.4,0.4,0.6,9,1,31,43,72.1,7,38,7,1,1,Match Report
6,2018-09-29,Sat,Matchweek 7,Away,L 0–3,Fulham,Everton,Y,RM,63,0,0,0,0,0,0,0,0,38,2,0,0,0.0,0.0,0.0,2,0,25,30,83.3,1,22,0,2,1,Match Report
7,2018-10-07,Sun,Matchweek 8,Home,L 1–5,Fulham,Arsenal,Y,"RW,AM",82,0,1,0,0,2,1,1,0,38,2,0,1,0.1,0.1,0.5,6,1,25,30,83.3,8,22,5,0,0,Match Report
8,2018-10-20,Sat,Matchweek 9,Away,L 2–4,Fulham,Cardiff City,N,DM,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0,Match Report
9,2018-10-27,Sat,Matchweek 10,Home,L 0–3,Fulham,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
