,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2018-08-11,Sat,Matchweek 1,Away,W 3–0,Chelsea,Huddersfield,Y,CB,90,0,0,0,0,2,1,0,0,84,3,1,0,0.1,0.1,0.3,3,0,70,75,93.3,3,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1274,385,23,92.0,38,39,97.4,7,8,87.5,0.0,1,2,0,0
1,2018-08-18,Sat,Matchweek 2,Home,W 3–2,Chelsea,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,78,0,0,0,0.0,0.0,0.1,4,1,64,74,86.5,4,46,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1136,361,27,96.4,28,32,87.5,6,10,60.0,0.0,2,5,2,0
2,2018-08-26,Sun,Matchweek 3,Away,W 2–1,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,2,0,0,0,103,0,2,1,0.1,0.1,0.0,1,0,89,95,93.7,4,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1498,476,39,95.1,44,47,93.6,5,5,100.0,0.0,0,6,1,0
3,2018-09-01,Sat,Matchweek 4,Home,W 2–0,Chelsea,Bournemouth,Y,CB,90,0,0,0,0,3,0,0,0,105,0,0,0,0.1,0.1,0.0,1,0,88,98,89.8,9,81,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1661,494,28,93.3,56,57,98.2,3,9,33.3,0.0,0,7,1,0
4,2018-09-15,Sat,Matchweek 5,Home,W 4–1,Chelsea,Cardiff City,Y,CB,90,0,0,0,0,1,0,0,0,77,1,0,0,0.1,0.1,0.1,2,0,59,69,85.5,8,40,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1253,488,16,100.0,29,33,87.9,12,16,75.0,0.0,1,2,0,0
5,2018-09-23,Sun,Matchweek 6,Away,D 0–0,Chelsea,West Ham,Y,CB,68,0,0,0,0,1,1,0,0,89,0,1,0,0.0,0.0,0.0,2,0,81,86,94.2,10,63,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1438,732,37,94.9,34,36,94.4,9,10,90.0,0.0,0,4,0,0
6,2018-09-29,Sat,Matchweek 7,Home,D 1–1,Chelsea,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,81,1,1,1,0.0,0.0,0.0,0,0,68,71,95.8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,420,24,100.0,38,39,97.4,5,7,71.4,0.0,0,2,0,0
7,2018-10-07,Sun,Matchweek 8,Away,W 3–0,Chelsea,Southampton,Y,CB,90,0,0,0,0,2,1,0,0,80,2,0,1,0.3,0.3,0.0,0,0,62,68,91.2,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,238,24,96.0,34,38,89.5,3,4,75.0,0.0,0,3,0,0
8,2018-10-20,Sat,Matchweek 9,Home,D 2–2,Chelsea,Manchester Utd,Y,CB,90,1,0,0,0,3,2,1,0,80,2,1,0,0.8,0.8,0.0,1,1,61,68,89.7,4,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1016,433,30,100.0,22,25,88.0,5,8,62.5,0.2,0,3,1,0
9,2018-10-28,Sun,Matchweek 10,Away,W 4–0,Chelsea,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,112,0,1,1,0.0,0.0,0.0,1,0,93,104,89.4,5,91,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1682,700,43,95.6,38,43,88.4,11,14,78.6,0.0,1,3,0,0
10,2018-11-04,Sun,Matchweek 11,Home,W 3–1,Chelsea,Crystal Palace,Y,CB,90,0,0,0,0,1,0,0,0,99,0,0,0,0.0,0.0,0.0,2,0,90,94,95.7,9,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1976,697,26,92.9,45,46,97.8,18,18,100.0,0.0,0,9,1,0
11,2018-11-11,Sun,Matchweek 12,Home,D 0–0,Chelsea,Everton,Y,CB,90,0,0,0,0,0,0,1,0,98,1,0,0,0.0,0.0,0.0,1,0,85,96,88.5,9,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1535,462,29,93.5,52,55,94.5,3,8,37.5,0.0,0,6,0,0
12,2018-11-24,Sat,Matchweek 13,Away,L 1–3,Chelsea,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,69,1,1,2,0.0,0.0,0.0,0,0,55,63,87.3,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,359,20,87.0,24,27,88.9,9,10,90.0,0.0,0,3,0,0
13,2018-12-02,Sun,Matchweek 14,Home,W 2–0,Chelsea,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,92,2,2,0,0.0,0.0,0.0,0,0,74,83,89.2,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,488,22,81.5,42,44,95.5,7,8,87.5,0.0,0,1,0,0
14,2018-12-05,Wed,Matchweek 15,Away,L 1–2,Chelsea,Wolves,Y,CB,90,0,0,0,0,2,0,0,0,115,2,2,0,0.2,0.2,0.0,0,0,95,102,93.1,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,578,36,100.0,51,53,96.2,5,9,55.6,0.0,0,3,0,0
15,2018-12-08,Sat,Matchweek 16,Home,W 2–0,Chelsea,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.0,0,0,53,60,88.3,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,246,19,100.0,31,34,91.2,3,6,50.0,0.0,0,0,0,0
16,2018-12-16,Sun,Matchweek 17,Away,W 2–1,Chelsea,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,100,1,1,1,0.0,0.0,0.0,0,0,82,92,89.1,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,467,31,88.6,43,43,100.0,7,11,63.6,0.0,0,4,0,0
17,2018-12-22,Sat,Matchweek 18,Home,L 0–1,Chelsea,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,94,1,1,0,0.4,0.4,0.0,0,0,79,84,94.0,9,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,487,25,96.2,46,46,100.0,6,9,66.7,0.0,0,5,0,0
18,2018-12-26,Wed,Matchweek 19,Away,W 2–1,Chelsea,Watford,Y,CB,90,0,0,0,0,1,0,0,0,76,0,1,0,0.1,0.1,0.0,0,0,61,69,88.4,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,400,23,88.5,33,35,94.3,4,6,66.7,0.0,0,4,0,0
19,2018-12-30,Sun,Matchweek 20,Away,W 1–0,Chelsea,Crystal Palace,Y,CB,90,0,0,0,0,1,0,0,0,85,3,2,2,0.1,0.1,0.0,0,0,65,71,91.5,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,393,36,92.3,25,26,96.2,3,5,60.0,0.0,0,5,0,0
20,2019-01-02,Wed,Matchweek 21,Home,D 0–0,Chelsea,Southampton,Y,CB,90,0,0,0,0,0,0,1,0,124,2,0,0,0.0,0.0,0.1,3,0,105,112,93.8,4,73,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1820,695,40,100.0,55,57,96.5,8,13,61.5,0.2,1,7,1,0
21,2019-01-12,Sat,Matchweek 22,Home,W 2–1,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,87,2,3,0,0.0,0.0,0.0,0,0,73,80,91.3,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,389,20,95.2,48,52,92.3,4,6,66.7,0.0,0,2,1,0
22,2019-01-19,Sat,Matchweek 23,Away,L 0–2,Chelsea,Arsenal,Y,CB,90,0,0,0,0,1,0,0,0,82,1,2,0,0.0,0.0,0.0,2,0,65,75,86.7,3,48,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1106,480,27,96.4,20,26,76.9,10,12,83.3,0.0,1,6,0,0
23,2019-01-30,Wed,Matchweek 24,Away,L 0–4,Chelsea,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,119,0,0,2,0.0,0.0,0.0,0,0,107,115,93.0,13,105,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1905,635,43,97.7,53,54,98.1,9,14,64.3,0.0,0,13,1,0
25,2019-02-10,Sun,Matchweek 26,Away,L 0–6,Chelsea,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,72,4,1,1,0.0,0.0,0.0,0,0,61,64,95.3,2,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,313,26,100.0,30,30,100.0,3,4,75.0,0.0,0,2,0,0
26,2019-02-27,Wed,Matchweek 28,Home,W 2–0,Chelsea,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,44,3,2,0,0.0,0.0,0.0,0,0,27,33,81.8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,230,12,92.3,8,11,72.7,6,7,85.7,0.0,0,0,0,0
27,2019-03-03,Sun,Matchweek 29,Away,W 2–1,Chelsea,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,93,1,1,1,0.0,0.0,0.0,1,0,77,85,90.6,7,66,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1654,714,26,96.3,37,41,90.2,14,16,87.5,0.0,0,6,0,0
28,2019-03-10,Sun,Matchweek 30,Home,D 1–1,Chelsea,Wolves,Y,CB,90,0,0,0,0,3,0,1,0,96,0,0,0,0.1,0.1,0.0,1,0,92,92,100.0,5,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,485,29,100.0,45,45,100.0,13,13,100.0,0.0,0,4,0,0
29,2019-03-17,Sun,Matchweek 31,Away,L 0–2,Chelsea,Everton,Y,CB,90,0,0,0,0,0,0,1,0,91,0,3,1,0.0,0.0,0.0,1,0,74,83,89.2,2,65,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1426,510,27,90.0,38,41,92.7,8,11,72.7,0.0,0,6,0,0
30,2019-03-31,Sun,Matchweek 32,Away,W 2–1,Chelsea,Cardiff City,Y,CB,90,0,0,0,0,1,0,1,0,99,1,1,0,0.0,0.0,0.0,4,0,78,88,88.6,13,62,6,0,0,3,0,0,0,1,0,0,0,0,0,0,1346,728,28,90.3,42,46,91.3,6,9,66.7,0.0,0,7,0,0
32,2019-04-08,Mon,Matchweek 33,Home,W 2–0,Chelsea,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,72,0,1,1,0.0,0.0,0.0,0,0,58,64,90.6,9,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,542,28,96.6,24,27,88.9,4,6,66.7,0.0,0,2,0,0
33,2019-04-14,Sun,Matchweek 34,Away,L 0–2,Chelsea,Liverpool,Y,CB,39,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,139,8,100.0,6,7,85.7,1,1,100.0,0.0,0,3,0,0
34,2019-04-28,Sun,Matchweek 36,Away,D 1–1,Chelsea,Manchester Utd,Y,CB,64,0,0,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.0,2,1,26,28,92.9,2,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,518,224,11,91.7,7,8,87.5,7,7,100.0,0.0,0,2,0,0
