,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
1,2018-08-27,Mon,Matchweek 3,Home,L 0–3,Manchester Utd,Tottenham,Y,"FW,RW",90,23,30,76.7,439,84,10,10,100.0,7,12,58.3,5,6,83.3,0,0.0,0.0,1,4,0,0,4,Match Report
2,2018-09-02,Sun,Matchweek 4,Away,W 2–0,Manchester Utd,Burnley,Y,RW,75,39,47,83.0,462,73,23,26,88.5,10,11,90.9,0,2,0.0,0,0.0,0.0,1,3,0,0,2,Match Report
3,2018-09-15,Sat,Matchweek 5,Away,W 2–1,Manchester Utd,Watford,Y,RW,70,35,42,83.3,533,80,18,19,94.7,11,13,84.6,3,4,75.0,0,0.4,0.2,1,2,1,1,1,Match Report
4,2018-09-22,Sat,Matchweek 6,Home,D 1–1,Manchester Utd,Wolves,Y,"RW,AM",74,36,42,85.7,471,68,24,26,92.3,11,12,91.7,1,3,33.3,0,0.0,0.0,0,4,1,0,3,Match Report
7,2018-11-03,Sat,Matchweek 11,Away,W 2–1,Manchester Utd,Bournemouth,N,RW,13,6,9,66.7,68,20,3,5,60.0,2,2,100.0,0,1,0.0,0,0.0,0.0,1,0,0,0,1,Match Report
9,2018-11-24,Sat,Matchweek 13,Home,D 0–0,Manchester Utd,Crystal Palace,Y,RM,59,24,29,82.8,301,49,15,19,78.9,6,6,100.0,1,1,100.0,0,0.2,0.5,2,1,0,0,3,Match Report
12,2018-12-08,Sat,Matchweek 16,Home,W 4–1,Manchester Utd,Fulham,Y,AM,72,24,29,82.8,306,60,13,13,100.0,6,8,75.0,2,3,66.7,0,0.0,0.0,0,1,2,0,4,Match Report
13,2018-12-16,Sun,Matchweek 17,Away,L 1–3,Manchester Utd,Liverpool,Y,"FW,RW,RM",84,22,31,71.0,286,73,11,14,78.6,9,11,81.8,0,3,0.0,0,0.0,0.0,0,2,2,0,2,Match Report
14,2018-12-22,Sat,Matchweek 18,Away,W 5–1,Manchester Utd,Cardiff City,Y,"RW,LW,FW",90,53,61,86.9,520,107,33,35,94.3,9,11,81.8,0,1,0.0,1,0.5,0.1,1,4,1,0,1,Match Report
15,2018-12-26,Wed,Matchweek 19,Home,W 3–1,Manchester Utd,Huddersfield,Y,"LW,RW",90,41,52,78.8,469,85,22,26,84.6,12,16,75.0,1,1,100.0,1,0.0,0.0,1,0,1,0,3,Match Report
18,2019-01-13,Sun,Matchweek 22,Away,W 1–0,Manchester Utd,Tottenham,Y,"AM,RW",82,27,33,81.8,350,91,16,17,94.1,6,6,100.0,2,3,66.7,0,0.0,0.0,0,2,1,0,3,Match Report
19,2019-01-19,Sat,Matchweek 23,Home,W 2–1,Manchester Utd,Brighton,Y,RW,74,16,22,72.7,216,56,9,11,81.8,7,7,100.0,0,1,0.0,0,0.0,0.1,1,1,1,0,3,Match Report
21,2019-02-03,Sun,Matchweek 25,Away,W 1–0,Manchester Utd,Leicester City,Y,"AM,RW",89,33,38,86.8,461,65,15,15,100.0,11,12,91.7,1,1,100.0,0,0.0,0.0,0,3,0,0,4,Match Report
22,2019-02-09,Sat,Matchweek 26,Away,W 3–0,Manchester Utd,Fulham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
26,2019-04-02,Tue,Matchweek 33,Away,L 1–2,Manchester Utd,Wolves,Y,"FW,CM,AM",90,35,42,83.3,491,73,19,22,86.4,12,13,92.3,1,2,50.0,0,0.0,0.1,1,2,1,0,2,Match Report
27,2019-04-13,Sat,Matchweek 34,Home,W 2–1,Manchester Utd,West Ham,Y,"RW,AM",90,18,21,85.7,210,39,12,13,92.3,3,5,60.0,1,1,100.0,0,0.0,0.3,0,2,1,0,1,Match Report
28,2019-04-21,Sun,Matchweek 35,Away,L 0–4,Manchester Utd,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
29,2019-04-24,Wed,Matchweek 31,Home,L 0–2,Manchester Utd,Manchester City,Y,"FW,AM",82,19,24,79.2,220,42,12,14,85.7,5,5,100.0,0,1,0.0,0,0.0,0.2,0,2,1,0,2,Match Report
31,2019-05-12,Sun,Matchweek 38,Home,L 0–2,Manchester Utd,Cardiff City,Y,AM,90,64,72,88.9,868,180,37,41,90.2,23,25,92.0,2,2,100.0,0,0.1,0.1,2,11,0,0,8,Match Report
