,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2018-08-12,Sun,Matchweek 1,Home,L 0–2,Arsenal,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
1,2018-08-18,Sat,Matchweek 2,Away,L 2–3,Arsenal,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2018-08-25,Sat,Matchweek 3,Home,W 3–1,Arsenal,West Ham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
3,2018-09-02,Sun,Matchweek 4,Away,W 3–2,Arsenal,Cardiff City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2018-09-15,Sat,Matchweek 5,Away,W 2–1,Arsenal,Newcastle Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2018-09-23,Sun,Matchweek 6,Home,W 2–0,Arsenal,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2018-09-29,Sat,Matchweek 7,Home,W 2–0,Arsenal,Watford,N,GK,46,14,20,70.0,394,352,2,2,100.0,7,7,100.0,4,10,40.0,0,0.0,0.0,0,0,0,0,0,Match Report
7,2018-10-07,Sun,Matchweek 8,Away,W 5–1,Arsenal,Fulham,Y,GK,90,34,42,81.0,877,617,6,6,100.0,18,18,100.0,10,18,55.6,0,0.0,0.0,0,1,0,0,0,Match Report
8,2018-10-22,Mon,Matchweek 9,Home,W 3–1,Arsenal,Leicester City,Y,GK,90,31,36,86.1,690,414,11,11,100.0,14,14,100.0,6,11,54.5,0,0.0,0.0,0,0,0,0,0,Match Report
9,2018-10-28,Sun,Matchweek 10,Away,D 2–2,Arsenal,Crystal Palace,Y,GK,90,27,28,96.4,572,317,5,5,100.0,19,19,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Match Report
10,2018-11-03,Sat,Matchweek 11,Home,D 1–1,Arsenal,Liverpool,Y,GK,90,29,33,87.9,652,400,6,6,100.0,17,17,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,0,Match Report
11,2018-11-11,Sun,Matchweek 12,Home,D 1–1,Arsenal,Wolves,Y,GK,90,25,26,96.2,442,334,10,10,100.0,13,13,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Match Report
12,2018-11-25,Sun,Matchweek 13,Away,W 2–1,Arsenal,Bournemouth,Y,GK,90,21,41,51.2,658,529,3,3,100.0,10,10,100.0,8,28,28.6,0,0.0,0.0,0,1,0,0,0,Match Report
13,2018-12-02,Sun,Matchweek 14,Home,W 4–2,Arsenal,Tottenham,Y,GK,90,21,34,61.8,584,370,3,3,100.0,11,12,91.7,7,19,36.8,0,0.0,0.0,0,0,0,0,0,Match Report
14,2018-12-05,Wed,Matchweek 15,Away,D 2–2,Arsenal,Manchester Utd,Y,GK,90,30,39,76.9,773,453,6,6,100.0,12,12,100.0,11,20,55.0,0,0.0,0.0,0,0,0,0,0,Match Report
15,2018-12-08,Sat,Matchweek 16,Home,W 1–0,Arsenal,Huddersfield,Y,GK,90,30,41,73.2,817,561,6,6,100.0,16,16,100.0,8,18,44.4,0,0.0,0.0,0,0,0,0,0,Match Report
16,2018-12-16,Sun,Matchweek 17,Away,L 2–3,Arsenal,Southampton,Y,GK,90,33,36,91.7,963,582,5,5,100.0,18,19,94.7,10,12,83.3,0,0.0,0.0,0,0,0,0,0,Match Report
17,2018-12-22,Sat,Matchweek 18,Home,W 3–1,Arsenal,Burnley,Y,GK,90,27,43,62.8,827,563,4,4,100.0,11,11,100.0,12,28,42.9,0,0.0,0.0,0,0,0,0,0,Match Report
18,2018-12-26,Wed,Matchweek 19,Away,D 1–1,Arsenal,Brighton,Y,GK,90,33,39,84.6,824,618,2,2,100.0,24,24,100.0,7,13,53.8,0,0.0,0.0,0,0,0,0,0,Match Report
19,2018-12-29,Sat,Matchweek 20,Away,L 1–5,Arsenal,Liverpool,Y,GK,90,31,43,72.1,808,601,6,6,100.0,18,19,94.7,7,18,38.9,0,0.0,0.0,0,0,0,0,0,Match Report
20,2019-01-01,Tue,Matchweek 21,Home,W 4–1,Arsenal,Fulham,Y,GK,90,30,48,62.5,772,595,7,7,100.0,13,13,100.0,9,26,34.6,0,0.0,0.0,0,0,0,0,0,Match Report
21,2019-01-12,Sat,Matchweek 22,Away,L 0–1,Arsenal,West Ham,Y,GK,90,35,42,83.3,914,532,3,3,100.0,22,22,100.0,10,17,58.8,0,0.0,0.0,0,0,0,0,0,Match Report
22,2019-01-19,Sat,Matchweek 23,Home,W 2–0,Arsenal,Chelsea,Y,GK,90,23,38,60.5,643,446,3,3,100.0,14,14,100.0,6,21,28.6,0,0.0,0.0,0,1,0,0,0,Match Report
23,2019-01-29,Tue,Matchweek 24,Home,W 2–1,Arsenal,Cardiff City,Y,GK,90,28,33,84.8,699,470,5,5,100.0,17,17,100.0,6,11,54.5,0,0.0,0.0,0,0,0,0,0,Match Report
24,2019-02-03,Sun,Matchweek 25,Away,L 1–3,Arsenal,Manchester City,Y,GK,90,31,44,70.5,742,526,11,11,100.0,13,13,100.0,7,20,35.0,0,0.0,0.0,0,0,0,0,0,Match Report
25,2019-02-09,Sat,Matchweek 26,Away,W 2–1,Arsenal,Huddersfield,Y,GK,90,25,35,71.4,828,628,5,5,100.0,10,10,100.0,10,20,50.0,0,0.0,0.0,0,0,0,0,0,Match Report
26,2019-02-24,Sun,Matchweek 27,Home,W 2–0,Arsenal,Southampton,Y,GK,90,22,32,68.8,636,408,2,2,100.0,13,13,100.0,7,16,43.8,0,0.0,0.0,0,0,0,0,0,Match Report
27,2019-02-27,Wed,Matchweek 28,Home,W 5–1,Arsenal,Bournemouth,Y,GK,90,26,32,81.3,740,439,5,5,100.0,12,12,100.0,8,14,57.1,0,0.0,0.0,0,0,0,0,0,Match Report
29,2019-03-10,Sun,Matchweek 30,Home,W 2–0,Arsenal,Manchester Utd,Y,GK,90,22,38,57.9,655,529,5,5,100.0,9,9,100.0,8,23,34.8,0,0.0,0.0,0,0,0,0,0,Match Report
30,2019-04-01,Mon,Matchweek 32,Home,W 2–0,Arsenal,Newcastle Utd,Y,GK,90,19,27,70.4,429,216,2,2,100.0,14,14,100.0,3,11,27.3,0,0.0,0.0,0,0,0,0,0,Match Report
31,2019-04-07,Sun,Matchweek 33,Away,L 0–1,Arsenal,Everton,Y,GK,90,34,41,82.9,813,417,4,4,100.0,25,25,100.0,5,12,41.7,0,0.0,0.0,0,0,0,0,0,Match Report
