,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2021-08-14,Sat,Matchweek 1,Away,L 0–1,Wolves,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,320,3,75.0,9,10,90.0,6,8,75.0,0.0,0,1,0,0
1,2021-08-22,Sun,Matchweek 2,Home,L 0–1,Wolves,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,206,3,100.0,12,12,100.0,2,4,50.0,0.0,0,0,0,0
2,2021-08-29,Sun,Matchweek 3,Home,L 0–1,Wolves,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,18,23,78.3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,413,4,100.0,7,7,100.0,6,11,54.5,0.0,0,0,0,0
3,2021-09-11,Sat,Matchweek 4,Away,W 2–0,Wolves,Watford,Y,GK,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,171,5,100.0,7,7,100.0,3,5,60.0,0.0,0,0,0,0
4,2021-09-18,Sat,Matchweek 5,Home,L 0–2,Wolves,Brentford,Y,GK,90,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,0,0,24,33,72.7,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,624,462,3,100.0,15,15,100.0,6,14,42.9,0.0,0,0,0,0
5,2021-09-26,Sun,Matchweek 6,Away,W 1–0,Wolves,Southampton,Y,GK,90,0,1,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.8,1,0,23,36,63.9,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,903,731,3,100.0,6,7,85.7,14,25,56.0,0.0,2,2,1,0
6,2021-10-02,Sat,Matchweek 7,Home,W 2–1,Wolves,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,14,22,63.6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,353,3,100.0,3,3,100.0,8,16,50.0,0.0,0,0,0,0
7,2021-10-16,Sat,Matchweek 8,Away,W 3–2,Wolves,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,22,34,64.7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,344,6,100.0,13,13,100.0,3,15,20.0,0.0,0,0,0,0
8,2021-10-23,Sat,Matchweek 9,Away,D 1–1,Wolves,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.1,1,0,16,30,53.3,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,439,286,6,100.0,3,3,100.0,7,21,33.3,0.0,1,0,0,0
9,2021-11-01,Mon,Matchweek 10,Home,W 2–1,Wolves,Everton,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,21,36,58.3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,261,2,66.7,16,16,100.0,3,17,17.6,0.0,0,1,0,0
10,2021-11-06,Sat,Matchweek 11,Away,L 0–2,Wolves,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,310,4,100.0,6,6,100.0,7,18,38.9,0.0,0,0,0,0
