,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-09-19,Sun,Matchweek 5,Home,W 2–1,Brighton,Leicester City,N,CB,21,1,8,12.5,12,14,1,3,33.3,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
1,2021-09-27,Mon,Matchweek 6,Away,D 1–1,Brighton,Crystal Palace,Y,CB,45,24,29,82.8,343,116,14,15,93.3,8,8,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,Match Report
2,2021-10-02,Sat,Matchweek 7,Home,D 0–0,Brighton,Arsenal,Y,CB,90,47,60,78.3,766,276,21,24,87.5,22,28,78.6,2,5,40.0,0,0.0,0.0,1,7,0,0,6,Match Report
3,2021-10-16,Sat,Matchweek 8,Away,D 0–0,Brighton,Norwich City,Y,CB,90,60,73,82.2,1010,413,30,36,83.3,27,31,87.1,3,5,60.0,0,0.0,0.0,0,13,0,0,10,Match Report
4,2021-10-23,Sat,Matchweek 9,Home,L 1–4,Brighton,Manchester City,Y,CB,56,30,38,78.9,576,159,12,14,85.7,16,18,88.9,2,5,40.0,0,0.0,0.0,0,2,0,0,3,Match Report
6,2021-11-20,Sat,Matchweek 12,Away,L 0–2,Brighton,Aston Villa,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2021-12-01,Wed,Matchweek 14,Away,D 1–1,Brighton,West Ham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
9,2021-12-04,Sat,Matchweek 15,Away,D 1–1,Brighton,Southampton,Y,CB,90,29,47,61.7,639,236,8,14,57.1,16,22,72.7,5,10,50.0,0,0.0,0.0,0,2,0,0,4,Match Report
10,2021-12-15,Wed,Matchweek 17,Home,L 0–1,Brighton,Wolves,Y*,CB,90,50,60,83.3,976,393,15,17,88.2,30,35,85.7,5,8,62.5,0,0.5,0.0,1,4,0,0,3,Match Report
11,2021-12-26,Sun,Matchweek 19,Home,W 2–0,Brighton,Brentford,Y,CB,90,46,52,88.5,804,264,17,19,89.5,28,29,96.6,1,3,33.3,0,0.0,0.0,0,1,0,0,2,Match Report
12,2021-12-29,Wed,Matchweek 20,Away,D 1–1,Brighton,Chelsea,Y,CB,90,51,64,79.7,1064,280,9,13,69.2,36,39,92.3,6,11,54.5,0,0.0,0.0,0,1,0,0,3,Match Report
13,2022-01-02,Sun,Matchweek 21,Away,W 3–2,Brighton,Everton,Y,CB,90,25,35,71.4,490,202,5,6,83.3,19,21,90.5,1,7,14.3,0,0.0,0.0,0,2,1,0,4,Match Report
14,2022-01-14,Fri,Matchweek 22,Home,D 1–1,Brighton,Crystal Palace,Y,CB,90,78,84,92.9,1672,409,17,19,89.5,50,51,98.0,10,12,83.3,0,0.0,0.0,0,4,0,0,7,Match Report
15,2022-01-18,Tue,Matchweek 24,Home,D 1–1,Brighton,Chelsea,Y,CB,90,29,32,90.6,668,230,8,9,88.9,15,15,100.0,6,8,75.0,0,0.0,0.0,0,3,0,0,3,Match Report
16,2022-01-23,Sun,Matchweek 23,Away,D 1–1,Brighton,Leicester City,Y,CB,90,53,63,84.1,1123,175,14,16,87.5,31,33,93.9,8,12,66.7,0,0.0,0.0,0,4,0,0,4,Match Report
17,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
18,2022-02-08,Tue,Matchweek 24,Home,W 3–1,Newcastle Utd,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
19,2022-02-13,Sun,Matchweek 25,Home,W 1–0,Newcastle Utd,Aston Villa,Y,CB,90,22,29,75.9,365,126,12,14,85.7,10,13,76.9,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
20,2022-02-19,Sat,Matchweek 26,Away,D 1–1,Newcastle Utd,West Ham,Y,CB,90,49,61,80.3,894,235,21,23,91.3,25,31,80.6,2,6,33.3,0,0.0,0.0,0,3,0,0,3,Match Report
21,2022-02-26,Sat,Matchweek 27,Away,W 2–0,Newcastle Utd,Brentford,Y,CB,90,44,51,86.3,778,278,15,18,83.3,25,27,92.6,2,4,50.0,0,0.0,0.0,0,5,0,0,4,Match Report
22,2022-03-05,Sat,Matchweek 28,Home,W 2–1,Newcastle Utd,Brighton,Y,CB,90,12,21,57.1,238,89,2,6,33.3,10,11,90.9,0,3,0.0,0,0.0,0.0,0,1,0,0,1,Match Report
23,2022-03-10,Thu,Matchweek 21,Away,W 2–1,Newcastle Utd,Southampton,Y,CB,90,17,23,73.9,352,149,6,7,85.7,6,8,75.0,4,5,80.0,1,0.2,0.1,1,2,0,0,3,Match Report
24,2022-03-13,Sun,Matchweek 29,Away,L 0–1,Newcastle Utd,Chelsea,Y,CB,90,12,16,75.0,244,95,4,7,57.1,6,7,85.7,2,2,100.0,0,0.0,0.0,0,2,0,0,1,Match Report
25,2022-03-17,Thu,Matchweek 20,Away,L 0–1,Newcastle Utd,Everton,Y,CB,90,52,62,83.9,1093,430,15,16,93.8,31,36,86.1,6,9,66.7,0,0.0,0.1,1,6,0,0,8,Match Report
26,2022-04-03,Sun,Matchweek 31,Away,L 1–5,Newcastle Utd,Tottenham,Y,CB,90,38,46,82.6,701,193,15,18,83.3,21,25,84.0,2,3,66.7,0,0.0,0.0,0,1,0,0,3,Match Report
27,2022-04-08,Fri,Matchweek 32,Home,W 1–0,Newcastle Utd,Wolves,Y,CB,90,47,57,82.5,935,273,12,14,85.7,31,32,96.9,4,10,40.0,0,0.0,0.0,1,3,0,0,2,Match Report
28,2022-04-17,Sun,Matchweek 33,Home,W 2–1,Newcastle Utd,Leicester City,Y,CB,90,17,26,65.4,273,123,6,9,66.7,9,12,75.0,1,4,25.0,0,0.2,0.0,1,4,0,0,2,Match Report
29,2022-04-20,Wed,Matchweek 30,Home,W 1–0,Newcastle Utd,Crystal Palace,Y,CB,90,31,40,77.5,554,139,11,13,84.6,19,22,86.4,1,4,25.0,0,0.0,0.0,0,1,0,0,2,Match Report
30,2022-04-23,Sat,Matchweek 34,Away,W 3–0,Newcastle Utd,Norwich City,Y,CB,90,33,40,82.5,637,224,12,12,100.0,18,22,81.8,3,5,60.0,0,0.0,0.0,0,2,0,0,1,Match Report
31,2022-04-30,Sat,Matchweek 35,Home,L 0–1,Newcastle Utd,Liverpool,Y,CB,90,12,19,63.2,188,58,6,8,75.0,6,7,85.7,0,4,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
32,2022-05-08,Sun,Matchweek 36,Away,L 0–5,Newcastle Utd,Manchester City,Y,CB,90,21,27,77.8,442,142,4,6,66.7,13,14,92.9,4,6,66.7,0,0.0,0.0,0,1,0,0,0,Match Report
33,2022-05-16,Mon,Matchweek 37,Home,W 2–0,Newcastle Utd,Arsenal,Y,CB,90,30,36,83.3,560,103,8,8,100.0,20,21,95.2,2,7,28.6,0,0.0,0.0,0,0,0,0,1,Match Report
34,2022-05-22,Sun,Matchweek 38,Away,W 2–1,Newcastle Utd,Burnley,Y,CB,90,22,33,66.7,447,168,5,7,71.4,13,16,81.3,2,8,25.0,0,0.0,0.0,0,1,0,0,0,Match Report
