,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2021-08-14,Sat,Matchweek 1,Away,L 1–5,Leeds United,Manchester Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
1,2021-08-21,Sat,Matchweek 2,Home,D 2–2,Leeds United,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2021-08-29,Sun,Matchweek 3,Away,D 1–1,Leeds United,Burnley,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2021-10-16,Sat,Matchweek 8,Away,L 0–1,Leeds United,Southampton,N,DM,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
5,2021-10-23,Sat,Matchweek 9,Home,D 1–1,Leeds United,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2021-10-31,Sun,Matchweek 10,Away,W 2–1,Leeds United,Norwich City,N,AM,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
7,2021-11-07,Sun,Matchweek 11,Home,D 1–1,Leeds United,Leicester City,Y,"DM,CM",89,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
8,2021-11-21,Sun,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,CM,71,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
9,2021-11-27,Sat,Matchweek 13,Away,D 0–0,Leeds United,Brighton,Y,DM,90,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
10,2021-11-30,Tue,Matchweek 14,Home,W 1–0,Leeds United,Crystal Palace,Y,CM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
11,2021-12-05,Sun,Matchweek 15,Home,D 2–2,Leeds United,Brentford,Y,CM,90,3,3,0,0,0,0,0,1,1,0,0,0,0,0,Match Report
12,2021-12-11,Sat,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,Y,CM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
13,2021-12-14,Tue,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,Y,DM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
14,2021-12-18,Sat,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,DM,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
15,2022-01-02,Sun,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y,CM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
16,2022-01-16,Sun,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,CM,21,2,2,0,0,0,0,0,1,1,0,0,0,0,0,Match Report
18,2022-02-09,Wed,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,N,DM,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
19,2022-02-12,Sat,Matchweek 25,Away,L 0–3,Leeds United,Everton,N,RW,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
20,2022-02-20,Sun,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y,"CM,DM",90,5,4,0,1,0,0,0,0,0,0,0,0,0,0,Match Report
21,2022-02-23,Wed,Matchweek 19,Away,L 0–6,Leeds United,Liverpool,Y,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
22,2022-02-26,Sat,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,Y,"DM,CM",90,2,1,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
