,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
9,2021-11-20,Sat,Matchweek 12,Away,L 1–4,Manchester Utd,Watford,N,RM,45,1,0,0,0,1,1,0,0,32,2,1,3,0.3,0.3,0.4,4,0,19,25,76.0,4,15,0,1,0,4,0,0,0,0,0,0,0,0,0,0,257,145,13,81.3,4,4,100.0,1,1,100.0,0.2,3,2,3,0
15,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,PassLive,PassDead,TO,Fld,Def,PassLive,PassDead,TO,Sh,Fld,Def,TotDist,PrgDist,Cmp,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,KP,1/3,PPA,CrsPA
16,2022-02-08,Tue,Matchweek 24,Away,L 1–3,Everton,Newcastle Utd,N,CM,31,0,0,0,0,1,0,0,0,43,0,0,0,0.0,0.0,0.0,1,0,37,40,92.5,4,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,482,127,19,100.0,10,12,83.3,2,2,100.0,0.0,0,6,0,0
17,2022-02-12,Sat,Matchweek 25,Home,W 3–0,Everton,Leeds United,Y,"CM,DM",90,0,0,0,0,0,0,0,0,51,4,1,1,0.0,0.0,0.0,3,0,35,40,87.5,5,17,0,2,0,3,0,0,0,0,0,0,0,0,0,0,428,158,20,90.9,11,13,84.6,0,1,0.0,0.0,1,3,2,0
18,2022-02-19,Sat,Matchweek 26,Away,L 0–2,Everton,Southampton,Y,CM,90,0,0,0,0,3,0,0,0,68,1,1,0,0.1,0.1,0.0,1,0,43,57,75.4,5,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,545,199,24,82.8,15,18,83.3,0,1,0.0,0.1,0,4,0,0
19,2022-02-26,Sat,Matchweek 27,Home,L 0–1,Everton,Manchester City,Y,LM,70,0,0,0,0,0,0,1,0,41,3,1,1,0.0,0.0,0.0,1,0,18,28,64.3,1,22,0,2,0,1,0,0,0,0,0,0,0,0,0,0,228,47,10,76.9,6,9,66.7,0,4,0.0,0.0,0,1,0,0
20,2022-03-07,Mon,Matchweek 28,Away,L 0–5,Everton,Tottenham,Y,DM,58,0,0,0,0,0,0,0,0,44,1,1,2,0.0,0.0,0.0,1,0,36,38,94.7,4,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,527,84,20,100.0,15,16,93.8,0,1,0.0,0.0,1,5,1,0
21,2022-03-13,Sun,Matchweek 29,Home,L 0–1,Everton,Wolves,Y,"CM,DM",90,0,0,0,0,0,0,0,0,43,3,1,2,0.0,0.0,0.0,1,0,29,37,78.4,0,21,2,2,2,1,0,0,0,0,0,0,0,0,0,0,418,86,14,73.7,13,14,92.9,1,2,50.0,0.0,0,1,0,0
24,2022-05-22,Sun,Matchweek 38,Away,L 1–5,Everton,Arsenal,N,CM,54,1,0,0,0,1,1,0,0,16,3,1,0,0.9,0.9,0.0,0,0,8,10,80.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,11,5,83.3,3,3,100.0,0,1,0.0,0.0,0,1,0,0
