,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-01-15,Sat,Matchweek 22,Home,D 1–1,Newcastle Utd,Watford,Y,RB,90,52,79,65.8,770,327,32,37,86.5,13,28,46.4,5,10,50.0,0,0.1,0.2,2,3,1,0,5,Match Report
1,2022-01-22,Sat,Matchweek 23,Away,W 1–0,Newcastle Utd,Leeds United,Y,RB,90,31,41,75.6,691,449,9,10,90.0,15,19,78.9,6,10,60.0,0,0.0,0.1,0,1,2,0,3,Match Report
2,2022-02-08,Tue,Matchweek 24,Home,W 3–1,Newcastle Utd,Everton,Y,RB,89,38,61,62.3,796,472,20,24,83.3,6,11,54.5,12,22,54.5,0,0.1,0.1,4,7,0,0,2,Match Report
3,2022-02-13,Sun,Matchweek 25,Home,W 1–0,Newcastle Utd,Aston Villa,Y*,RB,47,17,27,63.0,322,171,7,10,70.0,7,9,77.8,3,7,42.9,0,0.0,0.0,0,2,1,0,4,Match Report
5,2022-05-08,Sun,Matchweek 36,Away,L 0–5,Newcastle Utd,Manchester City,N,RB,23,6,13,46.2,137,46,2,3,66.7,2,3,66.7,2,5,40.0,0,0.0,0.0,1,0,0,0,0,Match Report
6,2022-05-16,Mon,Matchweek 37,Home,W 2–0,Newcastle Utd,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
7,2022-05-22,Sun,Matchweek 38,Away,W 2–1,Newcastle Utd,Burnley,Y,RB,90,45,63,71.4,738,293,23,28,82.1,16,17,94.1,5,15,33.3,0,0.0,0.0,0,2,1,0,3,Match Report
