,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2021-08-14,Sat,Matchweek 1,Away,L 0–1,Wolves,Leicester City,Y,"LM,LB",90,0,0,0,0,0,0,1,0,68,2,1,4,0.0,0.0,0.0,2,0,44,56,78.6,5,34,5,0,0,2,0,0,0,0,0,0,0,0,0,0,850,223,18,90.0,19,23,82.6,5,6,83.3,0.1,1,5,2,1
1,2021-08-22,Sun,Matchweek 2,Home,L 0–1,Wolves,Tottenham,Y,"LM,LB",90,0,0,0,0,1,0,0,0,83,4,3,0,0.0,0.0,0.0,3,0,57,75,76.0,8,44,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1012,371,26,96.3,26,34,76.5,5,11,45.5,0.0,1,2,1,1
2,2021-08-29,Sun,Matchweek 3,Home,L 0–1,Wolves,Manchester Utd,Y,LM,90,0,0,0,0,0,0,0,0,65,4,1,0,0.0,0.0,0.0,1,0,39,55,70.9,2,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,549,172,25,86.2,11,14,78.6,1,5,20.0,0.0,0,1,0,0
3,2021-09-11,Sat,Matchweek 4,Away,W 2–0,Wolves,Watford,Y,LM,90,0,0,0,0,2,0,1,0,67,4,2,2,0.2,0.2,0.0,2,1,47,57,82.5,2,47,5,1,0,1,0,0,0,0,0,0,0,1,0,0,620,133,26,100.0,20,26,76.9,0,3,0.0,0.0,0,4,0,0
4,2021-09-26,Sun,Matchweek 6,Away,W 1–0,Wolves,Southampton,Y,"LM,WB",90,0,0,0,0,0,0,0,0,67,3,1,2,0.0,0.0,0.0,0,0,31,53,58.5,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,473,178,18,78.3,11,18,61.1,1,8,12.5,0.0,0,1,0,0
5,2021-10-02,Sat,Matchweek 7,Home,W 2–1,Wolves,Newcastle Utd,Y,LM,90,0,0,0,0,0,0,0,0,71,4,2,2,0.0,0.0,0.0,0,0,43,51,84.3,0,36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,612,206,26,92.9,16,19,84.2,1,4,25.0,0.0,0,2,0,0
6,2021-10-16,Sat,Matchweek 8,Away,W 3–2,Wolves,Aston Villa,Y,WB,73,0,0,0,0,0,0,0,0,36,0,2,2,0.0,0.0,0.0,0,0,26,32,81.3,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,153,15,100.0,10,14,71.4,1,2,50.0,0.0,0,5,1,0
10,2021-12-15,Wed,Matchweek 17,Away,W 1–0,Wolves,Brighton,Y,LM,90,0,0,0,0,0,0,0,0,64,3,2,0,0.0,0.0,0.0,2,1,35,48,72.9,2,32,1,1,1,1,1,0,0,0,0,1,0,0,0,0,575,166,15,88.2,18,21,85.7,2,7,28.6,0.0,0,2,0,0
11,2021-12-19,Sun,Matchweek 18,Home,D 0–0,Wolves,Chelsea,Y,WB,90,0,0,0,0,0,0,0,0,57,1,2,3,0.0,0.0,0.0,0,0,29,41,70.7,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,508,144,16,84.2,7,12,58.3,5,6,83.3,0.0,0,2,1,0
12,2022-01-03,Mon,Matchweek 21,Away,W 1–0,Wolves,Manchester Utd,Y,"LM,WB",90,0,0,0,0,2,0,0,0,56,2,1,0,0.0,0.0,0.0,2,0,31,44,70.5,2,29,2,1,0,1,0,0,1,0,0,0,0,0,0,0,479,147,17,85.0,11,13,84.6,2,4,50.0,0.0,0,0,0,0
14,2022-02-10,Thu,Matchweek 24,Home,L 0–1,Wolves,Arsenal,Y,LM,62,0,0,0,0,1,0,0,0,42,1,1,2,0.0,0.0,0.0,1,0,25,32,78.1,1,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,444,110,9,90.0,15,17,88.2,1,5,20.0,0.0,0,0,0,0
17,2022-02-27,Sun,Matchweek 27,Away,L 0–1,Wolves,West Ham,Y,WB,75,0,0,0,0,1,0,0,0,73,2,0,1,0.0,0.0,0.2,3,0,46,61,75.4,2,34,1,1,0,3,0,0,0,0,0,0,0,0,0,0,680,189,26,92.9,16,23,69.6,3,7,42.9,0.1,3,1,1,0
18,2022-03-05,Sat,Matchweek 28,Home,L 0–2,Wolves,Crystal Palace,Y,"WB,LB",90,0,0,0,0,1,1,0,0,78,5,1,2,0.0,0.0,0.0,2,0,51,64,79.7,6,44,3,3,3,2,0,0,0,0,0,0,0,0,0,0,818,232,23,88.5,26,32,81.3,2,4,50.0,0.1,2,3,0,0
20,2022-03-13,Sun,Matchweek 29,Away,W 1–0,Wolves,Everton,Y,WB,90,0,0,0,0,1,0,0,0,59,0,4,0,0.0,0.0,0.0,2,0,38,48,79.2,2,29,2,1,1,2,0,0,0,0,0,0,0,0,0,0,572,295,20,90.9,16,19,84.2,1,5,20.0,0.0,1,2,1,0
22,2022-04-02,Sat,Matchweek 31,Home,W 2–1,Wolves,Aston Villa,Y,WB,90,0,0,0,0,0,0,1,0,74,2,1,2,0.0,0.0,0.1,1,0,41,58,70.7,5,29,2,3,1,1,0,0,0,0,0,0,0,0,0,0,693,331,23,88.5,12,16,75.0,5,9,55.6,0.1,1,2,1,1
23,2022-04-08,Fri,Matchweek 32,Away,L 0–1,Wolves,Newcastle Utd,Y,WB,85,0,0,0,0,0,0,0,0,68,3,4,1,0.0,0.0,0.2,1,0,43,56,76.8,3,32,6,0,0,1,0,0,0,0,0,0,0,0,0,0,569,173,28,87.5,14,20,70.0,0,1,0.0,0.1,1,3,1,1
