,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-09-18,Sat,Matchweek 5,Away,W 3–1,Watford,Norwich City,Y,RB,58.0,29.0,38.0,76.3,474.0,178.0,11.0,14.0,78.6,16.0,20.0,80.0,1.0,3.0,33.3,1.0,0.4,0.2,3.0,1.0,2.0,1.0,4.0,Match Report
1,2021-09-25,Sat,Matchweek 6,Home,D 1–1,Watford,Newcastle Utd,Y,RB,66.0,26.0,36.0,72.2,387.0,143.0,11.0,13.0,84.6,11.0,15.0,73.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Match Report
2,2021-10-02,Sat,Matchweek 7,Away,L 0–1,Watford,Leeds United,Y,RB,90.0,24.0,33.0,72.7,427.0,250.0,11.0,12.0,91.7,11.0,16.0,68.8,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,Match Report
3,2021-10-16,Sat,Matchweek 8,Home,L 0–5,Watford,Liverpool,Y,RB,55.0,5.0,10.0,50.0,63.0,30.0,3.0,5.0,60.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
5,2021-11-07,Sun,Matchweek 11,Away,L 0–1,Watford,Arsenal,Y,"RB,CB",90.0,40.0,50.0,80.0,745.0,361.0,19.0,20.0,95.0,16.0,17.0,94.1,4.0,9.0,44.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,Match Report
6,2021-11-20,Sat,Matchweek 12,Home,W 4–1,Watford,Manchester Utd,Y,RB,90.0,31.0,44.0,70.5,438.0,206.0,20.0,25.0,80.0,7.0,11.0,63.6,2.0,5.0,40.0,1.0,0.1,0.0,1.0,2.0,2.0,0.0,4.0,Match Report
7,2021-11-28,Sun,Matchweek 13,Away,L 2–4,Watford,Leicester City,Y,RB,90.0,24.0,47.0,51.1,352.0,205.0,14.0,21.0,66.7,7.0,16.0,43.8,2.0,4.0,50.0,0.0,0.5,0.2,1.0,1.0,2.0,1.0,4.0,Match Report
8,2021-12-01,Wed,Matchweek 14,Home,L 1–2,Watford,Chelsea,Y,RB,90.0,64.0,92.0,69.6,873.0,429.0,42.0,49.0,85.7,16.0,31.0,51.6,4.0,7.0,57.1,0.0,0.0,0.0,1.0,5.0,1.0,1.0,5.0,Match Report
9,2021-12-04,Sat,Matchweek 15,Home,L 1–3,Watford,Manchester City,Y,RB,90.0,19.0,32.0,59.4,394.0,251.0,5.0,13.0,38.5,12.0,15.0,80.0,2.0,4.0,50.0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,Match Report
10,2021-12-10,Fri,Matchweek 16,Away,L 1–2,Watford,Brentford,Y,RB,90.0,31.0,47.0,66.0,365.0,237.0,23.0,26.0,88.5,7.0,12.0,58.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Match Report
