,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2021-08-14,Sat,Matchweek 1,Home,W 3–0,Chelsea,Crystal Palace,Y,CB,90,1,0,0,0,1,1,0,0,89,0,2,0,0.0,0.0,0.0,0,0,77,83,92.8,8,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1383,468,30,88.2,41,42,97.6,6,7,85.7,0.2,0,17,1,0
2,2021-08-28,Sat,Matchweek 3,Away,D 1–1,Chelsea,Liverpool,N,CM,4,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,11,1,50.0,0,1,0.0,0,1,0.0,0.0,0,0,0,0
3,2021-09-11,Sat,Matchweek 4,Home,W 3–0,Chelsea,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,60,4,1,2,0.0,0.0,0.0,0,0,36,47,76.6,4,15,3,2,2,0,0,0,0,0,0,0,0,0,0,0,724,265,12,92.3,17,22,77.3,7,10,70.0,0.0,0,1,1,0
6,2021-10-02,Sat,Matchweek 7,Home,W 3–1,Chelsea,Southampton,Y,CB,90,1,0,0,0,1,1,0,0,81,5,0,2,0.6,0.6,0.0,0,0,59,66,89.4,4,22,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1093,300,25,92.6,24,25,96.0,9,11,81.8,0.0,0,4,0,0
7,2021-10-16,Sat,Matchweek 8,Away,W 1–0,Chelsea,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,64,5,0,3,0.0,0.0,0.0,1,0,46,54,85.2,2,42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,713,200,22,84.6,22,22,100.0,2,5,40.0,0.0,0,8,0,0
8,2021-10-23,Sat,Matchweek 9,Home,W 7–0,Chelsea,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,2,0,60,64,93.8,5,45,2,0,0,2,0,0,0,0,0,0,0,0,0,0,838,160,37,97.4,23,24,95.8,0,2,0.0,0.0,1,6,0,0
11,2021-11-20,Sat,Matchweek 12,Away,W 3–0,Chelsea,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,80,0,1,0,0.0,0.0,0.0,2,1,69,77,89.6,5,48,2,1,1,2,0,0,0,0,1,0,0,0,0,0,1146,420,33,91.7,28,31,90.3,7,8,87.5,0.0,0,6,1,0
12,2021-11-28,Sun,Matchweek 13,Home,D 1–1,Chelsea,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,95,2,3,1,0.0,0.0,0.0,1,0,73,86,84.9,8,66,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1037,377,49,92.5,21,24,87.5,2,4,50.0,0.0,0,4,0,0
13,2021-12-01,Wed,Matchweek 14,Away,W 2–1,Chelsea,Watford,Y,"CB,CM",59,0,0,0,0,0,0,0,0,45,0,1,1,0.0,0.0,0.0,1,0,30,37,81.1,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,416,79,15,78.9,14,15,93.3,0,2,0.0,0.0,0,1,0,0
14,2021-12-16,Thu,Matchweek 17,Home,D 1–1,Chelsea,Everton,N,CB,12,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,28,29,96.6,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,466,110,16,100.0,11,11,100.0,1,2,50.0,0.0,0,5,0,0
