,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2023-01-21,Sat,Matchweek 21,Away,D 0–0,Chelsea,Liverpool,N,LW,36,13,15,86.7,135,57,11,12,91.7,1,1,100.0,0,1,0.0,0,0.0,0.2,0,2,2,0,3,Match Report
3,2023-02-18,Sat,Matchweek 24,Home,L 0–1,Chelsea,Southampton,N,"RW,WB",27,5,10,50.0,66,18,4,7,57.1,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Match Report
4,2023-02-26,Sun,Matchweek 25,Away,L 0–2,Chelsea,Tottenham,N,LW,8,4,8,50.0,37,2,3,3,100.0,0,2,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
5,2023-03-04,Sat,Matchweek 26,Home,W 1–0,Chelsea,Leeds United,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2023-03-11,Sat,Matchweek 27,Away,W 3–1,Chelsea,Leicester City,Y,"FW,LW",81,15,22,68.2,161,37,9,12,75.0,2,2,100.0,1,1,100.0,1,0.1,0.1,2,1,1,0,1,Match Report
7,2023-03-18,Sat,Matchweek 28,Home,D 2–2,Chelsea,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
11,2023-04-15,Sat,Matchweek 31,Home,L 1–2,Chelsea,Brighton,Y,LW,90,11,20,55.0,160,42,6,11,54.5,3,4,75.0,1,4,25.0,1,0.1,0.0,1,1,0,0,1,Match Report
12,2023-04-26,Wed,Matchweek 33,Home,L 0–2,Chelsea,Brentford,N,LW,45,27,33,81.8,406,101,17,20,85.0,7,8,87.5,2,4,50.0,0,0.1,0.1,1,0,1,0,3,Match Report
13,2023-05-02,Tue,Matchweek 34,Away,L 1–3,Chelsea,Arsenal,N,LW,20,7,10,70.0,137,110,3,3,100.0,2,4,50.0,2,3,66.7,0,0.3,0.5,3,1,2,0,3,Match Report
14,2023-05-06,Sat,Matchweek 35,Away,W 3–1,Chelsea,Bournemouth,Y,LW,62,17,22,77.3,216,45,12,12,100.0,4,4,100.0,1,5,20.0,0,0.0,0.1,0,1,2,0,2,Match Report
15,2023-05-13,Sat,Matchweek 36,Home,D 2–2,Chelsea,Nott'ham Forest,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
16,2023-05-21,Sun,Matchweek 37,Away,L 0–1,Chelsea,Manchester City,N,AM,22,3,4,75.0,55,32,2,2,100.0,0,1,0.0,1,1,100.0,0,0.1,0.1,1,0,0,0,0,Match Report
17,2023-05-25,Thu,Matchweek 32,Away,L 1–4,Chelsea,Manchester Utd,Y,LW,63,15,17,88.2,210,54,9,10,90.0,3,4,75.0,1,1,100.0,0,0.1,0.1,1,0,0,0,1,Match Report
18,2023-05-28,Sun,Matchweek 38,Home,D 1–1,Chelsea,Newcastle Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
