14,2022-10-02,Sun,Matchweek 9,Away,D 0–0,Aston Villa,Leeds United,N,CB,46,0,0,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.0,0,0,37,41,90.2,4,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,820,281,7,87.5,20,22,90.9,9,10,90.0,0.0,0,2,0,0
17,2022-10-20,Thu,Matchweek 12,Away,L 0–3,Aston Villa,Fulham,Y,CB,45,0,0,0,0,0,0,0,0,28,1,1,2,0.0,0.0,0.0,0,0,19,21,90.5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,111,6,100.0,12,12,100.0,1,2,50.0,0.0,0,1,0,0
25,2023-02-04,Sat,Matchweek 22,Away,L 0–3,Southampton,Brentford,Y,CB,90,0,0,0,0,1,0,0,0,67,3,10,2,0.0,0.0,0.0,1,0,40,45,88.9,6,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,757,391,16,84.2,16,18,88.9,6,6,100.0,0.0,0,3,0,0
26,2023-02-11,Sat,Matchweek 23,Home,L 1–2,Southampton,Wolves,Y,CB,90,0,0,0,0,3,0,0,0,44,2,0,2,0.2,0.2,0.0,1,0,20,33,60.6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,268,4,57.1,12,17,70.6,3,6,50.0,0.0,0,3,0,0
27,2023-02-18,Sat,Matchweek 24,Away,W 1–0,Southampton,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,48,4,1,4,0.0,0.0,0.0,0,0,30,37,81.1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,128,8,72.7,21,21,100.0,1,4,25.0,0.0,0,0,0,0
28,2023-02-25,Sat,Matchweek 25,Away,L 0–1,Southampton,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,66,2,2,2,0.0,0.0,0.0,0,0,40,47,85.1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,284,15,83.3,20,21,95.2,4,6,66.7,0.0,0,0,0,0
29,2023-03-04,Sat,Matchweek 26,Home,W 1–0,Southampton,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,51,1,3,1,0.0,0.0,0.0,0,0,32,42,76.2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,259,15,83.3,13,16,81.3,3,7,42.9,0.0,0,2,0,0
30,2023-03-12,Sun,Matchweek 27,Away,D 0–0,Southampton,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,68,2,2,0,0.0,0.0,0.0,1,0,49,58,84.5,3,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,870,337,23,92.0,18,23,78.3,7,9,77.8,0.1,1,2,0,0
31,2023-03-15,Wed,Matchweek 7,Home,L 0–2,Southampton,Brentford,Y,CB,90,0,0,0,0,0,0,1,0,74,1,0,2,0.0,0.0,0.0,0,0,61,70,87.1,3,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,392,24,88.9,30,31,96.8,7,9,77.8,0.0,0,1,0,0
32,2023-03-18,Sat,Matchweek 28,Home,D 3–3,Southampton,Tottenham,Y,CB,33,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,6,9,66.7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,33,2,50.0,3,3,100.0,1,1,100.0,0.0,0,0,0,0
