,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-06,Sat,Matchweek 1,Home,W 4–1,Tottenham,Southampton,Y*,GK,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,19,20,95.0,0,9,0,0,0,Match Report
1,2022-08-14,Sun,Matchweek 2,Away,D 2–2,Tottenham,Chelsea,Y*,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,29,30,96.7,0,16,0,0,0,Match Report
2,2022-08-20,Sat,Matchweek 3,Home,W 1–0,Tottenham,Wolves,Y*,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,29,35,82.9,0,21,0,0,0,Match Report
3,2022-08-28,Sun,Matchweek 4,Away,W 2–0,Tottenham,Nott'ham Forest,Y*,GK,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,28,40,70.0,0,22,0,0,0,Match Report
4,2022-08-31,Wed,Matchweek 5,Away,D 1–1,Tottenham,West Ham,Y*,GK,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,34,39,87.2,0,22,0,0,0,Match Report
5,2022-09-03,Sat,Matchweek 6,Home,W 2–1,Tottenham,Fulham,Y*,GK,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,15,0,0,0,Match Report
6,2022-09-17,Sat,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,Y*,GK,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,37,43,86.0,0,23,0,0,0,Match Report
7,2022-10-01,Sat,Matchweek 9,Away,L 1–3,Tottenham,Arsenal,Y*,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,21,31,67.7,0,17,0,0,0,Match Report
8,2022-10-08,Sat,Matchweek 10,Away,W 1–0,Tottenham,Brighton,Y*,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,34,73.5,0,20,0,0,0,Match Report
9,2022-10-15,Sat,Matchweek 11,Home,W 2–0,Tottenham,Everton,Y*,GK,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,18,20,90.0,0,11,0,0,0,Match Report
10,2022-10-19,Wed,Matchweek 12,Away,L 0–2,Tottenham,Manchester Utd,Y*,GK,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,33,38,86.8,0,23,0,0,0,Match Report
11,2022-10-23,Sun,Matchweek 13,Home,L 1–2,Tottenham,Newcastle Utd,Y*,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,26,73.1,0,20,0,0,0,Match Report
12,2022-10-29,Sat,Matchweek 14,Away,W 3–2,Tottenham,Bournemouth,Y*,GK,90,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,11,0,0,0,Match Report
13,2022-11-06,Sun,Matchweek 15,Home,L 1–2,Tottenham,Liverpool,Y*,GK,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,11,19,57.9,0,8,0,0,0,Match Report
14,2022-11-12,Sat,Matchweek 16,Home,W 4–3,Tottenham,Leeds United,Y*,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,18,25,72.0,0,14,0,0,0,Match Report
