,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2022-08-07,Sun,Matchweek 1,Away,W 2–1,Brighton,Manchester Utd,Y,AM,75.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
1,2022-08-13,Sat,Matchweek 2,Home,D 0–0,Brighton,Newcastle Utd,Y,AM,64.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
2,2022-08-21,Sun,Matchweek 3,Away,W 2–0,Brighton,West Ham,Y,FW,62.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
4,2022-10-01,Sat,Matchweek 9,Away,D 3–3,Brighton,Liverpool,N,WB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
5,2022-10-08,Sat,Matchweek 10,Home,L 0–1,Brighton,Tottenham,N,"CM,LW",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
6,2022-10-14,Fri,Matchweek 11,Away,L 0–2,Brighton,Brentford,N,AM,23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
7,2022-10-18,Tue,Matchweek 12,Home,D 0–0,Brighton,Nott'ham Forest,Y,AM,63.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
8,2022-10-22,Sat,Matchweek 13,Away,L 1–3,Brighton,Manchester City,Y,FW,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
9,2022-10-29,Sat,Matchweek 14,Home,W 4–1,Brighton,Chelsea,Y,AM,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
10,2022-11-05,Sat,Matchweek 15,Away,W 3–2,Brighton,Wolves,Y,AM,64.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
11,2022-11-13,Sun,Matchweek 16,Home,L 1–2,Brighton,Aston Villa,Y,AM,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
12,2022-12-26,Mon,Matchweek 17,Away,W 3–1,Brighton,Southampton,Y,AM,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
13,2022-12-31,Sat,Matchweek 18,Home,L 2–4,Brighton,Arsenal,Y,AM,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
14,2023-01-03,Tue,Matchweek 19,Away,W 4–1,Brighton,Everton,N,FW,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
15,2023-01-14,Sat,Matchweek 20,Home,W 3–0,Brighton,Liverpool,Y,AM,65.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
16,2023-01-21,Sat,Matchweek 21,Away,D 2–2,Brighton,Leicester City,Y,AM,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
