,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2022-08-06,Sat,Matchweek 1,Home,W 4–1,Tottenham,Southampton,Y,AM,85.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,58.0,4.0,0.0,1.0,0.1,0.1,0.5,9.0,2.0,38.0,43.0,88.4,4.0,31.0,5.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,546.0,136.0,22.0,95.7,13.0,14.0,92.9,2.0,3.0,66.7,0.6,3.0,1.0,3.0,1.0
1,2022-08-20,Sat,Matchweek 3,Home,W 1–0,Tottenham,Wolves,Y,AM,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,28.0,36.0,77.8,4.0,35.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,135.0,13.0,76.5,12.0,14.0,85.7,1.0,1.0,100.0,0.2,3.0,0.0,3.0,1.0
2,2022-08-28,Sun,Matchweek 4,Away,W 2–0,Tottenham,Nott'ham Forest,Y,AM,82.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,0.2,0.2,0.3,6.0,1.0,26.0,32.0,81.3,3.0,30.0,9.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,365.0,103.0,18.0,100.0,8.0,11.0,72.7,0.0,2.0,0.0,0.4,3.0,1.0,1.0,0.0
3,2022-09-17,Sat,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,Y,AM,69.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,2.0,0.0,1.0,0.3,0.3,0.3,3.0,1.0,20.0,23.0,87.0,3.0,17.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,278.0,83.0,13.0,92.9,6.0,8.0,75.0,1.0,1.0,100.0,0.4,1.0,1.0,2.0,1.0
4,2022-11-06,Sun,Matchweek 15,Home,L 1–2,Tottenham,Liverpool,N,"FW,AM",23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,9.0,13.0,69.2,2.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,136.0,42.0,6.0,100.0,2.0,4.0,50.0,1.0,3.0,33.3,0.1,1.0,0.0,2.0,1.0
5,2022-11-12,Sat,Matchweek 16,Home,W 4–3,Tottenham,Leeds United,Y,"RW,FW",89.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,46.0,0.0,0.0,1.0,0.2,0.2,0.5,8.0,2.0,25.0,33.0,75.8,2.0,29.0,6.0,11.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,328.0,94.0,12.0,80.0,10.0,13.0,76.9,1.0,1.0,100.0,0.9,4.0,0.0,1.0,0.0
6,2022-12-26,Mon,Matchweek 17,Away,D 2–2,Tottenham,Brentford,Y,RW,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.1,7.0,1.0,35.0,49.0,71.4,4.0,42.0,3.0,7.0,6.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,453.0,102.0,18.0,81.8,13.0,18.0,72.2,0.0,2.0,0.0,0.1,2.0,1.0,1.0,0.0
7,2023-01-15,Sun,Matchweek 20,Home,L 0–2,Tottenham,Arsenal,Y,"AM,RM,WB",87.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,50.0,2.0,1.0,1.0,0.1,0.1,0.1,2.0,0.0,20.0,30.0,66.7,3.0,33.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,80.0,14.0,73.7,5.0,7.0,71.4,1.0,3.0,33.3,0.0,1.0,2.0,1.0,0.0
8,2023-01-19,Thu,Matchweek 7,Away,L 2–4,Tottenham,Manchester City,Y,"AM,WB",90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,3.0,0.0,0.0,0.1,0.1,0.4,4.0,0.0,32.0,39.0,82.1,1.0,36.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,95.0,16.0,88.9,12.0,14.0,85.7,2.0,2.0,100.0,0.5,4.0,2.0,1.0,1.0
9,2023-01-23,Mon,Matchweek 21,Away,W 1–0,Tottenham,Fulham,Y,AM,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,34.0,64.7,6.0,34.0,3.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,132.0,7.0,50.0,10.0,12.0,83.3,2.0,5.0,40.0,0.1,1.0,0.0,3.0,1.0
