,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-07,Sun,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y,FW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,0.0,1.0,0.0,0.4,0.4,0.1,2.0,0.0,17.0,28.0,60.7,1.0,22.0,0.0,1.0,0.0,Match Report
1,2022-08-13,Sat,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,Y,FW,90.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,16.0,30.0,53.3,4.0,12.0,0.0,0.0,0.0,Match Report
2,2022-08-20,Sat,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y,FW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,1.0,1.0,2.0,1.0,1.0,0.1,2.0,0.0,14.0,17.0,82.4,1.0,15.0,0.0,3.0,2.0,Match Report
3,2022-08-27,Sat,Matchweek 4,Home,D 1–1,Brentford,Everton,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.3,0.3,0.1,3.0,0.0,13.0,17.0,76.5,2.0,17.0,0.0,1.0,0.0,Match Report
4,2022-08-30,Tue,Matchweek 5,Away,D 1–1,Brentford,Crystal Palace,Y*,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,42.0,2.0,1.0,0.0,0.2,0.2,0.6,3.0,0.0,16.0,25.0,64.0,4.0,29.0,0.0,4.0,0.0,Match Report
5,2022-09-03,Sat,Matchweek 6,Home,W 5–2,Brentford,Leeds United,Y,FW,90.0,3.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,28.0,2.0,0.0,1.0,1.1,0.3,0.0,5.0,2.0,10.0,13.0,76.9,2.0,10.0,0.0,1.0,1.0,Match Report
6,2022-09-18,Sun,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,3.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,9.0,17.0,52.9,2.0,17.0,0.0,1.0,1.0,Match Report
7,2022-10-01,Sat,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y,FW,90.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,33.0,0.0,0.0,1.0,0.6,0.6,0.0,1.0,0.0,15.0,20.0,75.0,2.0,27.0,0.0,2.0,0.0,Match Report
8,2022-10-08,Sat,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,Y*,FW,90.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,43.0,0.0,0.0,3.0,0.8,0.0,0.0,3.0,0.0,19.0,25.0,76.0,2.0,18.0,0.0,0.0,0.0,Match Report
9,2022-10-14,Fri,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y*,FW,90.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,45.0,0.0,0.0,0.0,1.0,0.2,0.1,2.0,1.0,13.0,28.0,46.4,1.0,20.0,0.0,1.0,0.0,Match Report
10,2022-10-19,Wed,Matchweek 12,Home,D 0–0,Brentford,Chelsea,Y*,FW,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,41.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,14.0,31.0,45.2,2.0,18.0,1.0,5.0,1.0,Match Report
11,2022-10-23,Sun,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,Y*,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,19.0,30.0,63.3,2.0,20.0,0.0,2.0,2.0,Match Report
12,2022-10-29,Sat,Matchweek 14,Home,D 1–1,Brentford,Wolves,Y*,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,30.0,1.0,0.0,2.0,0.6,0.6,0.0,0.0,0.0,13.0,17.0,76.5,4.0,14.0,1.0,0.0,0.0,Match Report
14,2022-11-12,Sat,Matchweek 16,Away,W 2–1,Brentford,Manchester City,Y*,FW,90.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,53.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,29.0,55.2,2.0,21.0,0.0,1.0,0.0,Match Report
15,2022-12-26,Mon,Matchweek 17,Home,D 2–2,Brentford,Tottenham,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,36.0,1.0,0.0,1.0,0.8,0.8,0.0,2.0,0.0,10.0,20.0,50.0,0.0,18.0,0.0,2.0,0.0,Match Report
16,2022-12-30,Fri,Matchweek 18,Away,W 2–0,Brentford,West Ham,Y,FW,89.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,56.0,0.0,1.0,4.0,0.7,0.7,0.4,3.0,1.0,23.0,35.0,65.7,4.0,27.0,1.0,1.0,0.0,Match Report
18,2023-01-14,Sat,Matchweek 20,Home,W 2–0,Brentford,Bournemouth,Y,FW,81.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.8,0.0,0.0,2.0,1.0,8.0,19.0,42.1,0.0,18.0,1.0,1.0,1.0,Match Report
19,2023-01-22,Sun,Matchweek 21,Away,D 0–0,Brentford,Leeds United,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,45.0,0.0,3.0,0.0,0.2,0.2,0.0,1.0,0.0,13.0,28.0,46.4,2.0,20.0,1.0,3.0,0.0,Match Report
20,2023-02-04,Sat,Matchweek 22,Home,W 3–0,Brentford,Southampton,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,40.0,2.0,0.0,1.0,0.4,0.4,0.2,2.0,0.0,15.0,27.0,55.6,5.0,23.0,0.0,1.0,0.0,Match Report
21,2023-02-11,Sat,Matchweek 23,Away,D 1–1,Brentford,Arsenal,Y,FW,89.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,51.0,1.0,0.0,1.0,1.3,1.3,0.4,3.0,0.0,18.0,40.0,45.0,5.0,17.0,0.0,0.0,0.0,Match Report
22,2023-02-18,Sat,Matchweek 24,Home,D 1–1,Brentford,Crystal Palace,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,14.0,22.0,63.6,2.0,21.0,0.0,0.0,0.0,Match Report
23,2023-03-06,Mon,Matchweek 26,Home,W 3–2,Brentford,Fulham,Y,FW,90.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,17.0,32.0,53.1,3.0,26.0,1.0,0.0,0.0,Match Report
24,2023-03-11,Sat,Matchweek 27,Away,L 0–1,Brentford,Everton,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,0.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,17.0,31.0,54.8,1.0,21.0,1.0,4.0,0.0,Match Report
25,2023-03-15,Wed,Matchweek 7,Away,W 2–0,Brentford,Southampton,Y,FW,90.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,38.0,2.0,0.0,2.0,0.9,0.9,0.5,2.0,1.0,16.0,31.0,51.6,3.0,17.0,1.0,3.0,2.0,Match Report
26,2023-03-18,Sat,Matchweek 28,Home,D 1–1,Brentford,Leicester City,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,14.0,21.0,66.7,4.0,15.0,1.0,2.0,0.0,Match Report
27,2023-04-01,Sat,Matchweek 29,Away,D 3–3,Brentford,Brighton,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,28.0,0.0,3.0,0.0,0.6,0.6,0.3,2.0,1.0,7.0,14.0,50.0,0.0,12.0,1.0,1.0,0.0,Match Report
