,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2022-08-06,Sat,Matchweek 1,Away,L 1–4,Southampton,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,13,36,36.1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,205,5,100.0,2,2,100.0,6,29,20.7,0.0,0,0,0,0
1,2022-08-13,Sat,Matchweek 2,Home,D 2–2,Southampton,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,17,30,56.7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,344,1,100.0,10,10,100.0,6,19,31.6,0.0,0,2,0,0
2,2022-08-20,Sat,Matchweek 3,Away,W 2–1,Southampton,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,36,52.8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,652,3,100.0,4,4,100.0,12,29,41.4,0.0,0,3,0,0
3,2022-08-27,Sat,Matchweek 4,Home,L 0–1,Southampton,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.1,1,0,19,34,55.9,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,746,639,3,100.0,5,5,100.0,11,25,44.0,0.0,1,6,1,0
4,2022-08-30,Tue,Matchweek 5,Home,W 2–1,Southampton,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,18,38,47.4,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,775,731,2,100.0,4,4,100.0,12,32,37.5,0.0,0,8,0,0
5,2022-09-03,Sat,Matchweek 6,Away,L 0–1,Southampton,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,21,35,60.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,603,4,100.0,7,8,87.5,10,23,43.5,0.0,0,5,0,0
6,2022-09-16,Fri,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,31,43,72.1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,602,8,100.0,14,14,100.0,9,21,42.9,0.0,0,1,0,0
7,2022-10-01,Sat,Matchweek 9,Home,L 1–2,Southampton,Everton,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,24,34,70.6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,377,6,100.0,12,12,100.0,6,16,37.5,0.0,0,1,0,0
8,2022-10-08,Sat,Matchweek 10,Away,L 0–4,Southampton,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,73,1,0,0,0.0,0.0,0.0,0,0,44,69,63.8,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,712,9,100.0,21,21,100.0,14,39,35.9,0.0,0,1,0,0
9,2022-10-16,Sun,Matchweek 11,Home,D 1–1,Southampton,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,22,36,61.1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,905,2,100.0,4,4,100.0,16,30,53.3,0.0,0,1,0,0
10,2022-10-19,Wed,Matchweek 12,Away,W 1–0,Southampton,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,27,36,75.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,827,4,100.0,9,9,100.0,14,23,60.9,0.0,0,2,0,0
11,2022-10-23,Sun,Matchweek 13,Home,D 1–1,Southampton,Arsenal,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,26,34,76.5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,307,6,100.0,12,12,100.0,8,15,53.3,0.0,0,0,0,0
12,2022-10-29,Sat,Matchweek 14,Away,L 0–1,Southampton,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,50,0,1,0,0.0,0.0,0.0,0,0,35,46,76.1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,569,11,100.0,16,16,100.0,8,19,42.1,0.0,0,0,0,0
13,2022-11-06,Sun,Matchweek 15,Home,L 1–4,Southampton,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,19,34,55.9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,645,2,100.0,6,6,100.0,11,25,44.0,0.0,0,1,0,0
