,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-08-06,Sat,Matchweek 1,Away,L 1–2,Wolves,Leeds United,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
1,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
2,2022-08-13,Sat,Matchweek 2,Away,L 1–2,Everton,Aston Villa,Y,CB,80,46,54,85.2,1019,361,13,14,92.9,24,25,96.0,9,14,64.3,0,0.0,0.0,0,4,0,0,0,Match Report
3,2022-08-20,Sat,Matchweek 3,Home,D 1–1,Everton,Nott'ham Forest,Y,CB,90,43,54,79.6,931,365,13,16,81.3,21,23,91.3,9,14,64.3,0,0.0,0.0,0,4,1,0,3,Match Report
4,2022-08-27,Sat,Matchweek 4,Away,D 1–1,Everton,Brentford,Y,CB,90,41,46,89.1,927,459,11,13,84.6,22,24,91.7,8,9,88.9,1,0.1,0.2,1,5,0,0,4,Match Report
5,2022-08-30,Tue,Matchweek 5,Away,D 1–1,Everton,Leeds United,Y,CB,90,26,33,78.8,570,166,7,8,87.5,15,16,93.8,4,9,44.4,0,0.0,0.0,0,1,0,0,1,Match Report
6,2022-09-03,Sat,Matchweek 6,Home,D 0–0,Everton,Liverpool,Y,CB,90,25,31,80.6,525,197,7,7,100.0,16,16,100.0,2,8,25.0,0,0.0,0.0,0,1,0,0,2,Match Report
7,2022-09-18,Sun,Matchweek 8,Home,W 1–0,Everton,West Ham,Y*,CB,90,50,60,83.3,1189,454,10,10,100.0,28,31,90.3,11,18,61.1,0,0.0,0.0,0,5,0,0,5,Match Report
8,2022-10-01,Sat,Matchweek 9,Away,W 2–1,Everton,Southampton,Y,CB,90,29,36,80.6,662,296,6,7,85.7,18,18,100.0,5,10,50.0,0,0.0,0.0,0,2,0,0,0,Match Report
9,2022-10-09,Sun,Matchweek 10,Home,L 1–2,Everton,Manchester Utd,Y,CB,90,42,53,79.2,764,323,15,16,93.8,25,28,89.3,2,8,25.0,0,0.0,0.0,1,0,0,0,1,Match Report
10,2022-10-15,Sat,Matchweek 11,Away,L 0–2,Everton,Tottenham,Y,CB,90,54,60,90.0,1133,458,17,17,100.0,27,28,96.4,10,15,66.7,0,0.1,0.0,1,2,0,0,0,Match Report
11,2022-10-19,Wed,Matchweek 12,Away,L 0–1,Everton,Newcastle Utd,Y,CB,90,40,46,87.0,832,273,12,12,100.0,19,20,95.0,8,13,61.5,0,0.0,0.0,0,2,0,0,1,Match Report
12,2022-10-22,Sat,Matchweek 13,Home,W 3–0,Everton,Crystal Palace,Y,CB,90,35,41,85.4,673,265,15,15,100.0,17,18,94.4,3,8,37.5,0,0.0,0.0,0,0,0,0,1,Match Report
13,2022-10-29,Sat,Matchweek 14,Away,D 0–0,Everton,Fulham,Y,CB,90,48,53,90.6,1093,276,10,10,100.0,31,34,91.2,7,9,77.8,0,0.0,0.0,0,3,0,0,0,Match Report
14,2022-11-05,Sat,Matchweek 15,Home,L 0–2,Everton,Leicester City,Y,CB,90,58,70,82.9,1279,352,11,12,91.7,36,39,92.3,11,19,57.9,0,0.0,0.1,0,2,1,1,0,Match Report
15,2022-11-12,Sat,Matchweek 16,Away,L 0–3,Everton,Bournemouth,Y,CB,90,75,82,91.5,1695,752,14,15,93.3,50,53,94.3,10,13,76.9,0,0.1,0.1,1,13,1,0,8,Match Report
17,2022-12-31,Sat,Matchweek 18,Away,D 1–1,Everton,Manchester City,Y,CB,90,22,25,88.0,534,287,4,5,80.0,13,13,100.0,5,6,83.3,0,0.0,0.0,0,0,0,0,0,Match Report
18,2023-01-03,Tue,Matchweek 19,Home,L 1–4,Everton,Brighton,Y,CB,90,71,82,86.6,1420,477,20,22,90.9,43,44,97.7,7,14,50.0,0,0.0,0.0,0,6,0,0,2,Match Report
19,2023-01-14,Sat,Matchweek 20,Home,L 1–2,Everton,Southampton,Y,CB,90,38,50,76.0,867,342,6,7,85.7,24,25,96.0,7,14,50.0,0,0.0,0.0,0,4,0,0,2,Match Report
20,2023-01-21,Sat,Matchweek 21,Away,L 0–2,Everton,West Ham,Y,CB,90,87,98,88.8,1617,636,38,39,97.4,38,42,90.5,10,16,62.5,0,0.0,0.0,0,8,0,0,4,Match Report
21,2023-02-04,Sat,Matchweek 22,Home,W 1–0,Everton,Arsenal,Y,CB,90,14,26,53.8,233,51,5,7,71.4,9,12,75.0,0,6,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
22,2023-02-13,Mon,Matchweek 23,Away,L 0–2,Everton,Liverpool,Y,CB,90,48,55,87.3,949,455,16,16,100.0,26,29,89.7,6,10,60.0,0,0.0,0.0,0,1,0,0,3,Match Report
23,2023-02-18,Sat,Matchweek 24,Home,W 1–0,Everton,Leeds United,Y,CB,90,34,44,77.3,706,327,5,5,100.0,21,24,87.5,6,13,46.2,0,0.0,0.0,0,1,0,0,1,Match Report
24,2023-02-25,Sat,Matchweek 25,Home,L 0–2,Everton,Aston Villa,Y,CB,90,46,50,92.0,1055,394,13,13,100.0,25,26,96.2,8,11,72.7,0,0.0,0.0,0,7,0,0,2,Match Report
25,2023-03-01,Wed,Matchweek 7,Away,L 0–4,Everton,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
26,2023-03-05,Sun,Matchweek 26,Away,D 2–2,Everton,Nott'ham Forest,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
27,2023-03-11,Sat,Matchweek 27,Home,W 1–0,Everton,Brentford,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
28,2023-03-18,Sat,Matchweek 28,Away,D 2–2,Everton,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
29,2023-04-03,Mon,Matchweek 29,Home,D 1–1,Everton,Tottenham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
30,2023-04-08,Sat,Matchweek 30,Away,L 0–2,Everton,Manchester Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
