,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-08-05,Fri,Matchweek 1,Home,L 0–2,Crystal Palace,Arsenal,Y,CB,90.0,93.0,107.0,86.9,2310.0,827.0,24.0,27.0,88.9,52.0,54.0,96.3,17.0,26.0,65.4,0.0,0.1,0.1,1.0,10.0,0.0,0.0,2.0,Match Report
1,2022-08-15,Mon,Matchweek 2,Away,D 1–1,Crystal Palace,Liverpool,Y,CB,90.0,18.0,27.0,66.7,361.0,156.0,6.0,6.0,100.0,9.0,11.0,81.8,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
2,2022-08-20,Sat,Matchweek 3,Home,W 3–1,Crystal Palace,Aston Villa,Y,CB,90.0,47.0,55.0,85.5,1278.0,539.0,7.0,9.0,77.8,25.0,26.0,96.2,15.0,19.0,78.9,0.0,0.2,0.0,1.0,6.0,1.0,0.0,3.0,Match Report
3,2022-08-27,Sat,Matchweek 4,Away,L 2–4,Crystal Palace,Manchester City,Y,CB,90.0,31.0,41.0,75.6,874.0,403.0,1.0,1.0,100.0,20.0,21.0,95.2,10.0,17.0,58.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Match Report
4,2022-08-30,Tue,Matchweek 5,Home,D 1–1,Crystal Palace,Brentford,Y,CB,90.0,54.0,69.0,78.3,1218.0,532.0,14.0,17.0,82.4,26.0,30.0,86.7,13.0,21.0,61.9,0.0,0.0,0.0,1.0,4.0,1.0,0.0,7.0,Match Report
5,2022-09-03,Sat,Matchweek 6,Away,D 0–0,Crystal Palace,Newcastle Utd,Y,CB,90.0,43.0,58.0,74.1,778.0,369.0,17.0,17.0,100.0,23.0,28.0,82.1,2.0,11.0,18.2,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,Match Report
7,2022-10-09,Sun,Matchweek 10,Home,W 2–1,Crystal Palace,Leeds United,Y,CB,90.0,32.0,44.0,72.7,923.0,509.0,4.0,4.0,100.0,18.0,20.0,90.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,Match Report
8,2022-10-15,Sat,Matchweek 11,Away,D 0–0,Crystal Palace,Leicester City,Y,CB,90.0,73.0,88.0,83.0,1862.0,676.0,10.0,11.0,90.9,45.0,49.0,91.8,17.0,26.0,65.4,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,Match Report
9,2022-10-18,Tue,Matchweek 12,Home,W 2–1,Crystal Palace,Wolves,Y,CB,90.0,44.0,54.0,81.5,1121.0,318.0,7.0,7.0,100.0,27.0,31.0,87.1,10.0,15.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Match Report
10,2022-10-22,Sat,Matchweek 13,Away,L 0–3,Crystal Palace,Everton,Y,CB,90.0,59.0,70.0,84.3,1370.0,407.0,13.0,14.0,92.9,38.0,38.0,100.0,8.0,14.0,57.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Match Report
11,2022-10-29,Sat,Matchweek 14,Home,W 1–0,Crystal Palace,Southampton,Y,CB,90.0,32.0,48.0,66.7,660.0,212.0,7.0,11.0,63.6,21.0,22.0,95.5,3.0,13.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
12,2022-11-06,Sun,Matchweek 15,Away,W 2–1,Crystal Palace,West Ham,Y,CB,90.0,67.0,81.0,82.7,1483.0,563.0,20.0,20.0,100.0,37.0,40.0,92.5,9.0,18.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Match Report
13,2022-11-12,Sat,Matchweek 16,Away,L 0–1,Crystal Palace,Nott'ham Forest,Y,CB,90.0,113.0,134.0,84.3,2278.0,710.0,31.0,33.0,93.9,78.0,82.0,95.1,4.0,19.0,21.1,0.0,0.0,0.1,0.0,5.0,1.0,0.0,6.0,Match Report
14,2022-12-26,Mon,Matchweek 17,Home,L 0–3,Crystal Palace,Fulham,Y*,CB,90.0,36.0,50.0,72.0,861.0,423.0,12.0,13.0,92.3,16.0,16.0,100.0,8.0,17.0,47.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Match Report
15,2022-12-31,Sat,Matchweek 18,Away,W 2–0,Crystal Palace,Bournemouth,Y,CB,90.0,26.0,37.0,70.3,740.0,304.0,5.0,6.0,83.3,15.0,18.0,83.3,6.0,13.0,46.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Match Report
16,2023-01-04,Wed,Matchweek 19,Home,L 0–4,Crystal Palace,Tottenham,Y,CB,90.0,50.0,63.0,79.4,1196.0,548.0,14.0,15.0,93.3,26.0,29.0,89.7,10.0,18.0,55.6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,Match Report
17,2023-01-15,Sun,Matchweek 20,Away,L 0–1,Crystal Palace,Chelsea,Y,CB,37.0,17.0,21.0,81.0,494.0,210.0,1.0,1.0,100.0,12.0,12.0,100.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Match Report
19,2023-02-18,Sat,Matchweek 24,Away,D 1–1,Crystal Palace,Brentford,Y,CB,90.0,36.0,42.0,85.7,852.0,313.0,5.0,5.0,100.0,25.0,27.0,92.6,6.0,10.0,60.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Match Report
20,2023-02-25,Sat,Matchweek 25,Home,D 0–0,Crystal Palace,Liverpool,Y,CB,90.0,35.0,49.0,71.4,867.0,466.0,6.0,10.0,60.0,23.0,27.0,85.2,6.0,12.0,50.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,Match Report
21,2023-03-04,Sat,Matchweek 26,Away,L 0–1,Crystal Palace,Aston Villa,Y,CB,90.0,57.0,74.0,77.0,1327.0,407.0,11.0,13.0,84.6,30.0,32.0,93.8,15.0,25.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Match Report
22,2023-03-11,Sat,Matchweek 27,Home,L 0–1,Crystal Palace,Manchester City,Y,CB,90.0,34.0,43.0,79.1,722.0,337.0,9.0,10.0,90.0,20.0,22.0,90.9,5.0,11.0,45.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Match Report
23,2023-03-15,Wed,Matchweek 8,Away,L 0–1,Crystal Palace,Brighton,Y,CB,90.0,67.0,81.0,82.7,1442.0,430.0,24.0,26.0,92.3,27.0,28.0,96.4,16.0,27.0,59.3,0.0,0.5,0.3,1.0,2.0,1.0,0.0,4.0,Match Report
25,2023-04-01,Sat,Matchweek 29,Home,W 2–1,Crystal Palace,Leicester City,Y,CB,90.0,57.0,77.0,74.0,1427.0,396.0,9.0,10.0,90.0,36.0,43.0,83.7,12.0,23.0,52.2,0.0,0.1,0.0,2.0,4.0,1.0,1.0,9.0,Match Report
26,2023-04-09,Sun,Matchweek 30,Away,W 5–1,Crystal Palace,Leeds United,Y,CB,90.0,42.0,56.0,75.0,936.0,422.0,10.0,11.0,90.9,23.0,27.0,85.2,9.0,17.0,52.9,0.0,0.1,0.0,1.0,9.0,0.0,0.0,5.0,Match Report
27,2023-04-15,Sat,Matchweek 31,Away,W 2–0,Crystal Palace,Southampton,Y,CB,90.0,35.0,47.0,74.5,758.0,316.0,7.0,8.0,87.5,20.0,23.0,87.0,8.0,16.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
28,2023-04-22,Sat,Matchweek 32,Home,D 0–0,Crystal Palace,Everton,Y,CB,90.0,32.0,46.0,69.6,959.0,401.0,4.0,6.0,66.7,17.0,20.0,85.0,11.0,18.0,61.1,0.0,0.1,0.0,2.0,7.0,0.0,0.0,1.0,Match Report
29,2023-04-25,Tue,Matchweek 33,Away,L 0–2,Crystal Palace,Wolves,Y,CB,45.0,24.0,29.0,82.8,457.0,121.0,7.0,7.0,100.0,15.0,17.0,88.2,2.0,5.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,Match Report
