,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2022-08-06,Sat,Matchweek 1,Away,L 0–2,Aston Villa,Bournemouth,Y*,"DM,RM",90,4,3,0,0,0,0,1,0,0,0,0,0,0,0,Match Report
1,2022-08-13,Sat,Matchweek 2,Home,W 2–1,Aston Villa,Everton,Y*,RM,90,6,3,2,1,0,0,0,1,1,0,0,0,0,0,Match Report
2,2022-08-20,Sat,Matchweek 3,Away,L 1–3,Aston Villa,Crystal Palace,Y*,RM,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
3,2022-08-28,Sun,Matchweek 4,Home,L 0–1,Aston Villa,West Ham,Y*,LM,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
4,2022-08-31,Wed,Matchweek 5,Away,L 1–2,Aston Villa,Arsenal,Y*,LM,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
5,2022-09-03,Sat,Matchweek 6,Home,D 1–1,Aston Villa,Manchester City,Y*,LM,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
6,2022-09-16,Fri,Matchweek 8,Home,W 1–0,Aston Villa,Southampton,Y*,LM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
7,2022-10-02,Sun,Matchweek 9,Away,D 0–0,Aston Villa,Leeds United,Y*,LM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
8,2022-10-10,Mon,Matchweek 10,Away,D 1–1,Aston Villa,Nott'ham Forest,Y*,RM,76,3,2,0,0,1,0,0,1,1,0,0,0,0,0,Match Report
9,2022-10-16,Sun,Matchweek 11,Home,L 0–2,Aston Villa,Chelsea,Y*,LM,72,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
10,2022-10-20,Thu,Matchweek 12,Away,L 0–3,Aston Villa,Fulham,Y*,"LM,DM",90,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
11,2022-10-23,Sun,Matchweek 13,Home,W 4–0,Aston Villa,Brentford,N,DM,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
12,2022-10-29,Sat,Matchweek 14,Away,L 0–4,Aston Villa,Newcastle Utd,N,DM,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
13,2022-11-06,Sun,Matchweek 15,Home,W 3–1,Aston Villa,Manchester Utd,N,"LW,FW",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
14,2022-11-13,Sun,Matchweek 16,Away,W 2–1,Aston Villa,Brighton,Y*,"RM,LM",90,2,0,1,0,0,1,0,1,0,0,0,0,1,0,Match Report
15,2022-12-26,Mon,Matchweek 17,Home,L 1–3,Aston Villa,Liverpool,Y*,RM,90,6,6,0,0,0,0,0,1,1,0,0,0,0,0,Match Report
16,2023-01-01,Sun,Matchweek 18,Away,W 2–0,Aston Villa,Tottenham,Y*,"RM,LW",77,4,4,0,0,0,0,0,1,1,0,0,0,0,0,Match Report
18,2023-02-04,Sat,Matchweek 22,Home,L 2–4,Aston Villa,Leicester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
19,2023-02-12,Sun,Matchweek 23,Away,L 1–3,Aston Villa,Manchester City,N,"RM,LM",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
20,2023-02-18,Sat,Matchweek 24,Home,L 2–4,Aston Villa,Arsenal,Y*,RM,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Match Report
21,2023-02-25,Sat,Matchweek 25,Away,W 2–0,Aston Villa,Everton,Y*,RM,90,3,2,0,0,0,1,0,2,1,0,0,0,1,0,Match Report
22,2023-03-04,Sat,Matchweek 26,Home,W 1–0,Aston Villa,Crystal Palace,Y*,RW,90,3,2,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
23,2023-03-12,Sun,Matchweek 27,Away,D 1–1,Aston Villa,West Ham,Y*,"DM,AM,CM",90,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
24,2023-03-18,Sat,Matchweek 28,Home,W 3–0,Aston Villa,Bournemouth,Y*,DM,89,6,4,1,0,0,1,0,0,0,0,0,0,0,0,Match Report
25,2023-04-01,Sat,Matchweek 29,Away,W 2–0,Aston Villa,Chelsea,Y*,"CM,RM",90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
26,2023-04-04,Tue,Matchweek 7,Away,W 2–1,Aston Villa,Leicester City,Y*,CM,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
27,2023-04-08,Sat,Matchweek 30,Home,W 2–0,Aston Villa,Nott'ham Forest,Y*,CM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
