,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2017-08-11,Fri,Matchweek 1,Home,W 4–3,Arsenal,Leicester City,N,RW,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
1,2017-08-19,Sat,Matchweek 2,Away,L 0–1,Arsenal,Stoke City,N,RW,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2,2017-08-27,Sun,Matchweek 3,Away,L 0–4,Arsenal,Liverpool,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
3,2017-09-09,Sat,Matchweek 4,Home,W 3–0,Arsenal,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2017-09-17,Sun,Matchweek 5,Away,D 0–0,Arsenal,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2017-09-25,Mon,Matchweek 6,Home,W 2–0,Arsenal,West Brom,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2017-10-01,Sun,Matchweek 7,Home,W 2–0,Arsenal,Brighton,N,AM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
7,2017-10-14,Sat,Matchweek 8,Away,L 1–2,Arsenal,Watford,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2017-10-22,Sun,Matchweek 9,Away,W 5–2,Arsenal,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
9,2017-10-28,Sat,Matchweek 10,Home,W 2–1,Arsenal,Swansea City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
10,2017-11-05,Sun,Matchweek 11,Away,L 1–3,Arsenal,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
12,2017-12-22,Fri,Matchweek 19,Home,D 3–3,Arsenal,Liverpool,N,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
13,2017-12-28,Thu,Matchweek 20,Away,W 3–2,Arsenal,Crystal Palace,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
14,2017-12-31,Sun,Matchweek 21,Away,D 1–1,Arsenal,West Brom,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
15,2018-01-03,Wed,Matchweek 22,Home,D 2–2,Arsenal,Chelsea,N,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
16,2018-01-14,Sun,Matchweek 23,Away,L 1–2,Arsenal,Bournemouth,N,RW,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
17,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
18,2018-01-20,Sat,Matchweek 24,Home,D 1–1,Everton,West Brom,Y,RW,90,3,1,0,0,0,2,0,1,1,0,0,0,0,0,Match Report
19,2018-01-31,Wed,Matchweek 25,Home,W 2–1,Everton,Leicester City,Y,RW,90,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
20,2018-02-03,Sat,Matchweek 26,Away,L 1–5,Everton,Arsenal,Y,RW,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
21,2018-02-10,Sat,Matchweek 27,Home,W 3–1,Everton,Crystal Palace,Y,RW,90,3,1,0,1,0,1,0,0,0,0,0,0,0,0,Match Report
22,2018-02-24,Sat,Matchweek 28,Away,L 0–1,Everton,Watford,Y,RW,90,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
23,2018-03-03,Sat,Matchweek 29,Away,L 1–2,Everton,Burnley,Y,"RW,RM",90,4,3,0,1,0,0,0,1,1,0,0,0,0,0,Match Report
24,2018-03-10,Sat,Matchweek 30,Home,W 2–0,Everton,Brighton,Y,RW,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
25,2018-03-17,Sat,Matchweek 31,Away,W 2–1,Everton,Stoke City,Y,RW,90,7,4,0,1,0,2,0,1,1,0,0,0,0,0,Match Report
26,2018-03-31,Sat,Matchweek 32,Home,L 1–3,Everton,Manchester City,Y,RW,90,2,1,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
27,2018-04-07,Sat,Matchweek 33,Home,D 0–0,Everton,Liverpool,Y,RW,90,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
28,2018-04-14,Sat,Matchweek 34,Away,D 1–1,Everton,Swansea City,Y,"RW,FW",90,2,1,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
29,2018-04-23,Mon,Matchweek 35,Home,W 1–0,Everton,Newcastle Utd,Y,"LW,RW",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
30,2018-04-28,Sat,Matchweek 36,Away,W 2–0,Everton,Huddersfield,Y,"LW,FW",90,4,2,0,1,0,1,0,2,1,0,1,0,0,0,Match Report
32,2018-05-13,Sun,Matchweek 38,Away,L 1–3,Everton,West Ham,N,"FW,LW",30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
