,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2017-08-12,Sat,Matchweek 1,Home,L 0–2,Brighton,Manchester City,Y*,RB,90,21,35,60.0,345,180,13,16,81.3,6,9,66.7,2,7,28.6,0,0.0,0.0,0,0,0,0,0,Match Report
1,2017-08-19,Sat,Matchweek 2,Away,L 0–2,Brighton,Leicester City,Y*,RB,90,72,81,88.9,1387,486,27,27,100.0,36,42,85.7,9,12,75.0,0,0.0,0.0,0,6,1,1,9,Match Report
2,2017-08-26,Sat,Matchweek 3,Away,D 0–0,Brighton,Watford,Y*,RB,45,18,24,75.0,328,61,8,10,80.0,8,9,88.9,2,3,66.7,0,0.0,0.0,0,1,0,0,2,Match Report
3,2017-09-09,Sat,Matchweek 4,Home,W 3–1,Brighton,West Brom,Y*,RB,61,41,53,77.4,733,315,20,23,87.0,17,22,77.3,4,8,50.0,0,0.0,0.0,0,5,0,0,4,Match Report
5,2017-09-24,Sun,Matchweek 6,Home,W 1–0,Brighton,Newcastle Utd,Y*,RB,90,57,71,80.3,1052,397,29,30,96.7,20,25,80.0,7,14,50.0,0,0.1,0.1,2,6,1,0,7,Match Report
6,2017-10-01,Sun,Matchweek 7,Away,L 0–2,Brighton,Arsenal,Y*,RB,90,28,37,75.7,450,128,16,16,100.0,11,17,64.7,1,3,33.3,0,0.0,0.0,0,0,0,0,3,Match Report
7,2017-10-15,Sun,Matchweek 8,Home,D 1–1,Brighton,Everton,Y*,RB,90,35,48,72.9,647,241,16,20,80.0,11,13,84.6,7,13,53.8,0,0.1,0.3,1,3,0,0,3,Match Report
8,2017-10-20,Fri,Matchweek 9,Away,W 3–0,Brighton,West Ham,Y*,RB,90,38,48,79.2,704,342,18,19,94.7,15,19,78.9,5,10,50.0,0,0.0,0.0,0,0,1,1,1,Match Report
9,2017-10-29,Sun,Matchweek 10,Home,D 1–1,Brighton,Southampton,Y*,RB,90,48,64,75.0,921,322,15,18,83.3,28,33,84.8,5,10,50.0,0,0.0,0.0,0,5,0,0,6,Match Report
10,2017-11-04,Sat,Matchweek 11,Away,W 1–0,Brighton,Swansea City,Y*,RB,90,36,48,75.0,572,203,23,25,92.0,9,12,75.0,3,10,30.0,0,0.0,0.0,0,0,0,0,1,Match Report
11,2017-11-20,Mon,Matchweek 12,Home,D 2–2,Brighton,Stoke City,Y*,RB,90,40,47,85.1,800,162,14,15,93.3,19,21,90.5,7,9,77.8,0,0.0,0.0,0,1,0,0,2,Match Report
12,2017-11-25,Sat,Matchweek 13,Away,L 0–1,Brighton,Manchester Utd,Y*,RB,90,31,39,79.5,565,265,17,18,94.4,7,12,58.3,7,9,77.8,0,0.1,0.0,1,4,1,0,5,Match Report
13,2017-11-28,Tue,Matchweek 14,Home,D 0–0,Brighton,Crystal Palace,Y*,RB,90,50,65,76.9,914,407,22,26,84.6,21,23,91.3,7,13,53.8,0,0.0,0.0,0,4,0,0,3,Match Report
14,2017-12-02,Sat,Matchweek 15,Home,L 1–5,Brighton,Liverpool,Y*,RB,76,40,45,88.9,784,273,12,13,92.3,23,25,92.0,5,7,71.4,0,0.0,0.0,0,3,0,0,3,Match Report
15,2017-12-09,Sat,Matchweek 16,Away,L 0–2,Brighton,Huddersfield,Y*,RB,90,40,58,69.0,658,303,20,22,90.9,18,19,94.7,2,12,16.7,0,0.0,0.0,0,2,0,0,2,Match Report
