,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2017-08-12,Sat,Matchweek 1,Away,D 3–3,Liverpool,Watford,Y,"RM,LM",90,0,1,0,0,0,0,0,0,52,3,1,1,0.0,0.0,0.2,6,1,33,41,80.5,4,26,3,1,0,5,0,0,1,0,1,0,0,0,0,0,577,116,15,78.9,14,16,87.5,3,4,75.0,0.0,1,0,1,0
2,2017-08-27,Sun,Matchweek 3,Home,W 4–0,Liverpool,Arsenal,Y,RM,83,0,0,0,0,2,0,0,0,64,2,2,1,0.1,0.1,0.6,6,3,45,52,86.5,7,37,3,3,3,6,0,0,0,0,3,0,0,0,0,0,765,220,21,100.0,19,22,86.4,4,6,66.7,0.4,2,5,0,0
3,2017-09-09,Sat,Matchweek 4,Away,L 0–5,Liverpool,Manchester City,Y,"CB,LM,CM",90,0,0,0,0,2,1,1,0,56,1,3,0,0.2,0.2,0.0,1,0,35,44,79.5,2,34,2,1,1,1,0,0,0,0,0,0,0,0,0,0,640,109,10,83.3,24,28,85.7,0,2,0.0,0.0,0,0,0,0
4,2017-09-16,Sat,Matchweek 5,Home,D 1–1,Liverpool,Burnley,Y,CM,90,0,1,0,0,4,1,1,0,92,1,1,2,0.1,0.1,0.1,5,1,68,79,86.1,8,44,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1235,451,22,91.7,40,43,93.0,4,9,44.4,0.0,2,4,0,0
5,2017-09-23,Sat,Matchweek 6,Away,W 3–2,Liverpool,Leicester City,Y,RM,73,0,0,0,0,2,0,0,0,59,0,0,2,0.1,0.1,0.1,5,0,37,46,80.4,8,26,3,2,1,3,0,1,0,0,0,0,0,0,0,0,576,164,20,87.0,9,12,75.0,4,5,80.0,0.1,2,5,2,0
7,2017-10-14,Sat,Matchweek 8,Home,D 0–0,Liverpool,Manchester Utd,Y,LM,90,0,0,0,0,1,0,0,0,66,4,1,1,0.5,0.5,0.0,2,0,53,58,91.4,1,41,6,1,1,2,0,0,0,0,0,0,0,0,0,0,851,207,27,96.4,20,22,90.9,6,8,75.0,0.0,0,6,0,0
8,2017-10-22,Sun,Matchweek 9,Away,L 1–4,Liverpool,Tottenham,Y,"RB,LM",82,0,0,0,0,2,0,1,0,93,3,0,0,0.1,0.1,0.0,0,0,72,83,86.7,5,49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1384,250,28,87.5,31,34,91.2,11,14,78.6,0.0,0,1,0,0
9,2017-10-28,Sat,Matchweek 10,Home,W 3–0,Liverpool,Huddersfield,N,"LM,FW",17,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,1,1,15,18,83.3,2,14,2,0,0,1,0,0,0,0,1,0,0,0,0,0,252,76,6,100.0,8,9,88.9,1,2,50.0,0.0,0,4,1,0
10,2017-11-04,Sat,Matchweek 11,Away,W 4–1,Liverpool,West Ham,Y,DM,90,0,0,0,0,0,0,0,0,72,0,1,2,0.0,0.0,0.2,3,0,51,64,79.7,6,38,4,3,2,3,0,0,0,0,0,0,0,0,0,0,998,223,17,89.5,27,32,84.4,6,10,60.0,0.1,2,3,0,0
11,2017-11-18,Sat,Matchweek 12,Home,W 3–0,Liverpool,Southampton,N,LM,22,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,15,21,71.4,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,244,32,10,83.3,3,7,42.9,2,2,100.0,0.0,0,3,0,0
