,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2017-08-13,Sun,Matchweek 1,Away,L 0–4,West Ham,Manchester Utd,Y,"RW,RM",90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,25,30,83.3,2,16,0,0,0,Match Report
1,2017-08-19,Sat,Matchweek 2,Away,L 2–3,West Ham,Southampton,Y,AM,67,0,0,0,0,1,0,0,0,27,2,1,1,0.1,0.1,0.0,2,0,13,20,65.0,1,10,1,0,0,Match Report
2,2017-08-26,Sat,Matchweek 3,Away,L 0–3,West Ham,Newcastle Utd,Y,"AM,LW",69,0,0,0,0,1,0,0,0,24,4,0,0,0.0,0.0,0.0,0,0,11,17,64.7,1,9,1,0,0,Match Report
3,2017-09-11,Mon,Matchweek 4,Home,W 2–0,West Ham,Huddersfield,N,LW,27,1,1,0,0,1,1,0,0,15,2,1,0,0.8,0.8,0.1,1,1,6,10,60.0,1,7,0,1,1,Match Report
4,2017-09-16,Sat,Matchweek 5,Away,D 0–0,West Ham,West Brom,N,RW,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,4,0,1,1,Match Report
5,2017-09-23,Sat,Matchweek 6,Home,L 2–3,West Ham,Tottenham,N,"RM,LW",25,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,4,1,0,0,Match Report
6,2017-09-30,Sat,Matchweek 7,Home,W 1–0,West Ham,Swansea City,Y,LM,77,0,0,0,0,1,1,0,0,41,1,1,0,0.0,0.0,0.0,0,0,26,34,76.5,2,30,4,3,2,Match Report
7,2017-10-14,Sat,Matchweek 8,Away,D 1–1,West Ham,Burnley,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2017-10-20,Fri,Matchweek 9,Home,L 0–3,West Ham,Brighton,N,"AM,LW",45,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.1,3,0,13,15,86.7,2,7,2,0,0,Match Report
9,2017-10-28,Sat,Matchweek 10,Away,D 2–2,West Ham,Crystal Palace,Y,"RW,FW",90,1,0,0,0,1,1,0,0,26,0,0,0,0.1,0.1,0.0,2,2,17,22,77.3,2,19,1,1,1,Match Report
10,2017-11-04,Sat,Matchweek 11,Home,L 1–4,West Ham,Liverpool,Y,"AM,RM",90,0,1,0,0,1,0,0,0,37,2,0,2,0.4,0.4,0.2,1,1,24,28,85.7,1,27,0,1,1,Match Report
12,2017-11-24,Fri,Matchweek 13,Home,D 1–1,West Ham,Leicester City,N,RW,22,0,0,0,0,2,0,1,0,16,1,0,0,0.2,0.2,0.0,1,0,8,9,88.9,0,13,1,1,1,Match Report
13,2017-11-29,Wed,Matchweek 14,Away,L 0–4,West Ham,Everton,Y,"AM,FW",90,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,0,0,18,26,69.2,1,13,2,1,1,Match Report
14,2017-12-03,Sun,Matchweek 15,Away,L 1–2,West Ham,Manchester City,N,RM,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
15,2017-12-09,Sat,Matchweek 16,Home,W 1–0,West Ham,Chelsea,N,AM,12,0,0,0,0,0,0,0,0,6,1,1,0,0.0,0.0,0.0,0,0,2,5,40.0,0,5,0,1,1,Match Report
16,2017-12-13,Wed,Matchweek 17,Home,D 0–0,West Ham,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
17,2017-12-16,Sat,Matchweek 18,Away,W 3–0,West Ham,Stoke City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
18,2017-12-23,Sat,Matchweek 19,Home,L 2–3,West Ham,Newcastle Utd,Y,AM,78,1,0,0,1,1,1,0,0,41,4,0,0,1.2,0.4,0.0,0,0,22,32,68.8,4,21,3,3,2,Match Report
19,2017-12-26,Tue,Matchweek 20,Away,D 3–3,West Ham,Bournemouth,Y,AM,60,0,0,0,0,1,0,0,0,23,1,0,0,0.1,0.1,0.0,0,0,9,16,56.3,1,11,1,0,0,Match Report
20,2018-01-02,Tue,Matchweek 22,Home,W 2–1,West Ham,West Brom,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
21,2018-01-04,Thu,Matchweek 21,Away,D 1–1,West Ham,Tottenham,N,FW,26,0,0,0,0,1,0,0,0,17,0,0,1,0.4,0.4,0.0,1,0,12,15,80.0,0,8,1,1,1,Match Report
22,2018-01-13,Sat,Matchweek 23,Away,W 4–1,West Ham,Huddersfield,N,FW,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Match Report
23,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
24,2018-02-10,Sat,Matchweek 27,Home,W 1–0,Swansea City,Burnley,N,LB,32,0,0,0,0,0,0,1,0,22,1,0,0,0.0,0.0,0.1,1,0,10,12,83.3,1,13,1,2,0,Match Report
25,2018-02-24,Sat,Matchweek 28,Away,L 1–4,Swansea City,Brighton,N,"LW,FW,RM",55,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.0,0,0,20,23,87.0,3,12,0,0,0,Match Report
26,2018-03-03,Sat,Matchweek 29,Home,W 4–1,Swansea City,West Ham,Y,RM,77,0,1,0,0,2,2,0,0,52,2,1,0,0.2,0.2,0.1,6,3,28,41,68.3,0,37,2,2,1,Match Report
27,2018-03-10,Sat,Matchweek 30,Away,D 0–0,Swansea City,Huddersfield,Y,RM,72,0,0,0,0,0,0,1,0,28,2,0,2,0.0,0.0,0.0,0,0,15,19,78.9,0,13,0,2,2,Match Report
28,2018-03-31,Sat,Matchweek 32,Away,L 0–2,Swansea City,Manchester Utd,Y,"FW,RM",90,0,0,0,0,0,0,0,0,42,3,1,1,0.0,0.0,0.0,0,0,30,35,85.7,2,29,1,1,1,Match Report
29,2018-04-07,Sat,Matchweek 33,Away,D 1–1,Swansea City,West Brom,Y,RM,84,0,0,0,0,2,0,0,0,34,1,1,1,0.3,0.3,0.0,0,0,22,26,84.6,2,26,3,0,0,Match Report
30,2018-04-14,Sat,Matchweek 34,Home,D 1–1,Swansea City,Everton,Y,FW,90,0,0,0,0,2,2,0,0,38,2,0,2,0.1,0.1,0.1,3,0,22,29,75.9,3,23,4,0,0,Match Report
31,2018-04-22,Sun,Matchweek 35,Away,L 0–5,Swansea City,Manchester City,Y,RM,90,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,0,0,16,19,84.2,1,13,0,1,1,Match Report
32,2018-04-28,Sat,Matchweek 36,Home,L 0–1,Swansea City,Chelsea,Y*,"AM,LW",90,0,0,0,0,3,0,1,0,37,1,1,0,0.2,0.2,0.0,0,0,27,30,90.0,2,25,2,0,0,Match Report
33,2018-05-05,Sat,Matchweek 37,Away,L 0–1,Swansea City,Bournemouth,Y,"FW,AM,RW",90,0,0,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.6,3,0,22,28,78.6,1,22,1,0,0,Match Report
34,2018-05-08,Tue,Matchweek 31,Home,L 0–1,Swansea City,Southampton,Y,"AM,RW",90,0,0,0,0,0,0,0,0,32,1,0,2,0.0,0.0,0.0,2,0,17,27,63.0,1,18,0,2,2,Match Report
35,2018-05-13,Sun,Matchweek 38,Home,L 1–2,Swansea City,Stoke City,Y,"FW,RM,LM",90,0,1,0,0,4,3,0,0,41,1,1,2,1.0,1.0,0.4,5,1,18,25,72.0,8,28,2,5,2,Match Report
