,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2017-08-13,Sun,Matchweek 1,Home,W 4–0,Manchester Utd,West Ham,N,LW,11,1,1,0,0,1,1,0,0,10,0,0,0,0.5,0.5,0.0,1,1,6,7,85.7,0,8,5,1,1,1,0,0,0,0,1,0,0,0,0,0,60,15,5,100.0,1,1,100.0,0,1,0.0,0.0,1,1,0,0
1,2017-08-26,Sat,Matchweek 3,Home,W 2–0,Manchester Utd,Leicester City,Y,LW,75,0,0,0,0,3,1,0,0,60,0,0,0,0.1,0.1,0.4,5,0,40,52,76.9,5,53,10,2,2,5,0,0,0,0,0,0,0,0,0,0,510,114,27,90.0,10,10,100.0,0,2,0.0,0.3,4,2,1,0
2,2017-09-09,Sat,Matchweek 4,Away,D 2–2,Manchester Utd,Stoke City,N,LW,19,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.4,3,0,10,11,90.9,0,10,1,1,1,3,0,0,0,0,0,0,0,0,0,0,170,49,5,100.0,2,2,100.0,2,2,100.0,0.1,2,3,1,1
4,2017-10-14,Sat,Matchweek 8,Away,D 0–0,Manchester Utd,Liverpool,Y,LW,64,0,0,0,0,1,0,0,0,27,0,0,1,0.0,0.0,0.1,1,0,13,20,65.0,0,16,2,3,2,1,0,0,0,0,0,0,0,0,0,0,169,15,7,77.8,3,5,60.0,1,2,50.0,0.0,1,0,0,0
5,2017-10-21,Sat,Matchweek 9,Away,L 1–2,Manchester Utd,Huddersfield,Y,LW,45,0,0,0,0,0,0,1,0,38,1,0,0,0.0,0.0,0.0,1,0,21,26,80.8,3,27,1,8,3,1,0,0,0,0,0,0,0,0,0,0,242,79,12,85.7,5,6,83.3,1,1,100.0,0.1,0,2,0,0
6,2017-11-18,Sat,Matchweek 12,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,LW,76,1,0,0,0,3,1,0,0,53,3,0,0,0.4,0.4,0.0,1,0,29,41,70.7,1,35,7,5,1,1,0,0,0,0,0,0,0,0,0,0,296,51,21,91.3,5,9,55.6,0,2,0.0,0.1,1,2,0,0
7,2017-11-25,Sat,Matchweek 13,Home,W 1–0,Manchester Utd,Brighton,Y,LW,70,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.1,2,0,25,31,80.6,0,28,3,1,0,2,0,0,0,0,0,0,0,0,0,0,279,43,16,80.0,6,7,85.7,0,1,0.0,0.1,2,1,0,0
8,2017-11-28,Tue,Matchweek 14,Away,W 4–2,Manchester Utd,Watford,Y,AM,64,1,0,0,0,2,1,0,0,25,0,0,0,0.1,0.1,0.0,2,0,11,13,84.6,1,23,4,4,2,0,0,1,1,0,0,0,0,0,0,0,172,20,5,83.3,4,5,80.0,1,1,100.0,0.1,0,0,1,0
9,2017-12-02,Sat,Matchweek 15,Away,W 3–1,Manchester Utd,Arsenal,Y,FW,66,0,1,0,0,1,0,0,0,29,0,1,0,0.2,0.2,0.7,3,1,19,21,90.5,4,22,2,5,2,3,0,0,0,0,1,0,0,0,0,0,253,108,8,100.0,6,8,75.0,1,1,100.0,0.4,2,3,2,0
10,2017-12-13,Wed,Matchweek 17,Home,W 1–0,Manchester Utd,Bournemouth,Y,LW,65,0,0,0,0,1,0,0,0,44,0,0,0,0.6,0.6,0.1,4,1,31,38,81.6,4,33,9,2,2,4,0,0,0,0,1,0,0,0,0,0,435,118,14,93.3,11,14,78.6,1,2,50.0,0.1,1,2,2,0
11,2017-12-23,Sat,Matchweek 19,Away,D 2–2,Manchester Utd,Leicester City,Y,LW,70,0,0,0,0,4,0,0,0,60,2,0,0,0.6,0.6,0.1,7,2,39,49,79.6,4,43,7,2,1,4,0,0,1,0,1,0,0,0,1,0,421,122,29,93.5,7,8,87.5,0,3,0.0,0.3,2,0,2,0
12,2017-12-30,Sat,Matchweek 21,Home,D 0–0,Manchester Utd,Southampton,N,LW,26,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,3,0,8,15,53.3,2,16,3,3,1,1,0,1,1,0,0,0,0,0,0,0,76,30,2,100.0,3,4,75.0,0,3,0.0,0.2,1,0,2,0
13,2018-01-15,Mon,Matchweek 23,Home,W 3–0,Manchester Utd,Stoke City,Y,LW,79,1,1,0,0,6,2,0,0,63,2,1,0,0.6,0.6,0.1,4,2,39,49,79.6,3,36,3,2,0,3,0,0,0,0,2,0,0,0,0,0,437,132,21,95.5,12,14,85.7,0,1,0.0,0.3,1,1,2,0
14,2018-01-20,Sat,Matchweek 24,Away,W 1–0,Manchester Utd,Burnley,Y,LW,89,1,0,0,0,4,2,0,0,55,0,0,0,0.3,0.3,0.2,5,0,33,41,80.5,3,47,14,3,2,4,0,1,0,0,0,0,0,0,0,0,423,107,25,86.2,8,10,80.0,0,1,0.0,0.1,3,3,2,0
15,2018-01-31,Wed,Matchweek 25,Away,L 0–2,Manchester Utd,Tottenham,Y,"LW,RW",90,0,0,0,0,2,1,0,0,46,1,0,0,0.1,0.1,0.0,1,0,29,38,76.3,1,27,3,4,2,0,0,1,0,0,0,0,0,0,0,0,333,72,19,82.6,3,4,75.0,2,3,66.7,0.0,0,0,1,0
16,2018-02-03,Sat,Matchweek 26,Home,W 2–0,Manchester Utd,Huddersfield,N,FW,14,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,122,22,5,100.0,2,2,100.0,1,1,100.0,0.2,0,0,0,0
17,2018-02-11,Sun,Matchweek 27,Away,L 0–1,Manchester Utd,Newcastle Utd,Y,"RW,LW",90,0,0,0,0,4,1,0,0,58,2,0,0,0.8,0.8,0.1,3,0,42,51,82.4,9,44,4,1,1,2,0,0,0,0,0,0,0,0,0,0,573,139,23,88.5,10,12,83.3,3,4,75.0,0.1,1,1,3,0
20,2018-04-15,Sun,Matchweek 34,Home,L 0–1,Manchester Utd,West Brom,N,"WB,LW",33,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0.0,2,0,19,30,63.3,1,25,1,1,1,2,0,0,0,0,0,0,0,0,0,0,311,122,10,76.9,6,7,85.7,2,5,40.0,0.0,0,3,0,0
21,2018-04-18,Wed,Matchweek 35,Away,W 2–0,Manchester Utd,Bournemouth,Y,LW,90,0,0,0,0,2,0,0,0,46,0,0,1,0.1,0.1,0.1,5,1,26,36,72.2,2,35,9,6,4,4,0,1,0,0,1,0,0,0,0,0,393,84,14,70.0,12,14,85.7,0,1,0.0,0.1,2,3,1,0
22,2018-04-29,Sun,Matchweek 36,Home,W 2–1,Manchester Utd,Arsenal,N,LW,27,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.3,2,0,13,19,68.4,2,20,5,4,2,2,0,0,0,0,0,0,0,0,0,0,204,53,7,100.0,6,8,75.0,0,1,0.0,0.3,1,0,2,1
23,2018-05-04,Fri,Matchweek 37,Away,L 0–1,Manchester Utd,Brighton,Y,LW,90,0,0,0,0,3,0,0,0,67,0,0,0,0.1,0.1,0.2,5,0,48,57,84.2,0,45,2,7,4,3,1,1,0,0,0,0,0,0,0,0,530,152,31,91.2,8,10,80.0,2,4,50.0,0.2,2,1,0,0
