,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2017-08-20,Sun,Matchweek 2,Away,W 2–1,Chelsea,Tottenham,Y,WB,90,16,22,72.7,269,62,8,8,100.0,4,7,57.1,2,4,50.0,0,0.1,0.0,1,0,1,0,4,Match Report
1,2017-08-27,Sun,Matchweek 3,Home,W 2–0,Chelsea,Everton,Y,WB,88,17,25,68.0,214,41,10,11,90.9,5,11,45.5,0,1,0.0,0,0.0,0.0,1,0,0,0,3,Match Report
2,2017-09-09,Sat,Matchweek 4,Away,W 2–1,Chelsea,Leicester City,Y,WB,73,22,27,81.5,461,112,9,12,75.0,7,7,100.0,6,6,100.0,0,0.0,0.0,0,1,1,0,4,Match Report
3,2017-09-17,Sun,Matchweek 5,Home,D 0–0,Chelsea,Arsenal,Y,WB,90,29,44,65.9,561,110,8,13,61.5,18,21,85.7,2,6,33.3,0,0.1,0.1,1,1,1,1,2,Match Report
4,2017-09-23,Sat,Matchweek 6,Away,W 4–0,Chelsea,Stoke City,Y,WB,90,27,38,71.1,525,134,12,15,80.0,10,14,71.4,4,7,57.1,0,0.1,0.0,1,2,1,0,1,Match Report
5,2017-09-30,Sat,Matchweek 7,Home,L 0–1,Chelsea,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2017-11-25,Sat,Matchweek 13,Away,D 1–1,Chelsea,Liverpool,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
9,2017-11-29,Wed,Matchweek 14,Home,W 1–0,Chelsea,Swansea City,N,WB,16,12,20,60.0,202,133,6,7,85.7,4,10,40.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1,Match Report
10,2017-12-02,Sat,Matchweek 15,Home,W 3–1,Chelsea,Newcastle Utd,Y,WB,90,56,70,80.0,871,202,32,37,86.5,20,26,76.9,3,4,75.0,1,0.6,0.5,1,1,0,0,1,Match Report
11,2017-12-09,Sat,Matchweek 16,Away,L 0–1,Chelsea,West Ham,N,WB,36,17,27,63.0,304,83,6,10,60.0,9,12,75.0,1,3,33.3,0,0.0,0.0,0,3,0,0,3,Match Report
