,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2017-08-12,Sat,Matchweek 1,Away,W 3–0,Huddersfield,Crystal Palace,Y,DM,90,0,0,0,0,1,1,0,0,61,2,1,0,0.0,0.0,0.0,0,0,38,51,74.5,4,17,0,0,0,Match Report
1,2017-08-20,Sun,Matchweek 2,Home,W 1–0,Huddersfield,Newcastle Utd,Y,"DM,CM",90,0,0,0,0,0,0,1,0,71,4,2,1,0.0,0.0,0.0,0,0,49,60,81.7,1,37,2,1,1,Match Report
2,2017-08-26,Sat,Matchweek 3,Home,D 0–0,Huddersfield,Southampton,Y,DM,60,0,0,0,0,0,0,0,0,29,2,2,0,0.0,0.0,0.4,2,0,16,24,66.7,1,16,0,1,0,Match Report
3,2017-09-11,Mon,Matchweek 4,Away,L 0–2,Huddersfield,West Ham,Y,DM,82,0,0,0,0,1,1,1,0,54,1,0,3,0.0,0.0,0.0,1,0,35,46,76.1,3,34,2,0,0,Match Report
4,2017-09-16,Sat,Matchweek 5,Home,D 1–1,Huddersfield,Leicester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2017-09-23,Sat,Matchweek 6,Away,D 0–0,Huddersfield,Burnley,N,DM,11,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,6,0,0,0,Match Report
6,2017-09-30,Sat,Matchweek 7,Home,L 0–4,Huddersfield,Tottenham,N,DM,30,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,20,23,87.0,1,17,2,1,1,Match Report
7,2017-10-14,Sat,Matchweek 8,Away,L 0–2,Huddersfield,Swansea City,Y,DM,59,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,21,29,72.4,4,17,2,1,1,Match Report
9,2018-01-30,Tue,Matchweek 25,Home,L 0–3,Huddersfield,Liverpool,Y,CM,90,0,0,0,0,0,0,0,0,43,2,1,2,0.0,0.0,0.0,1,0,26,33,78.8,1,20,1,0,0,Match Report
10,2018-02-03,Sat,Matchweek 26,Away,L 0–2,Huddersfield,Manchester Utd,Y,CM,32,0,0,0,0,0,0,1,0,16,0,2,2,0.0,0.0,0.0,0,0,4,6,66.7,0,7,0,0,0,Match Report
11,2018-02-11,Sun,Matchweek 27,Home,W 4–1,Huddersfield,Bournemouth,N,DM,15,0,0,0,0,1,0,0,0,10,0,1,0,0.0,0.0,0.0,1,0,7,8,87.5,0,3,1,0,0,Match Report
