,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2017-08-11,Fri,Matchweek 1,Away,L 3–4,Leicester City,Arsenal,Y*,CB,90,12,16,75.0,201,68,7,9,77.8,4,6,66.7,1,1,100.0,0,0.0,0.0,0,2,0,0,3,Match Report
1,2017-08-19,Sat,Matchweek 2,Home,W 2–0,Leicester City,Brighton,Y*,CB,90,33,38,86.8,603,172,12,13,92.3,16,18,88.9,3,5,60.0,0,0.0,0.0,1,0,0,0,0,Match Report
2,2017-08-26,Sat,Matchweek 3,Away,L 0–2,Leicester City,Manchester Utd,Y*,CB,90,9,16,56.3,117,91,4,6,66.7,3,6,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Match Report
3,2017-09-09,Sat,Matchweek 4,Home,L 1–2,Leicester City,Chelsea,Y*,CB,90,13,17,76.5,302,128,3,5,60.0,8,10,80.0,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Match Report
4,2017-09-16,Sat,Matchweek 5,Away,D 1–1,Leicester City,Huddersfield,Y*,CB,90,25,27,92.6,437,174,10,10,100.0,13,15,86.7,1,1,100.0,0,0.1,0.1,1,0,0,0,2,Match Report
5,2017-09-23,Sat,Matchweek 6,Home,L 2–3,Leicester City,Liverpool,Y*,CB,90,28,35,80.0,525,145,10,10,100.0,11,16,68.8,6,8,75.0,0,0.0,0.0,0,1,0,0,1,Match Report
6,2017-09-30,Sat,Matchweek 7,Away,D 0–0,Leicester City,Bournemouth,Y*,CB,90,12,17,70.6,190,98,5,6,83.3,5,7,71.4,1,3,33.3,0,0.0,0.0,0,0,0,0,0,Match Report
7,2017-10-16,Mon,Matchweek 8,Home,D 1–1,Leicester City,West Brom,Y*,CB,90,19,25,76.0,332,185,9,12,75.0,8,10,80.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Match Report
8,2017-10-21,Sat,Matchweek 9,Away,W 2–1,Leicester City,Swansea City,Y*,CB,90,19,26,73.1,313,116,7,7,100.0,10,13,76.9,1,3,33.3,0,0.0,0.0,0,1,0,0,1,Match Report
9,2017-10-29,Sun,Matchweek 10,Home,W 2–0,Leicester City,Everton,Y*,CB,90,21,24,87.5,346,111,11,12,91.7,7,8,87.5,2,3,66.7,0,0.1,0.1,1,0,0,0,0,Match Report
10,2017-11-04,Sat,Matchweek 11,Away,D 2–2,Leicester City,Stoke City,Y*,CB,90,36,41,87.8,509,252,24,24,100.0,9,12,75.0,3,5,60.0,0,0.0,0.0,0,3,0,0,4,Match Report
11,2017-11-18,Sat,Matchweek 12,Home,L 0–2,Leicester City,Manchester City,Y*,CB,90,14,15,93.3,221,101,6,6,100.0,6,6,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Match Report
12,2017-11-24,Fri,Matchweek 13,Away,D 1–1,Leicester City,West Ham,Y*,CB,90,25,32,78.1,429,110,11,14,78.6,11,13,84.6,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Match Report
13,2017-11-28,Tue,Matchweek 14,Home,W 2–1,Leicester City,Tottenham,Y*,CB,90,18,18,100.0,366,173,6,6,100.0,7,7,100.0,4,4,100.0,0,0.0,0.0,0,2,0,0,1,Match Report
14,2017-12-02,Sat,Matchweek 15,Home,W 1–0,Leicester City,Burnley,Y*,CB,90,28,33,84.8,580,248,9,12,75.0,14,15,93.3,4,5,80.0,0,0.1,0.0,1,1,2,0,4,Match Report
15,2017-12-09,Sat,Matchweek 16,Away,W 3–2,Leicester City,Newcastle Utd,Y*,CB,90,32,33,97.0,507,186,16,17,94.1,13,13,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
16,2017-12-13,Wed,Matchweek 17,Away,W 4–1,Leicester City,Southampton,Y*,CB,90,18,22,81.8,345,117,7,7,100.0,9,11,81.8,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Match Report
17,2017-12-16,Sat,Matchweek 18,Home,L 0–3,Leicester City,Crystal Palace,Y*,CB,90,37,44,84.1,671,226,14,19,73.7,17,19,89.5,5,5,100.0,0,0.0,0.0,0,1,0,0,2,Match Report
18,2017-12-23,Sat,Matchweek 19,Home,D 2–2,Leicester City,Manchester Utd,Y*,CB,90,39,45,86.7,587,214,18,18,100.0,15,15,100.0,2,7,28.6,0,0.0,0.0,0,0,0,0,0,Match Report
19,2017-12-26,Tue,Matchweek 20,Away,L 1–2,Leicester City,Watford,Y*,CB,90,22,27,81.5,371,114,12,14,85.7,9,11,81.8,1,1,100.0,0,0.0,0.0,0,0,0,0,2,Match Report
20,2017-12-30,Sat,Matchweek 21,Away,L 1–2,Leicester City,Liverpool,Y*,CB,90,17,23,73.9,290,155,6,8,75.0,9,11,81.8,1,2,50.0,0,0.0,0.0,0,0,0,0,1,Match Report
21,2018-01-01,Mon,Matchweek 22,Home,W 3–0,Leicester City,Huddersfield,Y*,CB,27,8,10,80.0,140,45,4,4,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,Match Report
23,2018-02-24,Sat,Matchweek 28,Home,D 1–1,Leicester City,Stoke City,Y*,CB,90,25,29,86.2,450,201,12,13,92.3,8,10,80.0,4,5,80.0,0,0.0,0.0,0,1,0,0,3,Match Report
24,2018-03-03,Sat,Matchweek 29,Home,D 1–1,Leicester City,Bournemouth,Y*,CB,90,15,25,60.0,250,77,4,7,57.1,9,13,69.2,1,4,25.0,0,0.0,0.0,0,0,0,0,0,Match Report
25,2018-03-10,Sat,Matchweek 30,Away,W 4–1,Leicester City,West Brom,Y*,CB,90,23,34,67.6,388,166,15,18,83.3,4,8,50.0,3,6,50.0,0,0.0,0.0,0,5,0,0,4,Match Report
26,2018-03-31,Sat,Matchweek 32,Away,W 2–0,Leicester City,Brighton,Y*,CB,90,31,41,75.6,440,206,21,24,87.5,10,16,62.5,0,1,0.0,0,0.0,0.0,0,3,0,0,0,Match Report
27,2018-04-07,Sat,Matchweek 33,Home,L 1–2,Leicester City,Newcastle Utd,Y*,CB,90,46,53,86.8,1010,337,9,12,75.0,32,34,94.1,5,7,71.4,0,0.0,0.0,0,1,0,0,5,Match Report
