,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
1,2017-08-19,Sat,Matchweek 2,Away,L 0–1,Arsenal,Stoke City,Y,"CM,DM",90.0,74.0,85.0,87.1,1175.0,318.0,44.0,48.0,91.7,23.0,27.0,85.2,7.0,9.0,77.8,0.0,0.0,0.1,0.0,9.0,4.0,1.0,12.0,Match Report
2,2017-08-27,Sun,Matchweek 3,Away,L 0–4,Arsenal,Liverpool,Y,CM,45.0,23.0,25.0,92.0,339.0,115.0,9.0,10.0,90.0,10.0,10.0,100.0,2.0,2.0,100.0,0.0,0.0,0.1,0.0,3.0,1.0,0.0,3.0,Match Report
3,2017-09-09,Sat,Matchweek 4,Home,W 3–0,Arsenal,Bournemouth,Y,CM,66.0,37.0,47.0,78.7,587.0,163.0,19.0,21.0,90.5,14.0,18.0,77.8,3.0,5.0,60.0,1.0,0.1,0.1,2.0,6.0,2.0,0.0,5.0,Match Report
4,2017-09-17,Sun,Matchweek 5,Away,D 0–0,Arsenal,Chelsea,Y,"CM,AM",90.0,42.0,53.0,79.2,659.0,182.0,20.0,25.0,80.0,17.0,20.0,85.0,4.0,5.0,80.0,0.0,0.0,0.1,0.0,3.0,2.0,0.0,3.0,Match Report
5,2017-09-25,Mon,Matchweek 6,Home,W 2–0,Arsenal,West Brom,Y,AM,89.0,47.0,62.0,75.8,618.0,63.0,28.0,35.0,80.0,14.0,20.0,70.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Match Report
6,2017-10-01,Sun,Matchweek 7,Home,W 2–0,Arsenal,Brighton,Y,CM,90.0,65.0,76.0,85.5,796.0,194.0,38.0,39.0,97.4,21.0,25.0,84.0,1.0,3.0,33.3,0.0,0.0,0.2,0.0,1.0,1.0,0.0,2.0,Match Report
8,2017-10-22,Sun,Matchweek 9,Away,W 5–2,Arsenal,Everton,Y,"CM,AM",90.0,45.0,52.0,86.5,767.0,167.0,13.0,14.0,92.9,20.0,22.0,90.9,6.0,9.0,66.7,1.0,0.8,0.3,4.0,4.0,3.0,0.0,10.0,Match Report
9,2017-10-28,Sat,Matchweek 10,Home,W 2–1,Arsenal,Swansea City,Y,CM,90.0,55.0,65.0,84.6,879.0,147.0,30.0,32.0,93.8,20.0,22.0,90.9,4.0,7.0,57.1,0.0,0.4,0.1,2.0,8.0,1.0,0.0,6.0,Match Report
10,2017-11-05,Sun,Matchweek 11,Away,L 1–3,Arsenal,Manchester City,Y,"CM,DM",90.0,38.0,43.0,88.4,593.0,162.0,22.0,24.0,91.7,10.0,10.0,100.0,4.0,5.0,80.0,1.0,0.1,0.0,2.0,3.0,1.0,1.0,3.0,Match Report
11,2017-11-18,Sat,Matchweek 12,Home,W 2–0,Arsenal,Tottenham,Y,"CM,AM",90.0,27.0,38.0,71.1,499.0,205.0,12.0,18.0,66.7,9.0,11.0,81.8,5.0,6.0,83.3,0.0,0.0,0.1,1.0,3.0,2.0,0.0,5.0,Match Report
12,2017-11-26,Sun,Matchweek 13,Away,W 1–0,Arsenal,Burnley,Y,CM,90.0,62.0,70.0,88.6,965.0,258.0,34.0,36.0,94.4,20.0,25.0,80.0,4.0,4.0,100.0,0.0,0.0,0.1,1.0,9.0,1.0,0.0,8.0,Match Report
13,2017-11-29,Wed,Matchweek 14,Home,W 5–0,Arsenal,Huddersfield,Y,CM,72.0,46.0,57.0,80.7,792.0,235.0,20.0,26.0,76.9,23.0,26.0,88.5,3.0,4.0,75.0,2.0,1.2,0.6,3.0,10.0,3.0,0.0,9.0,Match Report
14,2017-12-02,Sat,Matchweek 15,Home,L 1–3,Arsenal,Manchester Utd,Y,"DM,CM",90.0,71.0,82.0,86.6,1038.0,333.0,43.0,45.0,95.6,21.0,27.0,77.8,3.0,3.0,100.0,1.0,0.8,1.0,3.0,8.0,3.0,0.0,8.0,Match Report
15,2017-12-10,Sun,Matchweek 16,Away,D 1–1,Arsenal,Southampton,Y,"CM,DM",90.0,49.0,52.0,94.2,646.0,216.0,31.0,32.0,96.9,16.0,17.0,94.1,1.0,1.0,100.0,0.0,0.0,0.1,0.0,5.0,1.0,0.0,10.0,Match Report
19,2018-01-30,Tue,Matchweek 25,Away,L 1–3,Arsenal,Swansea City,Y,"RM,AM",90.0,60.0,69.0,87.0,880.0,134.0,32.0,34.0,94.1,23.0,24.0,95.8,2.0,4.0,50.0,0.0,0.0,0.1,0.0,4.0,2.0,0.0,7.0,Match Report
20,2018-02-03,Sat,Matchweek 26,Home,W 5–1,Arsenal,Everton,Y,DM,74.0,52.0,57.0,91.2,805.0,152.0,28.0,31.0,90.3,22.0,23.0,95.7,1.0,2.0,50.0,0.0,0.1,0.1,1.0,2.0,0.0,0.0,5.0,Match Report
22,2018-03-01,Thu,Matchweek 28,Home,L 0–3,Arsenal,Manchester City,Y,DM,90.0,42.0,51.0,82.4,781.0,280.0,19.0,22.0,86.4,15.0,18.0,83.3,6.0,8.0,75.0,0.0,0.0,0.2,1.0,5.0,1.0,0.0,5.0,Match Report
24,2018-04-01,Sun,Matchweek 32,Home,W 3–0,Arsenal,Stoke City,Y,DM,90.0,60.0,75.0,80.0,943.0,204.0,28.0,32.0,87.5,25.0,29.0,86.2,4.0,6.0,66.7,0.0,0.1,0.1,2.0,3.0,3.0,1.0,4.0,Match Report
26,2018-04-22,Sun,Matchweek 35,Home,W 4–1,Arsenal,West Ham,Y,"LM,CM",90.0,51.0,61.0,83.6,800.0,283.0,21.0,25.0,84.0,24.0,27.0,88.9,3.0,4.0,75.0,1.0,0.6,0.7,3.0,6.0,2.0,0.0,14.0,Match Report
29,2018-05-09,Wed,Matchweek 31,Away,L 1–3,Arsenal,Leicester City,Y,"CM,LM",90.0,49.0,61.0,80.3,797.0,211.0,26.0,27.0,96.3,14.0,20.0,70.0,5.0,7.0,71.4,0.0,0.1,0.3,1.0,2.0,1.0,0.0,5.0,Match Report
30,2018-05-13,Sun,Matchweek 38,Away,W 1–0,Arsenal,Huddersfield,Y*,LM,90.0,34.0,50.0,68.0,460.0,131.0,23.0,28.0,82.1,11.0,17.0,64.7,0.0,1.0,0.0,1.0,0.8,0.6,1.0,4.0,0.0,0.0,2.0,Match Report
