,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2017-08-26,Sat,Matchweek 3,Away,W 2–0,Swansea City,Crystal Palace,Y,FW,77,1,0,0,0,2,1,0,0,20,1,0,0,0.2,0.2,0.2,2,0,9,15,60.0,0,9,0,2,1,1,0,0,0,0,0,0,0,0,0,0,157,44,4,57.1,2,3,66.7,2,3,66.7,0.1,1,0,1,1
1,2017-09-10,Sun,Matchweek 4,Home,L 0–1,Swansea City,Newcastle Utd,Y,FW,90,0,0,0,0,2,0,0,0,26,2,0,0,0.6,0.6,0.0,3,0,10,15,66.7,1,14,0,5,2,1,0,1,0,1,0,0,0,0,0,0,107,12,8,80.0,2,4,50.0,0,1,0.0,0.1,1,0,1,0
2,2017-10-14,Sat,Matchweek 8,Home,W 2–0,Swansea City,Huddersfield,Y,FW,90,2,0,0,0,3,3,0,0,19,0,0,0,1.3,1.3,0.0,2,0,7,12,58.3,1,12,1,2,0,1,0,0,0,0,0,0,0,0,0,0,136,37,4,57.1,2,3,66.7,1,1,100.0,0.0,0,1,0,0
3,2017-10-28,Sat,Matchweek 10,Away,L 1–2,Swansea City,Arsenal,Y,FW,90,0,1,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.4,1,1,10,15,66.7,1,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,144,56,5,62.5,3,4,75.0,1,2,50.0,0.1,1,0,1,0
4,2017-11-04,Sat,Matchweek 11,Home,L 0–1,Swansea City,Brighton,Y,FW,90,0,0,0,0,3,1,0,0,23,0,0,0,0.6,0.6,0.3,5,0,8,14,57.1,2,17,2,3,3,1,0,2,1,0,0,0,0,0,0,0,93,41,6,66.7,2,3,66.7,0,2,0.0,0.2,1,1,0,0
5,2017-11-18,Sat,Matchweek 12,Away,L 0–2,Swansea City,Burnley,Y,FW,81,0,0,0,0,2,0,0,0,28,1,0,0,0.1,0.1,0.1,4,0,17,19,89.5,1,16,3,3,2,3,0,0,1,0,0,0,0,0,0,0,233,22,9,100.0,7,7,100.0,0,2,0.0,0.0,2,1,1,0
6,2017-12-02,Sat,Matchweek 15,Away,L 1–2,Swansea City,Stoke City,Y,FW,90,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,7,10,70.0,1,14,2,1,0,1,0,0,0,0,0,0,0,0,0,0,104,16,5,83.3,1,3,33.3,1,1,100.0,0.0,0,0,0,0
7,2017-12-13,Wed,Matchweek 17,Home,L 0–4,Swansea City,Manchester City,N,"LW,LM",45,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,8,1,2,2,0,0,1,0,0,0,0,0,0,0,0,73,3,1,50.0,1,1,100.0,1,1,100.0,0.0,0,0,0,0
8,2017-12-18,Mon,Matchweek 18,Away,L 1–3,Swansea City,Everton,N,FW,86,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,3,0,14,18,77.8,1,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,199,16,9,75.0,3,3,100.0,1,1,100.0,0.0,2,0,0,0
9,2017-12-23,Sat,Matchweek 19,Home,D 1–1,Swansea City,Crystal Palace,Y,FW,90,0,0,0,0,3,1,0,0,29,1,0,0,0.4,0.4,0.0,0,0,9,19,47.4,2,19,1,2,2,0,0,0,0,0,0,0,0,0,0,0,124,27,2,40.0,6,8,75.0,0,1,0.0,0.0,0,1,0,0
12,2018-03-31,Sat,Matchweek 32,Away,L 0–2,Swansea City,Manchester Utd,N,"FW,RM",45,0,0,0,0,2,2,0,0,17,0,0,0,0.1,0.1,0.0,0,0,7,11,63.6,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,82,21,5,71.4,2,3,66.7,0,1,0.0,0.0,0,1,0,0
