,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2019-08-10,Sat,Matchweek 1,Home,L 0–5,West Ham,Manchester City,N,CM,35,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.3,2,0,14,18,77.8,3,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,215,66,9,90.0,3,4,75.0,2,4,50.0,0.3,1,1,0,0
1,2019-08-17,Sat,Matchweek 2,Away,D 1–1,West Ham,Brighton,Y,"RM,AM,CM",90,0,0,0,0,1,1,0,0,43,2,1,2,0.1,0.1,0.0,2,0,15,31,48.4,3,26,2,4,4,0,0,2,0,0,0,0,0,0,0,0,199,58,10,76.9,2,9,22.2,1,3,33.3,0.0,0,2,0,0
2,2019-08-31,Sat,Matchweek 4,Home,W 2–0,West Ham,Norwich City,N,"RM,RW",20,0,0,0,0,1,1,1,0,22,0,0,0,0.1,0.1,0.0,2,0,15,19,78.9,2,12,2,1,0,2,0,0,0,0,0,0,0,0,0,0,188,79,13,92.9,1,1,100.0,1,4,25.0,0.0,1,1,0,0
7,2019-10-26,Sat,Matchweek 10,Home,D 1–1,West Ham,Sheffield Utd,Y,"CM,LM",85,1,0,0,0,2,1,0,0,58,1,0,1,0.9,0.9,0.1,2,0,32,50,64.0,2,29,5,2,1,1,1,0,0,0,0,0,0,0,0,0,545,112,14,87.5,16,17,94.1,2,12,16.7,0.1,2,2,0,0
8,2019-11-02,Sat,Matchweek 11,Home,L 2–3,West Ham,Newcastle Utd,Y,"RM,CM",90,1,0,0,0,2,1,0,0,63,3,0,0,0.1,0.1,0.5,6,0,34,50,68.0,5,32,3,2,0,1,5,0,0,0,0,0,0,0,0,0,649,224,14,77.8,14,20,70.0,6,10,60.0,0.6,5,0,1,0
9,2019-11-09,Sat,Matchweek 12,Away,L 0–3,West Ham,Burnley,Y,"CM,RM",90,0,0,0,0,0,0,0,0,59,0,2,0,0.0,0.0,0.0,2,0,38,55,69.1,4,32,3,1,1,2,0,0,0,0,0,0,0,0,0,0,522,145,27,84.4,10,14,71.4,1,6,16.7,0.1,1,4,0,0
10,2019-11-23,Sat,Matchweek 13,Home,L 2–3,West Ham,Tottenham,Y,"LM,FW",90,0,1,0,0,1,0,1,0,43,1,0,1,0.0,0.0,0.4,6,1,24,32,75.0,2,28,2,3,2,2,3,1,0,0,0,1,0,0,0,0,456,169,13,86.7,5,9,55.6,6,7,85.7,0.3,5,4,1,1
11,2019-11-30,Sat,Matchweek 14,Away,W 1–0,West Ham,Chelsea,Y,RM,90,0,0,0,0,0,0,0,0,53,3,1,1,0.0,0.0,0.3,3,0,28,44,63.6,6,23,0,1,1,1,2,0,0,0,0,0,0,0,0,0,431,198,15,68.2,10,15,66.7,2,4,50.0,0.6,2,3,1,1
12,2019-12-04,Wed,Matchweek 15,Away,L 0–2,West Ham,Wolves,Y,RM,61,0,0,0,0,1,1,0,0,31,1,0,0,0.3,0.3,0.0,1,0,18,27,66.7,3,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,266,104,13,86.7,4,8,50.0,1,2,50.0,0.1,1,0,1,0
13,2019-12-09,Mon,Matchweek 16,Home,L 1–3,West Ham,Arsenal,Y,RM,77,0,0,0,0,1,0,1,0,39,2,0,1,0.0,0.0,0.0,2,0,22,33,66.7,2,27,4,3,2,1,0,0,1,0,0,0,0,0,0,0,363,89,11,78.6,9,10,90.0,2,7,28.6,0.1,1,0,0,0
14,2019-12-14,Sat,Matchweek 17,Away,W 1–0,West Ham,Southampton,Y,RM,72,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.1,4,1,18,31,58.1,3,17,1,3,2,2,2,0,0,0,1,0,0,0,0,0,287,125,12,80.0,4,8,50.0,2,6,33.3,0.2,2,1,0,0
15,2019-12-26,Thu,Matchweek 19,Away,L 1–2,West Ham,Crystal Palace,Y,RM,89,1,0,0,0,3,1,0,0,52,2,0,1,0.5,0.5,0.0,3,0,21,35,60.0,4,29,4,3,1,1,1,0,1,0,0,0,0,0,0,0,474,196,8,57.1,6,7,85.7,7,10,70.0,0.2,1,2,1,0
16,2019-12-28,Sat,Matchweek 20,Home,L 1–2,West Ham,Leicester City,N,CM,29,0,0,0,0,1,0,0,0,18,3,0,1,0.0,0.0,0.1,1,0,10,11,90.9,2,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,202,57,3,100.0,5,5,100.0,2,3,66.7,0.1,1,1,0,0
17,2020-01-01,Wed,Matchweek 21,Home,W 4–0,West Ham,Bournemouth,Y,RM,82,0,1,0,0,0,0,0,0,43,2,0,1,0.0,0.0,0.3,7,2,25,35,71.4,5,18,3,1,1,2,2,1,2,0,2,0,0,0,0,0,434,205,9,75.0,14,16,87.5,1,3,33.3,0.2,3,2,1,0
18,2020-01-10,Fri,Matchweek 22,Away,L 0–1,West Ham,Sheffield Utd,N,WB,22,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,5,10,50.0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,98,68,2,66.7,1,2,50.0,2,4,50.0,0.1,1,0,0,0
19,2020-01-18,Sat,Matchweek 23,Home,D 1–1,West Ham,Everton,Y,RM,90,0,1,0,0,3,1,0,0,52,0,0,1,0.1,0.1,0.1,2,1,33,43,76.7,8,30,2,3,1,1,1,0,0,0,0,1,0,0,0,0,676,169,14,100.0,13,18,72.2,6,11,54.5,0.1,1,3,1,0
20,2020-01-29,Wed,Matchweek 18,Home,L 0–2,West Ham,Liverpool,Y,"RW,RM",90,0,0,0,0,1,1,0,0,30,0,0,0,0.1,0.1,0.4,3,0,18,27,66.7,1,15,1,1,1,1,2,0,0,0,0,0,0,0,0,0,350,92,9,81.8,5,6,83.3,4,9,44.4,0.3,2,0,1,0
21,2020-02-01,Sat,Matchweek 25,Home,D 3–3,West Ham,Brighton,Y,RM,84,2,1,0,0,3,2,0,0,39,2,0,1,0.1,0.1,0.2,3,2,20,30,66.7,1,18,4,2,0,1,2,0,0,0,1,1,0,0,0,0,298,135,12,85.7,6,9,66.7,2,4,50.0,0.2,2,2,0,0
22,2020-02-19,Wed,Matchweek 26,Away,L 0–2,West Ham,Manchester City,Y,FW,79,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,14,16,87.5,0,14,1,1,0,0,0,0,1,0,0,0,0,0,0,0,193,32,10,100.0,2,3,66.7,1,2,50.0,0.0,0,0,0,0
23,2020-02-24,Mon,Matchweek 27,Away,L 2–3,West Ham,Liverpool,Y,RW,83,0,1,0,0,0,0,0,0,38,3,0,1,0.0,0.0,0.1,1,1,18,28,64.3,0,18,2,3,1,0,1,0,0,0,0,1,0,0,0,0,234,69,13,92.9,3,5,60.0,1,4,25.0,0.0,1,1,0,0
24,2020-02-29,Sat,Matchweek 28,Home,W 3–1,West Ham,Southampton,N,"RW,RM",13,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,34,3,100.0,2,2,100.0,0,1,0.0,0.0,0,0,1,0
