,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2019-08-09,Fri,Matchweek 1,Away,L 1–4,Norwich City,Liverpool,Y,"LW,AM,LM",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,28.0,35.0,80.0,6.0,35.0,2.0,1.0,1.0,Match Report
1,2019-08-17,Sat,Matchweek 2,Home,W 3–1,Norwich City,Newcastle Utd,Y,"LW,RW",90.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,1.0,0.0,1.0,0.5,0.5,0.5,6.0,1.0,41.0,48.0,85.4,4.0,47.0,4.0,2.0,1.0,Match Report
2,2019-08-24,Sat,Matchweek 3,Home,L 2–3,Norwich City,Chelsea,Y,LW,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,2.0,0.7,0.7,0.0,2.0,2.0,31.0,40.0,77.5,3.0,29.0,1.0,1.0,0.0,Match Report
3,2019-08-31,Sat,Matchweek 4,Away,L 0–2,Norwich City,West Ham,Y,LW,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,1.0,1.0,0.0,0.6,0.6,0.0,0.0,0.0,25.0,32.0,78.1,3.0,30.0,2.0,2.0,2.0,Match Report
4,2019-09-14,Sat,Matchweek 5,Home,W 3–2,Norwich City,Manchester City,Y,LW,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,41.0,1.0,1.0,0.0,0.6,0.6,0.0,1.0,0.0,17.0,23.0,73.9,2.0,18.0,2.0,2.0,0.0,Match Report
5,2019-09-21,Sat,Matchweek 6,Away,L 0–2,Norwich City,Burnley,Y,"LW,CM",89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,40.0,51.0,78.4,6.0,46.0,5.0,3.0,2.0,Match Report
6,2019-09-28,Sat,Matchweek 7,Away,L 0–2,Norwich City,Crystal Palace,Y,LW,80.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,0.0,1.0,2.0,0.3,0.3,0.0,0.0,0.0,22.0,25.0,88.0,2.0,26.0,2.0,3.0,0.0,Match Report
7,2019-10-05,Sat,Matchweek 8,Home,L 1–5,Norwich City,Aston Villa,Y,"LW,AM",79.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,53.0,2.0,1.0,3.0,0.2,0.2,0.1,6.0,0.0,28.0,37.0,75.7,12.0,38.0,8.0,4.0,3.0,Match Report
8,2019-10-19,Sat,Matchweek 9,Away,D 0–0,Norwich City,Bournemouth,Y,LM,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,27.0,30.0,90.0,2.0,26.0,1.0,1.0,1.0,Match Report
9,2019-10-27,Sun,Matchweek 10,Home,L 1–3,Norwich City,Manchester Utd,Y,LM,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,0.1,0.1,0.0,3.0,0.0,10.0,14.0,71.4,1.0,13.0,1.0,1.0,0.0,Match Report
10,2019-11-02,Sat,Matchweek 11,Away,L 0–2,Norwich City,Brighton,N,CM,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,90.9,2.0,6.0,1.0,0.0,0.0,Match Report
