,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-09,Fri,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,"RW,FW",90,24,38,63.2,321,132,16,20,80.0,6,9,66.7,2,7,28.6,1,0.2,0.2,3,3,2,0,3,Match Report
1,2019-08-17,Sat,Matchweek 2,Away,W 2–1,Liverpool,Southampton,Y,RW,78,8,14,57.1,102,32,6,8,75.0,2,4,50.0,0,2,0.0,0,0.0,0.0,1,0,1,0,2,Match Report
2,2019-08-24,Sat,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,RW,90,29,40,72.5,319,87,16,19,84.2,6,8,75.0,1,1,100.0,0,0.0,0.5,1,1,4,0,5,Match Report
3,2019-08-31,Sat,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,"RW,FW",90,24,32,75.0,301,107,17,23,73.9,4,4,100.0,1,2,50.0,1,0.2,0.1,3,4,1,0,2,Match Report
4,2019-09-14,Sat,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,Y,RW,90,42,53,79.2,605,169,23,26,88.5,10,13,76.9,4,6,66.7,0,0.5,0.5,2,5,0,0,3,Match Report
5,2019-09-22,Sun,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,Y,RW,89,27,38,71.1,283,71,17,19,89.5,4,5,80.0,1,3,33.3,1,0.0,0.0,1,1,0,0,0,Match Report
6,2019-09-28,Sat,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,Y,"RW,FW",90,18,27,66.7,235,14,12,18,66.7,4,4,100.0,1,2,50.0,0,0.1,0.1,1,0,1,0,1,Match Report
11,2019-11-10,Sun,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,"RW,FW",86,19,25,76.0,254,50,13,15,86.7,6,8,75.0,0,1,0.0,0,0.0,0.1,0,0,2,0,3,Match Report
12,2019-11-23,Sat,Matchweek 13,Away,W 2–1,Liverpool,Crystal Palace,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
13,2019-11-30,Sat,Matchweek 14,Home,W 2–1,Liverpool,Brighton,Y,RW,68,11,14,78.6,151,18,7,8,87.5,2,3,66.7,1,1,100.0,0,0.1,0.1,1,1,0,0,1,Match Report
