,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2019-11-09,Sat,Matchweek 12,Away,W 2–1,Everton,Southampton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2019-12-01,Sun,Matchweek 14,Away,L 1–2,Everton,Leicester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2019-12-15,Sun,Matchweek 17,Away,D 1–1,Everton,Manchester Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2020-01-01,Wed,Matchweek 21,Away,L 1–2,Everton,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2020-01-18,Sat,Matchweek 23,Away,D 1–1,Everton,West Ham,N,LM,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
9,2020-01-21,Tue,Matchweek 24,Home,D 2–2,Everton,Newcastle Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
11,2020-03-08,Sun,Matchweek 29,Away,L 0–4,Everton,Chelsea,N,"LM,FW",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
12,2020-06-21,Sun,Matchweek 30,Home,D 0–0,Everton,Liverpool,Y,LM,59,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
13,2020-06-24,Wed,Matchweek 31,Away,W 1–0,Everton,Norwich City,N,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
14,2020-07-01,Wed,Matchweek 32,Home,W 2–1,Everton,Leicester City,Y,"LM,FW",78,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
15,2020-07-06,Mon,Matchweek 33,Away,L 0–1,Everton,Tottenham,N,"RM,CM",45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
16,2020-07-09,Thu,Matchweek 34,Home,D 1–1,Everton,Southampton,Y,"LM,AM",73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
17,2020-07-12,Sun,Matchweek 35,Away,L 0–3,Everton,Wolves,Y,"CM,LM",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
18,2020-07-16,Thu,Matchweek 36,Home,D 1–1,Everton,Aston Villa,N,LM,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
19,2020-07-20,Mon,Matchweek 37,Away,W 1–0,Everton,Sheffield Utd,N,"CM,RW",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
20,2020-07-26,Sun,Matchweek 38,Home,L 1–3,Everton,Bournemouth,N,RW,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
